route29_id,route28_id,route27_id,folio,locus_kind,priority_level,gap_rows,unique_loci,token_counts,top_loci,section_notes,source_resolution_status,search_query,commons_search_url,candidate_commons_page,candidate_image_url,source_notes,fields_to_fill,manifest_action,semantic_guardrail
R29-001,R28-002,R27-002,f113v,P,P1,26,18,otar=8|okar=7|okal=5|otal=2|otor=2|okol=1|otol=1,"f113v.2,+P0|f113v.7,+P0|f113v.8,+P0|f113v.10,+P0|f113v.11,+P0","Light star, dotted, 7 points, tail|Light star, 7 points, tail|Light star, 8 points, tail",pending_public_source_verification,Voynich Manuscript f113v,https://commons.wikimedia.org/w/index.php?search=Voynich+Manuscript+f113v&title=Special:MediaSearch&type=image,,,,candidate_commons_page candidate_image_url source_notes,do_not_update_manifest_until_url_verified,missing_source_queue_not_visual_evidence
R29-002,R28-003,R27-003,f58v,P,P1,23,18,okal=12|okar=4|otal=4|okor=2|otol=1,"f58v.4,+P0|f58v.5,+P0|f58v.10,+P0|f58v.13,+P0|f58v.15,+P0",Six-pointed star with tail at start of this paragraph|The last three words of above line seem to have been scribbled in afterwards|Above line seems to have been scribbled in afterwards,pending_public_source_verification,Voynich Manuscript f58v,https://commons.wikimedia.org/w/index.php?search=Voynich+Manuscript+f58v&title=Special:MediaSearch&type=image,,,,candidate_commons_page candidate_image_url source_notes,do_not_update_manifest_until_url_verified,missing_source_queue_not_visual_evidence
R29-003,R28-004,R27-004,f86v6,P,P1,20,17,otar=6|okar=5|otal=5|otol=2|okal=1|otor=1,"f86v6.3,+P0|f86v6.9,+P0|f86v6.12,+P0|f86v6.14,+P0|f86v6.18,+P0","Currier's language B, hand 3",pending_public_source_verification,Voynich Manuscript f86v6,https://commons.wikimedia.org/w/index.php?search=Voynich+Manuscript+f86v6&title=Special:MediaSearch&type=image,,,,candidate_commons_page candidate_image_url source_notes,do_not_update_manifest_until_url_verified,missing_source_queue_not_visual_evidence
R29-004,R28-005,R27-005,fRos,C,P1,20,8,okal=7|otar=5|okar=3|okor=2|otal=1|otol=1|otor=1,"fRos.2,@Cc|fRos.20,@Cc|fRos.47,@Cc|fRos.62,@Cc|fRos.87,@Cc","This is the upper left page with parts of circles 1 and 2.|The following are block left of circle, left margin unreadable|Start of circle 3",pending_public_source_verification,Voynich Manuscript fRos,https://commons.wikimedia.org/w/index.php?search=Voynich+Manuscript+fRos&title=Special:MediaSearch&type=image,,,,candidate_commons_page candidate_image_url source_notes,do_not_update_manifest_until_url_verified,missing_source_queue_not_visual_evidence
R29-005,R28-006,R27-006,f107v,P,P1,18,12,otal=7|okal=5|otar=3|okar=1|okol=1|otol=1,"f107v.1,@P0|f107v.2,+P0|f107v.3,+P0|f107v.11,+P0|f107v.13,+P0","Light star, dotted, 6 points, tail, small dots|Light star, 8 points, tail?|Light star, dotted, 8 points, tail",pending_public_source_verification,Voynich Manuscript f107v,https://commons.wikimedia.org/w/index.php?search=Voynich+Manuscript+f107v&title=Special:MediaSearch&type=image,,,,candidate_commons_page candidate_image_url source_notes,do_not_update_manifest_until_url_verified,missing_source_queue_not_visual_evidence
R29-006,R28-007,R27-007,f104r,P,P1,16,11,okar=9|okal=3|otar=2|otal=1|otor=1,"f104r.3,+P0|f104r.7,+P0|f104r.8,+P0|f104r.11,+P0|f104r.13,+P0","Dark star, 7 points, tail|Light star, 7 points, tail|Darkish star, 8 points, tail?",pending_public_source_verification,Voynich Manuscript f104r,https://commons.wikimedia.org/w/index.php?search=Voynich+Manuscript+f104r&title=Special:MediaSearch&type=image,,,,candidate_commons_page candidate_image_url source_notes,do_not_update_manifest_until_url_verified,missing_source_queue_not_visual_evidence
R29-007,R28-008,R27-008,f107r,P,P1,16,12,otal=6|okal=5|otar=3|okar=1|otor=1,"f107r.1,@P0|f107r.4,+P0|f107r.11,+P0|f107r.26,+P0|f107r.32,+P0","Light star, dotted, 7 points, tail|Light star, 7 points, tail|Light star, 7/8 points, tail",pending_public_source_verification,Voynich Manuscript f107r,https://commons.wikimedia.org/w/index.php?search=Voynich+Manuscript+f107r&title=Special:MediaSearch&type=image,,,,candidate_commons_page candidate_image_url source_notes,do_not_update_manifest_until_url_verified,missing_source_queue_not_visual_evidence
R29-008,R28-009,R27-009,f86v5,P,P1,16,13,otal=7|otar=3|okar=2|otol=2|okal=1|okol=1,"f86v5.5,+P0|f86v5.7,+P0|f86v5.8,+P0|f86v5.9,+P0|f86v5.11,+P0",folio mark 86,pending_public_source_verification,Voynich Manuscript f86v5,https://commons.wikimedia.org/w/index.php?search=Voynich+Manuscript+f86v5&title=Special:MediaSearch&type=image,,,,candidate_commons_page candidate_image_url source_notes,do_not_update_manifest_until_url_verified,missing_source_queue_not_visual_evidence
R29-009,R28-010,R27-010,f108r,P,P1,15,14,otal=5|okar=4|okal=3|okol=1|okor=1|otol=1,"f108r.2,+P0|f108r.5,+P0|f108r.7,+P0|f108r.9,+P0|f108r.12,+P0","Light star, 7 points, tail|Dark star, 7 points, tail|Light star, dotted?, 7 points, tail",pending_public_source_verification,Voynich Manuscript f108r,https://commons.wikimedia.org/w/index.php?search=Voynich+Manuscript+f108r&title=Special:MediaSearch&type=image,,,,candidate_commons_page candidate_image_url source_notes,do_not_update_manifest_until_url_verified,missing_source_queue_not_visual_evidence
R29-010,R28-011,R27-011,f116r,P,P1,12,10,otal=5|otar=4|okal=1|okar=1|otor=1,"f116r.5,+P0|f116r.12,+P0|f116r.15,+P0|f116r.16,+P0|f116r.18,+P0","Light star, dotted, 7 points|Light star, dotted, 6/7 points|Light star, 8 points",pending_public_source_verification,Voynich Manuscript f116r,https://commons.wikimedia.org/w/index.php?search=Voynich+Manuscript+f116r&title=Special:MediaSearch&type=image,,,,candidate_commons_page candidate_image_url source_notes,do_not_update_manifest_until_url_verified,missing_source_queue_not_visual_evidence
