instruction_item_id,checklist_id,packet_id,route11_id,route10_id,manual_review_id,crop_id,source_review_id,folio,locus,source_image,crop_svg,review_region,priority_bucket,target_type,review_target,fields_to_fill,semantic_guardrail
R15I-001,R13-001,R12-001,R11-002,R10-001,R9-001,R7-009,R6-009,f67r1,"f67r1.5,@Cc",images/raw/commons_f67r1_r2.jpg,images/derived/review_crops/R7-009_R6-009_f67r1.svg,x=31 y=158 w=768 h=913,P0_operator_missing_tokens,missing_group_tokens,otardar,manual_token_seen manual_new_crop_needed manual_image_insufficient manual_new_crop_x manual_new_crop_y manual_new_crop_width manual_new_crop_height manual_notes,human_instruction_not_visual_evidence
R15I-002,R13-002,R12-001,R11-003,R10-004,R9-004,R7-005,R6-005,f67r1,"f67r1.6,+Cc",images/raw/commons_f67r1_r2.jpg,images/derived/review_crops/R7-005_R6-005_f67r1.svg,x=31 y=158 w=768 h=913,P1_core_missing_tokens,missing_group_tokens,chedar cheol cheor,manual_token_seen manual_new_crop_needed manual_image_insufficient manual_new_crop_x manual_new_crop_y manual_new_crop_width manual_new_crop_height manual_notes,human_instruction_not_visual_evidence
R15I-003,R13-003,R12-001,R11-006,R10-003,R9-003,R7-001,R6-001,f67r1,"f67r1.6,+Cc",images/raw/commons_f67r1_r2.jpg,images/derived/review_crops/R7-001_R6-001_f67r1.svg,x=31 y=158 w=768 h=913,P1_core_missing_tokens,missing_group_tokens,dol,manual_token_seen manual_new_crop_needed manual_image_insufficient manual_new_crop_x manual_new_crop_y manual_new_crop_width manual_new_crop_height manual_notes,human_instruction_not_visual_evidence
R15I-004,R13-004,R12-001,R11-009,R10-009,R9-009,R7-002,R6-002,f67r1,"f67r1.5,@Cc",images/raw/commons_f67r1_r2.jpg,images/derived/review_crops/R7-002_R6-002_f67r1.svg,x=31 y=158 w=768 h=913,P3_tighten_existing_region,matched_group_tokens,ar ol,manual_token_seen manual_new_crop_needed manual_image_insufficient manual_new_crop_x manual_new_crop_y manual_new_crop_width manual_new_crop_height manual_notes,human_instruction_not_visual_evidence
R15I-005,R13-005,R12-001,R11-010,R10-010,R9-010,R7-004,R6-004,f67r1,"f67r1.6,+Cc",images/raw/commons_f67r1_r2.jpg,images/derived/review_crops/R7-004_R6-004_f67r1.svg,x=31 y=158 w=768 h=913,P3_tighten_existing_region,matched_group_tokens,al ar,manual_token_seen manual_new_crop_needed manual_image_insufficient manual_new_crop_x manual_new_crop_y manual_new_crop_width manual_new_crop_height manual_notes,human_instruction_not_visual_evidence
R15I-006,R13-006,R12-002,R11-001,R10-002,R9-002,R7-010,R6-010,f70v2,"f70v2.21,@Cc",images/raw/commons_f70v2.jpg,images/derived/review_crops/R7-010_R6-010_f70v2.svg,x=138 y=106 w=1198 h=1298,P0_operator_missing_tokens,missing_group_tokens,oteedar oteeeor,manual_token_seen manual_new_crop_needed manual_image_insufficient manual_new_crop_x manual_new_crop_y manual_new_crop_width manual_new_crop_height manual_notes,human_instruction_not_visual_evidence
R15I-007,R13-007,R12-002,R11-005,R10-006,R9-006,R7-007,R6-007,f70v2,"f70v2.1,@Cc",images/raw/commons_f70v2.jpg,images/derived/review_crops/R7-007_R6-007_f70v2.svg,x=138 y=106 w=1198 h=1298,P1_core_missing_tokens,missing_group_tokens,chokear cholkal,manual_token_seen manual_new_crop_needed manual_image_insufficient manual_new_crop_x manual_new_crop_y manual_new_crop_width manual_new_crop_height manual_notes,human_instruction_not_visual_evidence
R15I-008,R13-008,R12-002,R11-007,R10-007,R9-007,R7-008,R6-008,f70v2,"f70v2.32,@Cc",images/raw/commons_f70v2.jpg,images/derived/review_crops/R7-008_R6-008_f70v2.svg,x=138 y=106 w=1198 h=1298,P2_other_missing_tokens,missing_group_tokens,al,manual_token_seen manual_new_crop_needed manual_image_insufficient manual_new_crop_x manual_new_crop_y manual_new_crop_width manual_new_crop_height manual_notes,human_instruction_not_visual_evidence
R15I-009,R13-009,R12-003,R11-004,R10-005,R9-005,R7-006,R6-006,f68r3,"f68r3.1,@Cc",images/raw/commons_f68r1_r2_r3.jpg,images/derived/review_crops/R7-006_R6-006_f68r3.svg,x=891 y=53 w=568 h=570,P1_core_missing_tokens,missing_group_tokens,cheor chodal chokol,manual_token_seen manual_new_crop_needed manual_image_insufficient manual_new_crop_x manual_new_crop_y manual_new_crop_width manual_new_crop_height manual_notes,human_instruction_not_visual_evidence
R15I-010,R13-010,R12-004,R11-008,R10-008,R9-008,R7-011,R6-011,f84r,"f84r.23,+P0",images/raw/commons_f84r.jpg,images/derived/review_crops/R7-011_R6-011_f84r.svg,x=91 y=722 w=892 h=522,P2_other_missing_tokens,missing_group_tokens,ol,manual_token_seen manual_new_crop_needed manual_image_insufficient manual_new_crop_x manual_new_crop_y manual_new_crop_width manual_new_crop_height manual_notes,human_instruction_not_visual_evidence
R15I-011,R13-011,R12-004,R11-011,R10-011,R9-011,R7-003,R6-003,f84r,"f84r.14,+P0",images/raw/commons_f84r.jpg,images/derived/review_crops/R7-003_R6-003_f84r.svg,x=91 y=323 w=892 h=507,P3_tighten_existing_region,matched_group_tokens,ol or,manual_token_seen manual_new_crop_needed manual_image_insufficient manual_new_crop_x manual_new_crop_y manual_new_crop_width manual_new_crop_height manual_notes,human_instruction_not_visual_evidence
