manual_review_id,decision_id,crop_id,source_review_id,folio,locus,prefix_family,axis_coverage,group_tokens,matched_annotation_tokens,missing_group_tokens,review_region,crop_svg,previous_review_decision,manual_tighter_x,manual_tighter_y,manual_tighter_width,manual_tighter_height,manual_target_tokens_seen,manual_missing_tokens_seen,manual_final_status,manual_notes
R9-001,R8-009,R7-009,R6-009,f67r1,"f67r1.5,@Cc",ot,ao,otardar otor,otor,otardar,x=31 y=158 w=768 h=913,images/derived/review_crops/R7-009_R6-009_f67r1.svg,keep_not_isolated,,,,,,,pending_manual_review,
R9-002,R8-010,R7-010,R6-010,f70v2,"f70v2.21,@Cc",ot,ao,otar oteedar oteeeor,otar,oteedar oteeeor,x=138 y=106 w=1198 h=1298,images/derived/review_crops/R7-010_R6-010_f70v2.svg,keep_not_isolated,,,,,,,pending_manual_review,
R9-003,R8-001,R7-001,R6-001,f67r1,"f67r1.6,+Cc",d,ao+rl,dal dar dol,dal dar,dol,x=31 y=158 w=768 h=913,images/derived/review_crops/R7-001_R6-001_f67r1.svg,keep_not_isolated,,,,,,,pending_manual_review,
R9-004,R8-005,R7-005,R6-005,f67r1,"f67r1.6,+Cc",ch,ao+rl,chedar cheol cheor chol,chol,chedar cheol cheor,x=31 y=158 w=768 h=913,images/derived/review_crops/R7-005_R6-005_f67r1.svg,keep_not_isolated,,,,,,,pending_manual_review,
R9-005,R8-006,R7-006,R6-006,f68r3,"f68r3.1,@Cc",ch,ao+rl,cheor chodal chokol chol,chol,cheor chodal chokol,x=891 y=53 w=568 h=570,images/derived/review_crops/R7-006_R6-006_f68r3.svg,keep_not_isolated,,,,,,,pending_manual_review,
R9-006,R8-007,R7-007,R6-007,f70v2,"f70v2.1,@Cc",ch,ao+rl,chokear chol cholkal,chol,chokear cholkal,x=138 y=106 w=1198 h=1298,images/derived/review_crops/R7-007_R6-007_f70v2.svg,keep_not_isolated,,,,,,,pending_manual_review,
R9-007,R8-008,R7-008,R6-008,f70v2,"f70v2.32,@Cc",standalone,rl,al ar,ar,al,x=138 y=106 w=1198 h=1298,images/derived/review_crops/R7-008_R6-008_f70v2.svg,keep_not_isolated,,,,,,,pending_manual_review,
R9-008,R8-011,R7-011,R6-011,f84r,"f84r.23,+P0",standalone,rl,ol or,or,ol,x=91 y=722 w=892 h=522,images/derived/review_crops/R7-011_R6-011_f84r.svg,keep_not_isolated,,,,,,,pending_manual_review,
R9-009,R8-002,R7-002,R6-002,f67r1,"f67r1.5,@Cc",standalone,ao+rl,ar ol,ar ol,,x=31 y=158 w=768 h=913,images/derived/review_crops/R7-002_R6-002_f67r1.svg,keep_not_isolated,,,,,,,pending_manual_review,
R9-010,R8-004,R7-004,R6-004,f67r1,"f67r1.6,+Cc",standalone,rl,al ar,al ar,,x=31 y=158 w=768 h=913,images/derived/review_crops/R7-004_R6-004_f67r1.svg,keep_not_isolated,,,,,,,pending_manual_review,
R9-011,R8-003,R7-003,R6-003,f84r,"f84r.14,+P0",standalone,rl,ol or,ol or,,x=91 y=323 w=892 h=507,images/derived/review_crops/R7-003_R6-003_f84r.svg,keep_not_isolated,,,,,,,pending_manual_review,
