route42c_id,route42b_id,route42_id,route42a_id,route32_id,route28_id,folio,priority_level,locus_kind,token_counts,highlight_tokens,target_locus,line_number,marker,transcription_text,manifest_label,yale_image_id,yale_dimensions,local_image_path,yale_iiif_jpg_url,calibration_status,baseline_points,baseline_width_pct,manual_notes,semantic_guardrail
R42C-001,R42B-001,R42-005,R42A-005,R32-005,R28-023,f84r,P1,P,okal=1|otar=1,okal|otar,"f84r.24,+P0",24,+P0,"pol.tar.shedy,qokedy.okal.shey.qokar,chckhy.otchey.qokchedy.chey.qokaiin",84r,1006226,2753x3745,images/raw/yale_iiif_r32/f84r_1006226.jpg,https://collections.library.yale.edu/iiif/2/1006226/full/full/0/default.jpg,pending_calibration,"17.00,34.46 80.07,34.46",1.20,Sugestao OpenCV inicial; confirmar visualmente na R42C antes de marcar calibrada. Linha visual OpenCV: 6. Confianca OpenCV: 0.41. Acao OpenCV: prefill_pending_baseline.,line_calibration_tool_not_visual_evidence
R42C-002,R42B-001,R42-005,R42A-005,R32-005,R28-023,f84r,P1,P,okal=1|otar=1,okal|otar,"f84r.29,+P0",29,+P0,qokeedy.okeey.dar.olchedy.qsolkeedy.rar.checkhy.otar.chedy.olchcthy.lor,84r,1006226,2753x3745,images/raw/yale_iiif_r32/f84r_1006226.jpg,https://collections.library.yale.edu/iiif/2/1006226/full/full/0/default.jpg,pending_calibration,"14.60,62.84 43.00,62.84",1.20,Sugestao OpenCV inicial; confirmar visualmente na R42C antes de marcar calibrada. Linha visual OpenCV: 14. Confianca OpenCV: 0.45. Acao OpenCV: prefill_pending_baseline.,line_calibration_tool_not_visual_evidence
R42C-003,R42B-002,R42-008,R42A-008,R32-008,R28-026,f99r,P1,L,okar=1|okor=1,okar|okor,"f99r.2,@Lf",2,@Lf,"okar,y",99r,1006246,2702x3765,images/raw/yale_iiif_r32/f99r_1006246.jpg,https://collections.library.yale.edu/iiif/2/1006246/full/full/0/default.jpg,pending_calibration,,,,line_calibration_tool_not_visual_evidence
R42C-004,R42B-002,R42-008,R42A-008,R32-008,R28-026,f99r,P1,L,okar=1|okor=1,okar|okor,"f99r.8,@Lf",8,@Lf,okor,99r,1006246,2702x3765,images/raw/yale_iiif_r32/f99r_1006246.jpg,https://collections.library.yale.edu/iiif/2/1006246/full/full/0/default.jpg,pending_calibration,,,,line_calibration_tool_not_visual_evidence
R42C-005,R42B-003,R42-001,R42A-001,R32-001,R28-001,f99v,P0,P,okol=4|okal=2|okor=1|otol=1,okol|okal|okor|otol,"f99v.12,+P0",12,+P0,"qokeo.qokeol.chockhy.otol.daiin.oty<->oto{ck}ey.da.chor,aiin",99v,1006247,2802x3697,images/raw/yale_iiif_r32/f99v_1006247.jpg,https://collections.library.yale.edu/iiif/2/1006247/full/full/0/default.jpg,pending_calibration,,,,line_calibration_tool_not_visual_evidence
R42C-006,R42B-003,R42-001,R42A-001,R32-001,R28-001,f99v,P0,P,okol=4|okal=2|okor=1|otol=1,okol|okal|okor|otol,"f99v.13,+P0",13,+P0,okoraiin.okol.shocthy<->qokor.oloiram<$>,99v,1006247,2802x3697,images/raw/yale_iiif_r32/f99v_1006247.jpg,https://collections.library.yale.edu/iiif/2/1006247/full/full/0/default.jpg,pending_calibration,,,,line_calibration_tool_not_visual_evidence
R42C-007,R42B-003,R42-001,R42A-001,R32-001,R28-001,f99v,P0,P,okol=4|okal=2|okor=1|otol=1,okol|okal|okor|otol,"f99v.21,@P0",21,@P0,"doror.okeeody.opar.okor.eosaiin.otoraiin.shey.ols,aiiin.qoetal",99v,1006247,2802x3697,images/raw/yale_iiif_r32/f99v_1006247.jpg,https://collections.library.yale.edu/iiif/2/1006247/full/full/0/default.jpg,pending_calibration,,,,line_calibration_tool_not_visual_evidence
R42C-008,R42B-003,R42-001,R42A-001,R32-001,R28-001,f99v,P0,P,okol=4|okal=2|okor=1|otol=1,okol|okal|okor|otol,"f99v.24,+P0",24,+P0,"shokeeey.cholshey.okol.qokey.okeodal,oldy<$>",99v,1006247,2802x3697,images/raw/yale_iiif_r32/f99v_1006247.jpg,https://collections.library.yale.edu/iiif/2/1006247/full/full/0/default.jpg,pending_calibration,,,,line_calibration_tool_not_visual_evidence
R42C-009,R42B-003,R42-001,R42A-001,R32-001,R28-001,f99v,P0,P,okol=4|okal=2|okor=1|otol=1,okol|okal|okor|otol,"f99v.33,+P0",33,+P0,dol.okeeol.okeor.okal.okaiin.ckheol.okolaiin.okolaiin.cheoldy,99v,1006247,2802x3697,images/raw/yale_iiif_r32/f99v_1006247.jpg,https://collections.library.yale.edu/iiif/2/1006247/full/full/0/default.jpg,pending_calibration,,,,line_calibration_tool_not_visual_evidence
R42C-010,R42B-004,R42-003,R42A-003,R32-003,R28-021,f67r2,P1,P,okol=2,okol,"f67r2.35,@Pb",35,@Pb,chol.[g:d]iin.okol,67r,1006194,4972x3738,images/raw/yale_iiif_r32/f67r2_1006194.jpg,https://collections.library.yale.edu/iiif/2/1006194/full/full/0/default.jpg,pending_calibration,,,,line_calibration_tool_not_visual_evidence
