route42l_id,route42k_id,route42f_id,route42b_id,route32_id,folio,target_locus,transcription_text,review_bucket,review_priority_score,suggested_visual_line_number,suggested_zone_box_pct,candidate_visual_lines,candidate_visual_line_zones,top_fragment_crop_boxes,selected_visual_line_number,selected_zone_box_pct,confirmation_status,manual_notes,local_image_path,semantic_guardrail
R42L-001,R42K-001,R42F-008,R42B-004,R32-003,f67r2,"f67r2.35,@Pb",chol.[g:d]iin.okol,revisar_primeiro,71,2,"67.90,9.71,83.97,14.33",1|2|3,"1=18.90,1.02,51.43,4.48|2=67.90,9.71,83.97,14.33|3=59.63,73.87,86.90,77.77","77.34,8.46,82.60,14.98|71.97,8.46,76.48,14.82|69.96,8.46,72.82,14.15|67.91,8.70,70.69,14.55",,,pending_human_confirmation,,images/raw/yale_iiif_r32/f67r2_1006194.jpg,line_choice_confirmation_not_evidence_or_ocr
R42L-002,R42K-002,R42F-009,R42B-004,R32-003,f67r2,"f67r2.73,+P0","sshey.sy,shees.qeykeey.ykchey.ykchey.qokeochy.oaiin.okol.ar.olar",revisar_primeiro,71,2,"67.90,9.71,83.97,14.33",1|2|3,"1=18.90,1.02,51.43,4.48|2=67.90,9.71,83.97,14.33|3=59.63,73.87,86.90,77.77","77.34,8.46,82.60,14.98|71.97,8.46,76.48,14.82|69.96,8.46,72.82,14.15|67.91,8.70,70.69,14.55",,,pending_human_confirmation,,images/raw/yale_iiif_r32/f67r2_1006194.jpg,line_choice_confirmation_not_evidence_or_ocr
R42L-003,R42K-003,R42F-010,R42B-005,R32-004,f67v1,"f67v1.3,&L0",okal.ary,revisar_primeiro,70,1,"69.43,34.68,76.83,38.88",1,"1=69.43,34.68,76.83,38.88","68.92,35.22,71.17,38.90",,,pending_human_confirmation,,images/raw/yale_iiif_r32/f67v1_1006195.jpg,line_choice_confirmation_not_evidence_or_ocr
R42L-004,R42K-004,R42F-011,R42B-005,R32-004,f67v1,"f67v1.5,&L0",okol.aldy,revisar_primeiro,70,1,"69.43,34.68,76.83,38.88",1,"1=69.43,34.68,76.83,38.88","68.92,35.22,71.17,38.90",,,pending_human_confirmation,,images/raw/yale_iiif_r32/f67v1_1006195.jpg,line_choice_confirmation_not_evidence_or_ocr
R42L-005,R42K-005,R42F-001,R42B-002,R32-008,f99r,"f99r.2,@Lf","okar,y",revisar_depois,66,4,"51.70,81.43,65.37,84.69",1|2|3|4|5|6,"1=3.63,1.72,63.63,5.22|2=42.83,7.27,48.90,10.29|3=52.63,19.23,61.50,22.30|4=51.70,81.43,65.37,84.69|5=28.63,88.08,35.10,91.06|6=1.37,94.88,30.17,98.95","59.77,80.15,65.21,85.93|51.18,80.15,55.74,85.93|63.47,81.51,65.84,85.93",,,pending_human_confirmation,,images/raw/yale_iiif_r32/f99r_1006246.jpg,line_choice_confirmation_not_evidence_or_ocr
R42L-006,R42K-006,R42F-002,R42B-002,R32-008,f99r,"f99r.8,@Lf",okor,revisar_depois,66,4,"51.70,81.43,65.37,84.69",1|2|3|4|5|6,"1=3.63,1.72,63.63,5.22|2=42.83,7.27,48.90,10.29|3=52.63,19.23,61.50,22.30|4=51.70,81.43,65.37,84.69|5=28.63,88.08,35.10,91.06|6=1.37,94.88,30.17,98.95","59.77,80.15,65.21,85.93|51.18,80.15,55.74,85.93|63.47,81.51,65.84,85.93",,,pending_human_confirmation,,images/raw/yale_iiif_r32/f99r_1006246.jpg,line_choice_confirmation_not_evidence_or_ocr
R42L-007,R42K-007,R42F-012,R42B-006,R32-002,f1r,"f1r.21,=Pt",otol.daiiin<$>,revisar_depois,64,2,"25.70,5.01,32.83,8.20",1|2|3|4,"1=38.10,1.75,52.03,4.52|2=25.70,5.01,32.83,8.20|3=17.30,26.85,25.30,31.09|4=15.83,91.01,25.30,94.78","27.87,5.09,32.16,8.21|26.22,4.88,29.60,7.89",,,pending_human_confirmation,,images/raw/yale_iiif_r32/f1r_1006076.jpg,line_choice_confirmation_not_evidence_or_ocr
R42L-008,R42K-008,R42F-013,R42B-006,R32-002,f1r,"f1r.24,+P0",cho.?o.kaiin.shoaiin.okol.daiin.far.cthol.daiin.ctholdar,revisar_depois,64,2,"25.70,5.01,32.83,8.20",1|2|3|4,"1=38.10,1.75,52.03,4.52|2=25.70,5.01,32.83,8.20|3=17.30,26.85,25.30,31.09|4=15.83,91.01,25.30,94.78","27.87,5.09,32.16,8.21|26.22,4.88,29.60,7.89",,,pending_human_confirmation,,images/raw/yale_iiif_r32/f1r_1006076.jpg,line_choice_confirmation_not_evidence_or_ocr
R42L-009,R42K-009,R42F-003,R42B-003,R32-001,f99v,"f99v.12,+P0","qokeo.qokeol.chockhy.otol.daiin.oty<->oto{ck}ey.da.chor,aiin",revisao_dificil,50,11,"22.23,71.36,34.10,75.08",1|2|3|4|5|6|7|8|9|10|11|12|13|14|15,"1=14.77,8.45,21.77,11.91|2=13.37,11.33,22.83,14.69|3=12.50,14.57,23.17,18.68|4=14.97,18.91,22.43,22.17|5=15.37,22.85,22.43,25.91|6=15.37,25.03,23.17,29.14|7=15.23,33.82,23.17,36.98|8=15.37,51.05,24.37,54.61|9=15.23,62.27,24.90,66.28|10=17.70,65.25,23.83,68.20|11=22.23,71.36,34.10,75.08|12=17.37,74.09,48.37,79.07|13=46.83,82.12,56.23,85.33|14=16.83,89.10,28.03,92.71|15=79.23,95.57,95.23,99.38","21.70,70.10,28.59,76.31|27.59,71.51,33.58,75.10",,,pending_human_confirmation,,images/raw/yale_iiif_r32/f99v_1006247.jpg,line_choice_confirmation_not_evidence_or_ocr
R42L-010,R42K-010,R42F-004,R42B-003,R32-001,f99v,"f99v.13,+P0",okoraiin.okol.shocthy<->qokor.oloiram<$>,revisao_dificil,50,11,"22.23,71.36,34.10,75.08",1|2|3|4|5|6|7|8|9|10|11|12|13|14|15,"1=14.77,8.45,21.77,11.91|2=13.37,11.33,22.83,14.69|3=12.50,14.57,23.17,18.68|4=14.97,18.91,22.43,22.17|5=15.37,22.85,22.43,25.91|6=15.37,25.03,23.17,29.14|7=15.23,33.82,23.17,36.98|8=15.37,51.05,24.37,54.61|9=15.23,62.27,24.90,66.28|10=17.70,65.25,23.83,68.20|11=22.23,71.36,34.10,75.08|12=17.37,74.09,48.37,79.07|13=46.83,82.12,56.23,85.33|14=16.83,89.10,28.03,92.71|15=79.23,95.57,95.23,99.38","21.70,70.10,28.59,76.31|27.59,71.51,33.58,75.10",,,pending_human_confirmation,,images/raw/yale_iiif_r32/f99v_1006247.jpg,line_choice_confirmation_not_evidence_or_ocr
