route42f_id,route42c_id,route42b_id,route32_id,folio,target_locus,line_number,transcription_text,local_image_path,candidate_count,candidate_visual_lines,candidate_visual_line_zones,selected_visual_line_number,selected_zone_box_pct,zone_status,manual_zone_notes,semantic_guardrail
R42F-001,R42C-003,R42B-002,R32-008,f99r,"f99r.2,@Lf",2,"okar,y",images/raw/yale_iiif_r32/f99r_1006246.jpg,6,1|2|3|4|5|6,"1=3.63,1.72,63.63,5.22|2=42.83,7.27,48.90,10.29|3=52.63,19.23,61.50,22.30|4=51.70,81.43,65.37,84.69|5=28.63,88.08,35.10,91.06|6=1.37,94.88,30.17,98.95",,,pending_zone_choice,,line_zone_choice_not_visual_evidence
R42F-002,R42C-004,R42B-002,R32-008,f99r,"f99r.8,@Lf",8,okor,images/raw/yale_iiif_r32/f99r_1006246.jpg,6,1|2|3|4|5|6,"1=3.63,1.72,63.63,5.22|2=42.83,7.27,48.90,10.29|3=52.63,19.23,61.50,22.30|4=51.70,81.43,65.37,84.69|5=28.63,88.08,35.10,91.06|6=1.37,94.88,30.17,98.95",,,pending_zone_choice,,line_zone_choice_not_visual_evidence
R42F-003,R42C-005,R42B-003,R32-001,f99v,"f99v.12,+P0",12,"qokeo.qokeol.chockhy.otol.daiin.oty<->oto{ck}ey.da.chor,aiin",images/raw/yale_iiif_r32/f99v_1006247.jpg,15,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15,"1=14.77,8.45,21.77,11.91|2=13.37,11.33,22.83,14.69|3=12.50,14.57,23.17,18.68|4=14.97,18.91,22.43,22.17|5=15.37,22.85,22.43,25.91|6=15.37,25.03,23.17,29.14|7=15.23,33.82,23.17,36.98|8=15.37,51.05,24.37,54.61|9=15.23,62.27,24.90,66.28|10=17.70,65.25,23.83,68.20|11=22.23,71.36,34.10,75.08|12=17.37,74.09,48.37,79.07|13=46.83,82.12,56.23,85.33|14=16.83,89.10,28.03,92.71|15=79.23,95.57,95.23,99.38",,,pending_zone_choice,,line_zone_choice_not_visual_evidence
R42F-004,R42C-006,R42B-003,R32-001,f99v,"f99v.13,+P0",13,okoraiin.okol.shocthy<->qokor.oloiram<$>,images/raw/yale_iiif_r32/f99v_1006247.jpg,15,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15,"1=14.77,8.45,21.77,11.91|2=13.37,11.33,22.83,14.69|3=12.50,14.57,23.17,18.68|4=14.97,18.91,22.43,22.17|5=15.37,22.85,22.43,25.91|6=15.37,25.03,23.17,29.14|7=15.23,33.82,23.17,36.98|8=15.37,51.05,24.37,54.61|9=15.23,62.27,24.90,66.28|10=17.70,65.25,23.83,68.20|11=22.23,71.36,34.10,75.08|12=17.37,74.09,48.37,79.07|13=46.83,82.12,56.23,85.33|14=16.83,89.10,28.03,92.71|15=79.23,95.57,95.23,99.38",,,pending_zone_choice,,line_zone_choice_not_visual_evidence
R42F-005,R42C-007,R42B-003,R32-001,f99v,"f99v.21,@P0",21,"doror.okeeody.opar.okor.eosaiin.otoraiin.shey.ols,aiiin.qoetal",images/raw/yale_iiif_r32/f99v_1006247.jpg,15,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15,"1=14.77,8.45,21.77,11.91|2=13.37,11.33,22.83,14.69|3=12.50,14.57,23.17,18.68|4=14.97,18.91,22.43,22.17|5=15.37,22.85,22.43,25.91|6=15.37,25.03,23.17,29.14|7=15.23,33.82,23.17,36.98|8=15.37,51.05,24.37,54.61|9=15.23,62.27,24.90,66.28|10=17.70,65.25,23.83,68.20|11=22.23,71.36,34.10,75.08|12=17.37,74.09,48.37,79.07|13=46.83,82.12,56.23,85.33|14=16.83,89.10,28.03,92.71|15=79.23,95.57,95.23,99.38",,,pending_zone_choice,,line_zone_choice_not_visual_evidence
R42F-006,R42C-008,R42B-003,R32-001,f99v,"f99v.24,+P0",24,"shokeeey.cholshey.okol.qokey.okeodal,oldy<$>",images/raw/yale_iiif_r32/f99v_1006247.jpg,15,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15,"1=14.77,8.45,21.77,11.91|2=13.37,11.33,22.83,14.69|3=12.50,14.57,23.17,18.68|4=14.97,18.91,22.43,22.17|5=15.37,22.85,22.43,25.91|6=15.37,25.03,23.17,29.14|7=15.23,33.82,23.17,36.98|8=15.37,51.05,24.37,54.61|9=15.23,62.27,24.90,66.28|10=17.70,65.25,23.83,68.20|11=22.23,71.36,34.10,75.08|12=17.37,74.09,48.37,79.07|13=46.83,82.12,56.23,85.33|14=16.83,89.10,28.03,92.71|15=79.23,95.57,95.23,99.38",,,pending_zone_choice,,line_zone_choice_not_visual_evidence
R42F-007,R42C-009,R42B-003,R32-001,f99v,"f99v.33,+P0",33,dol.okeeol.okeor.okal.okaiin.ckheol.okolaiin.okolaiin.cheoldy,images/raw/yale_iiif_r32/f99v_1006247.jpg,15,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15,"1=14.77,8.45,21.77,11.91|2=13.37,11.33,22.83,14.69|3=12.50,14.57,23.17,18.68|4=14.97,18.91,22.43,22.17|5=15.37,22.85,22.43,25.91|6=15.37,25.03,23.17,29.14|7=15.23,33.82,23.17,36.98|8=15.37,51.05,24.37,54.61|9=15.23,62.27,24.90,66.28|10=17.70,65.25,23.83,68.20|11=22.23,71.36,34.10,75.08|12=17.37,74.09,48.37,79.07|13=46.83,82.12,56.23,85.33|14=16.83,89.10,28.03,92.71|15=79.23,95.57,95.23,99.38",,,pending_zone_choice,,line_zone_choice_not_visual_evidence
R42F-008,R42C-010,R42B-004,R32-003,f67r2,"f67r2.35,@Pb",35,chol.[g:d]iin.okol,images/raw/yale_iiif_r32/f67r2_1006194.jpg,3,1|2|3,"1=18.90,1.02,51.43,4.48|2=67.90,9.71,83.97,14.33|3=59.63,73.87,86.90,77.77",,,pending_zone_choice,,line_zone_choice_not_visual_evidence
R42F-009,R42C-011,R42B-004,R32-003,f67r2,"f67r2.73,+P0",73,"sshey.sy,shees.qeykeey.ykchey.ykchey.qokeochy.oaiin.okol.ar.olar",images/raw/yale_iiif_r32/f67r2_1006194.jpg,3,1|2|3,"1=18.90,1.02,51.43,4.48|2=67.90,9.71,83.97,14.33|3=59.63,73.87,86.90,77.77",,,pending_zone_choice,,line_zone_choice_not_visual_evidence
R42F-010,R42C-012,R42B-005,R32-004,f67v1,"f67v1.3,&L0",3,okal.ary,images/raw/yale_iiif_r32/f67v1_1006195.jpg,1,1,"1=69.43,34.68,76.83,38.88",,,pending_zone_choice,,line_zone_choice_not_visual_evidence
