crop_id,source_review_id,folio,locus,prefix_family,suffixes_present,axis_coverage,group_tokens,matched_annotation_tokens,missing_group_tokens,isolation_status,crop_scope,source_image,image_width,image_height,crop_x,crop_y,crop_width,crop_height,crop_svg,review_notes
R7-001,R6-001,f67r1,"f67r1.6,+Cc",d,al ar ol,ao+rl,dal dar dol,dal dar,dol,needs_exact_glyph_isolation,rough_region_only,images/raw/commons_f67r1_r2.jpg,1536,1217,31,158,768,913,images/derived/review_crops/R7-001_R6-001_f67r1.svg,additional exact token in same circular layer; exact glyph position not isolated
R7-002,R6-002,f67r1,"f67r1.5,@Cc",standalone,ar ol,ao+rl,ar ol,ar ol,,needs_exact_glyph_isolation,rough_region_only,images/raw/commons_f67r1_r2.jpg,1536,1217,31,158,768,913,images/derived/review_crops/R7-002_R6-002_f67r1.svg,standalone matrix value in circular text layer; exact word position not isolated at glyph level | standalone value in circular layer; exact word position not isolated
R7-003,R6-003,f84r,"f84r.14,+P0",standalone,ol or,rl,ol or,ol or,,needs_exact_glyph_isolation,rough_region_only,images/raw/commons_f84r.jpg,1143,1536,91,323,892,507,images/derived/review_crops/R7-003_R6-003_f84r.svg,full image checked; paragraph line belongs to balneological page; exact glyph position not isolated
R7-004,R6-004,f67r1,"f67r1.6,+Cc",standalone,al ar,rl,al ar,al ar,,needs_exact_glyph_isolation,rough_region_only,images/raw/commons_f67r1_r2.jpg,1536,1217,31,158,768,913,images/derived/review_crops/R7-004_R6-004_f67r1.svg,additional standalone value in same circular layer; exact glyph position not isolated | standalone matrix value in circular text layer; exact word position not isolated at glyph level
R7-005,R6-005,f67r1,"f67r1.6,+Cc",ch,ar ol or,ao+rl,chedar cheol cheor chol,chol,chedar cheol cheor,needs_exact_glyph_isolation,rough_region_only,images/raw/commons_f67r1_r2.jpg,1536,1217,31,158,768,913,images/derived/review_crops/R7-005_R6-005_f67r1.svg,additional exact token in same circular layer; exact glyph position not isolated
R7-006,R6-006,f68r3,"f68r3.1,@Cc",ch,al ol or,ao+rl,cheor chodal chokol chol,chol,cheor chodal chokol,needs_exact_glyph_isolation,rough_region_only,images/raw/commons_f68r1_r2_r3.jpg,1536,750,891,53,568,570,images/derived/review_crops/R7-006_R6-006_f68r3.svg,additional exact token in circular layer; exact glyph position not isolated
R7-007,R6-007,f70v2,"f70v2.1,@Cc",ch,al ar ol,ao+rl,chokear chol cholkal,chol,chokear cholkal,needs_exact_glyph_isolation,rough_region_only,images/raw/commons_f70v2.jpg,1536,1509,138,106,1198,1298,images/derived/review_crops/R7-007_R6-007_f70v2.svg,additional exact token in circular zodiac text; exact glyph position not isolated
R7-008,R6-008,f70v2,"f70v2.32,@Cc",standalone,al ar,rl,al ar,ar,al,needs_exact_glyph_isolation,rough_region_only,images/raw/commons_f70v2.jpg,1536,1509,138,106,1198,1298,images/derived/review_crops/R7-008_R6-008_f70v2.svg,standalone value in circular zodiac text; exact word not isolated at glyph level
R7-009,R6-009,f67r1,"f67r1.5,@Cc",ot,ar or,ao,otardar otor,otor,otardar,needs_exact_glyph_isolation,rough_region_only,images/raw/commons_f67r1_r2.jpg,1536,1217,31,158,768,913,images/derived/review_crops/R7-009_R6-009_f67r1.svg,same visible circular-text system as f67r1 C candidates; exact word position not isolated
R7-010,R6-010,f70v2,"f70v2.21,@Cc",ot,ar or,ao,otar oteedar oteeeor,otar,oteedar oteeeor,needs_exact_glyph_isolation,rough_region_only,images/raw/commons_f70v2.jpg,1536,1509,138,106,1198,1298,images/derived/review_crops/R7-010_R6-010_f70v2.svg,"high-quality folio checked; circular zodiac text layer visible, exact word not isolated at glyph level"
R7-011,R6-011,f84r,"f84r.23,+P0",standalone,ol or,rl,ol or,or,ol,needs_exact_glyph_isolation,rough_region_only,images/raw/commons_f84r.jpg,1143,1536,91,722,892,522,images/derived/review_crops/R7-011_R6-011_f84r.svg,full image checked; paragraph line belongs to balneological page; exact glyph position not isolated
