score,folio,locus,locus_kind,visual_context_from_locus,token,target_status,prefix,suffix,line_position,previous_token,next_token,line_tokens,image_checked,image_file_or_url,ink_color,visual_zone,ring,sector,radius,object_nearby,visual_notes,annotation_confidence
16,f67r1,"f67r1.6,+Cc",C,circular text,otar,exact,ot,ar,middle,chetejy,dair,dair al cheol dal oekaiin sol daiin eetees saiin ykeos l chy otodaiin chetejy otar dair ar chedar okeedy ot e i odaiin ychsy chekeey ot dol al cheor okeo r oiin cheeky ary okeo keds oshey shchey chol dair dain cho dar aldy,,,,,,,,,,
16,f70v2,"f70v2.21,@Cc",C,circular text,otar,exact,ot,ar,middle,amdy,am,daii 197 amdy otar am aral otair chedaiin oteey dair shchey daiin chalaly oteody chotol chedy oteotey oteeeor ar alody daiir oteedar oteey teey dalal cheoltey oteedy sheeteey okeeol ykeeos shey ykair arar alos,,,,,,,,,,
15,f67r1,"f67r1.5,@Cc",C,circular text,ar,standalone,,ar,middle,chpar,sheees,soairol shdy chokeody ykeedal ol oteodaiin cho ikh edy ot chteokaiin choteedy otor epchy chpar ar sheees deedy soeteed octheey s o eokeot y choteoky chockhy okees sor aiin daram schdes chdar dar dchschdy dar dar ar otardar ykaros,,,,,,,,,,
15,f67r1,"f67r1.6,+Cc",C,circular text,ar,standalone,,ar,middle,dair,chedar,dair al cheol dal oekaiin sol daiin eetees saiin ykeos l chy otodaiin chetejy otar dair ar chedar okeedy ot e i odaiin ychsy chekeey ot dol al cheor okeo r oiin cheeky ary okeo keds oshey shchey chol dair dain cho dar aldy,,,,,,,,,,
15,f70r2,"f70r2.16,+Cc",C,circular text,otar,exact,ot,ar,start,,ar,otar ar chedal oaral aldaiin ykeeedaiis sheo l dar chol ykees aiir dl cheey s r keeod oteeodar aiin aral daiir sheedal sheodaiin choar chol chot e i oly cho oteey chotey choeky chedy choteosam oteodar o ckhh,,,,,,,,,,
15,f70v2,"f70v2.21,@Cc",C,circular text,ar,standalone,,ar,middle,oteeeor,alody,daii 197 amdy otar am aral otair chedaiin oteey dair shchey daiin chalaly oteody chotol chedy oteotey oteeeor ar alody daiir oteedar oteey teey dalal cheoltey oteedy sheeteey okeeol ykeeos shey ykair arar alos,,,,,,,,,,
15,f70v2,"f70v2.32,@Cc",C,circular text,ar,standalone,,ar,middle,otaiin,oteey,otal daly oteoal dal aildy otaiin ar oteey shal o qoteeal ar al otaiin al teodaiin oteeo cthey oteeos oteos aiin daim,,,,,,,,,,
15,f70v2,"f70v2.32,@Cc",C,circular text,otal,exact,ot,al,start,,daly,otal daly oteoal dal aildy otaiin ar oteey shal o qoteeal ar al otaiin al teodaiin oteeo cthey oteeos oteos aiin daim,,,,,,,,,,
15,f72r1,"f72r1.12,@Cc",C,circular text,qokar,exact,qok,ar,end,o,,oteodar ytey otey shetey chokshor okalal otaiin sheolaiin otaiin chetey cheolor oteo teeody otar chokaiin okaiin al alo cheedy otear ar cheky chokal otar al o qokar,,,,,,,,,,
15,f72v1,"f72v1.22,@Cc",C,circular text,otar,exact,ot,ar,start,,ar,otar ar otol topar oteolaiin ofa r s al otshedy ofalar alshdy chpar aiin okaly oka yaly opcheolfy opar cheo ck ey otolopaiin shaldy chepchy otey tea n r,,,,,,,,,,
15,f67r2,"f67r2.10,&L0",L,label,okar,exact,ok,ar,end,kchy,,lkshy kchy okar,,,,,,,,,,
15,f67r2,"f67r2.22,+L0",L,label,okal,exact,ok,al,single,,,okal,,,,,,,,,,
15,f67r2,"f67r2.3,&L0",L,label,okar,exact,ok,ar,end,shs,,c 164 ey shs okar,,,,,,,,,,
15,f67r2,"f67r2.57,&Ls",L,label,otar,exact,ot,ar,start,,dy,otar dy,,,,,,,,,,
15,f68r1,"f68r1.25,@Ls",L,label,otol,exact,ot,ol,single,,,otol,,,,,,,,,,
15,f68r1,"f68r1.26,@Ls",L,label,otor,exact,ot,or,single,,,otor,,,,,,,,,,
15,f70v2,"f70v2.16,&Lz",L,label,otal,exact,ot,al,start,,arar,otal arar,,,,,,,,,,
15,f70v2,"f70v2.22,@Lz",L,label,otar,exact,ot,ar,start,,am,otar am,,,,,,,,,,
15,f70v2,"f70v2.23,&Lz",L,label,otar,exact,ot,ar,start,,al,otar al,,,,,,,,,,
15,f70v2,"f70v2.4,&Lz",L,label,otar,exact,ot,ar,single,,,otar,,,,,,,,,,
15,f88v,"f88v.12,@Lf",L,label,otor,exact,ot,or,start,,a,otor a y,,,,,,,,,,
15,f88v,"f88v.4,@Lf",L,label,otar,exact,ot,ar,start,,arody,otar arody,,,,,,,,,,
15,f99r,"f99r.2,@Lf",L,label,okar,exact,ok,ar,start,,y,okar y,,,,,,,,,,
15,f99r,"f99r.8,@Lf",L,label,okor,exact,ok,or,single,,,okor,,,,,,,,,,
15,f99v,"f99v.27,@Lf",L,label,otal,exact,ot,al,single,,,otal,,,,,,,,,,
15,f67v2,"f67v2.16,@Ri",R,radial text,okar,exact,ok,ar,start,,alet,okar alet olkao,,,,,,,,,,
15,f68r3,"f68r3.5,@Ri",R,radial text,qokol,exact,qok,ol,start,,chdchol,qokol chdchol qoteey che kechy okchdy,,,,,,,,,,
14,f57v,"f57v.2,@Cc",C,circular text,qokar,exact,qok,ar,middle,daram,okal,v sal y soeos vs ar okees o d soefchees l g sos okey defo f o rkedam sh ofol sar ddal yty s y daiir otey dshdy dkal s r oty pchchy a r opaiin dal karody v r okeey daram qokar okal okal d o l shkeal dy das o k sher s aiin,,,,,,,,,,
14,f67r1,"f67r1.5,@Cc",C,circular text,otor,exact,ot,or,middle,choteedy,epchy,soairol shdy chokeody ykeedal ol oteodaiin cho ikh edy ot chteokaiin choteedy otor epchy chpar ar sheees deedy soeteed octheey s o eokeot y choteoky chockhy okees sor aiin daram schdes chdar dar dchschdy dar dar ar otardar ykaros,,,,,,,,,,
14,f68r2,"f68r2.31,@Cc",C,circular text,okol,exact,ok,ol,middle,okoaiin,o,okey okoaiin okol o ky oeeeo r okey okeeol cheo o 231 232 233 234,,,,,,,,,,
14,f68r3,"f68r3.22,@Cc",C,circular text,okol,exact,ok,ol,middle,chokchy,cheol,otcheody chokchy okol cheol dar cho keol dolaiin okeol oly,,,,,,,,,,
14,f69v,"f69v.1,@Cc",C,circular text,okar,exact,ok,ar,middle,choaiin,okar,dair cheyky otaza sar ar chykar okoirsh ar chetody okeeos o tey otokeeey okeeody okeey doiir c 204 teeo y chey ot y okedy chsdy okeod y dy choaiin okar okar chol chees yto odair oty oteeo dar o eykeody dchor char,,,,,,,,,,
14,f70r1,"f70r1.13,@Cc",C,circular text,otar,exact,ot,ar,middle,alal,ar,tshey ol oteey ched ar oteos cheor alal otar ar y oteodchey keody oteos al oteeed,,,,,,,,,,
14,f70r2,"f70r2.15,@Cc",C,circular text,okar,exact,ok,ar,middle,g,ar,sal air am shedy chokal cho ikh y shokeey choky chol dy okeeal o teedy dgr dair aiin okees okeear ar alekeey ar kam oteoodalry chekeoar chokey dar dcheoky otai do ith y dair otchetchar okear okeeo lal kch g okar ar dar,,,,,,,,,,
14,f71v,"f71v.1,@Cc",C,circular text,otar,exact,ot,ar,middle,cheol,okam,osheo parar oteeodaiin she ateey daiin oteokeey dal al oteey teey dy otchy keey sheeo ochey chey otcheodal sheealody cheol otar okam oteodar chpchy cp ar al aiin oteoshar okeodaly oteey teeey oteey keor or arol cheols okaikaly,,,,,,,,,,
14,f72r1,"f72r1.12,@Cc",C,circular text,otar,exact,ot,ar,middle,teeody,chokaiin,oteodar ytey otey shetey chokshor okalal otaiin sheolaiin otaiin chetey cheolor oteo teeody otar chokaiin okaiin al alo cheedy otear ar cheky chokal otar al o qokar,,,,,,,,,,
14,f72r2,"f72r2.6,@Cc",C,circular text,otar,exact,ot,ar,middle,daiin,al,oteos aiin okeo daiin okeey cheo keodal chol okeol ol ckhh y oteeykeey tey okalaiin okalchal chey al o keey daiin otar al chotaiin otchey qoeeeo s ckh al chekaiin otaiin chy d r aiin al y chh o chekaiin okedal qokeodal saiin otois otees,,,,,,,,,,
14,f72r3,"f72r3.1,@Cc",C,circular text,okar,exact,ok,ar,middle,chekar,choly,okeey chekoy oteo ykeey chedaiin okeeol cheeor chocthar ar oteody oteedy okeolaiin oteey okarar teo sheol al alaiiin okeos alaiin okor o keodar okee s ar aiin chekackhy chokees oteedy chekar okar choly ches os oiin okeeey cheey ches okeody chealdy shocthy choteey sheoly oh eol sheey chorain,,,,,,,,,,
14,f72v1,"f72v1.1,@Cc",C,circular text,otar,exact,ot,ar,middle,alar,air,oteos alar otar air chpaly oteody okchesal otear alshey oleealy sh tey oteos alal dals alchol ytolaiin ydaiin chotar y tal oto shoty otey okchedaly chdar y s ar otedy otorar shedy opsheytey opairaly choshydy otar cheedy otaraiin cheeky okolar ychey otechety,,,,,,,,,,
14,f72v2,"f72v2.20,@Cc",C,circular text,ar,standalone,,ar,end,oltar,,oteesody otey oteeos sheoty yteeg dchsaiin shol okeees air am shey qokeodal oteotey oteoldy oteal chedy chotalal okal cheol sar aiin cheokealy sardy otol chekar alteol oltar ar,,,,,,,,,,
14,f73r,"f73r.22,@Cc",C,circular text,otar,exact,ot,ar,middle,okees,chey,oteey dar al opaiin olalaiin s air am chopchedy chdar oram otareees olteey okees otar chey oteas ochor oparchey daiin qocheey s cheey dal cheesy,,,,,,,,,,
14,f85r2,"f85r2.1,@Cc",C,circular text,otar,exact,ot,ar,middle,otody,chepaiin,odeedy otedy opaees ar chcthy otchdy otody otar chepaiin otodar otodaiin opaiin otaiin qopchas otchedy olkaiin odar aloees otchedy qotedaiin odar octhody shedaiin olaiin olfor daiin ol lkech ch os aiin oteedy dar otees opaiin chcphdar,,,,,,,,,,
14,fRos,"fRos.133,@Cc",C,circular text,otar,exact,ot,ar,middle,ol,chchdam,ok ar ar okary otodeed odar chekaiin oees oiin okees oiir odaiin okalol aiiin okal ol otar chchdam chetey otodches oteesey chckhy otody otal chedal opal olkar okedaiin oror,,,,,,,,,,
14,fRos,"fRos.2,@Cc",C,circular text,otar,exact,ot,ar,middle,adar,otes,oto tosaes adar otar otes okaiin dal al chdar otdar chefchs okor ol om olkeeodaiin shol okal orshees qoeey okalol otodr ochs ar ol oqokam oteed oteedy okedy lraiin or aiin okor okeedy,,,,,,,,,,
14,fRos,"fRos.47,@Cc",C,circular text,otar,exact,ot,ar,middle,osar,otodeedy,osar otar otodeedy oty daiin sheor oar otedy qotedy oteey otoraiin chekad r ol aiin okedal olor op o a iiral eeealky y tar qokeo l tched oiin oteedaiin odal cheky otchdor or olkoaiin ok a o l o laiin,,,,,,,,,,
14,fRos,"fRos.62,@Cc",C,circular text,okar,exact,ok,ar,middle,okeody,odsheedy,otor os om araiin okeody okar odsheedy odaiin okchdy okar shor okaiin daiin ofair oly olkair odal olkalor olors y o d esha x k r olar oteedaiin otes ar yqos aiiin ol qotody ol oir or oroa oteeedy okal okodar otshe okody otedy chdar o,,,,,,,,,,
14,fRos,"fRos.87,@Cc",C,circular text,okar,exact,ok,ar,middle,okem,ar,yke okees olchedy okal y dol otodar shekalolkar cheykar shal qokal okchr otar otody otody otody otas chfol okshy okem okar ar okedy okedy okchedy eeekchedy ofchdor qotchdy kar chdar chekolko iph,,,,,,,,,,
14,fRos,"fRos.87,@Cc",C,circular text,otar,exact,ot,ar,middle,okchr,otody,yke okees olchedy okal y dol otodar shekalolkar cheykar shal qokal okchr otar otody otody otody otas chfol okshy okem okar ar okedy okedy okchedy eeekchedy ofchdor qotchdy kar chdar chekolko iph,,,,,,,,,,
14,fRos,"fRos.94,@Cc",C,circular text,otar,exact,ot,ar,middle,otedar,odaiin,otchdaiin otodar otedar otar odaiin olkaiin otl xasashe ol ar a ikh e chedaiin ockhedy shed a y otody okedal d or aiin otody toor chepar ol chckhy opchdar o r a r al xar opor olchedy okalm or afalairidy,,,,,,,,,,
14,f68r2,"f68r2.30,@Ls",L,label,or,standalone,,or,end,eech,,ok eeee eech or,,,,,,,,,,
14,f70v2,"f70v2.23,&Lz",L,label,al,standalone,,al,end,otar,,otar al,,,,,,,,,,
14,f70v2,"f70v2.7,&Lz",L,label,ar,standalone,,ar,end,oty,,oty ar,,,,,,,,,,
14,f84r,"f84r.2,@Ln",L,label,or,standalone,,or,start,,shekar,or shekar,,,,,,,,,,
14,f67v2,"f67v2.12,@Ri",R,radial text,ar,standalone,,ar,end,r,,oeolales ai s r ar,,,,,,,,,,
13,f57v,"f57v.2,@Cc",C,circular text,ar,standalone,,ar,middle,vs,okees,v sal y soeos vs ar okees o d soefchees l g sos okey defo f o rkedam sh ofol sar ddal yty s y daiir otey dshdy dkal s r oty pchchy a r opaiin dal karody v r okeey daram qokar okal okal d o l shkeal dy das o k sher s aiin,,,,,,,,,,
13,f57v,"f57v.5,+Cc",C,circular text,ar,standalone,,ar,middle,171,o,o v a l r m aiin d 170 c f s r y l k x l r 171 ar o r a t l s r d y dar teodar otodal sheky oteeody x s r l,,,,,,,,,,
13,f67r1,"f67r1.5,@Cc",C,circular text,dar,exact,d,ar,middle,chdar,dchschdy,soairol shdy chokeody ykeedal ol oteodaiin cho ikh edy ot chteokaiin choteedy otor epchy chpar ar sheees deedy soeteed octheey s o eokeot y choteoky chockhy okees sor aiin daram schdes chdar dar dchschdy dar dar ar otardar ykaros,,,,,,,,,,
13,f67r1,"f67r1.5,@Cc",C,circular text,ol,standalone,,ol,middle,ykeedal,oteodaiin,soairol shdy chokeody ykeedal ol oteodaiin cho ikh edy ot chteokaiin choteedy otor epchy chpar ar sheees deedy soeteed octheey s o eokeot y choteoky chockhy okees sor aiin daram schdes chdar dar dchschdy dar dar ar otardar ykaros,,,,,,,,,,
13,f67r1,"f67r1.6,+Cc",C,circular text,al,standalone,,al,middle,dair,cheol,dair al cheol dal oekaiin sol daiin eetees saiin ykeos l chy otodaiin chetejy otar dair ar chedar okeedy ot e i odaiin ychsy chekeey ot dol al cheor okeo r oiin cheeky ary okeo keds oshey shchey chol dair dain cho dar aldy,,,,,,,,,,
13,f67r1,"f67r1.6,+Cc",C,circular text,dar,exact,d,ar,middle,cho,aldy,dair al cheol dal oekaiin sol daiin eetees saiin ykeos l chy otodaiin chetejy otar dair ar chedar okeedy ot e i odaiin ychsy chekeey ot dol al cheor okeo r oiin cheeky ary okeo keds oshey shchey chol dair dain cho dar aldy,,,,,,,,,,
13,f68r3,"f68r3.1,@Cc",C,circular text,al,standalone,,al,middle,chol,oteodched,odeed oteedy cheoteey oshchey chokol cheody chedy oteodaiin otchodal sol cheor oteo choteey oeteody opcheody dchedy daiin oteeody dascheedy oteeody qoeee ct c 204 g dcheeo okeodly do ls oschaiin cheockhedchy chodal cheod a y chol al oteodched okedy qokeey shoky dol daleeed okeoeiiir,,,,,,,,,,
13,f68r3,"f68r3.22,@Cc",C,circular text,dar,exact,d,ar,middle,cheol,cho,otcheody chokchy okol cheol dar cho keol dolaiin okeol oly,,,,,,,,,,
13,f68v3,"f68v3.5,@Cc",C,circular text,ar,standalone,,ar,middle,s,oekaiin,oky otol ees choty cheda s r otchdy s ar oekaiin oteol dar cheo dais qoeeo kaiin okchey dal cheky ykos y q akeg s ol ay ykoees yty dy dy chody otol ol ees oty dar qotay otoy chey kodar dar sheody shees daiin oteeoaly oteeosol ol okol olsey tol cheol okeey choekcheey okchy qokchshy dchol chshek,,,,,,,,,,
13,f69v,"f69v.1,@Cc",C,circular text,ar,standalone,,ar,middle,sar,chykar,dair cheyky otaza sar ar chykar okoirsh ar chetody okeeos o tey otokeeey okeeody okeey doiir c 204 teeo y chey ot y okedy chsdy okeod y dy choaiin okar okar chol chees yto odair oty oteeo dar o eykeody dchor char,,,,,,,,,,
13,f69v,"f69v.3,@Cc",C,circular text,ar,standalone,,ar,middle,otoar,240,doair otaldal dair 240 chdy otoar ar 240 chy qoteor cho qotair chda oteeal cheor ar air oteody ytyd a dchy otoly okeodal oteoarar cheteese r dair chey okody dal oteey oteey,,,,,,,,,,
13,f70r1,"f70r1.13,@Cc",C,circular text,ar,standalone,,ar,middle,ched,oteos,tshey ol oteey ched ar oteos cheor alal otar ar y oteodchey keody oteos al oteeed,,,,,,,,,,
13,f70r1,"f70r1.2,@Cc",C,circular text,ar,standalone,,ar,middle,sheal,ykeody,oteody choekeeos alair dy okol okeey dasy ot a o rsheod okchody oteos okes okeys e i y okchol sairody o chopcheopchy chol air shekchy choteody oteeshs opcheody otol choky chody chotey sheal ar ykeody oteey chedaiin chotar soly,,,,,,,,,,
13,f70r1,"f70r1.3,+Cc",C,circular text,ar,standalone,,ar,middle,oteos,os,okeodar chy oteody tochady okchody ytar ytory okeol choly yk y okchedy chkal ofchon qokal opolaiin okeos oty dal cheokeey dal cheo al oteeoky chety chodalar okal chear aly oteos ar os al okolair dy,,,,,,,,,,
