folio,locus,token,suffix,image_file_or_url,image_checked,ink_color,visual_zone,ring,sector,radius,object_nearby,visual_notes,annotation_confidence
f67r1,"f67r1.6,+Cc",otar,ar,images/raw/commons_f67r1_r2.jpg,yes,brown,circular text,outer/annular text around left-page diagram,,,"central face with red/blue rays and surrounding stars","full folio checked; exact word position not isolated at glyph level",medium
f67r1,"f67r1.5,@Cc",ar,ar,images/raw/commons_f67r1_r2.jpg,yes,brown,circular text,outer/annular text around left-page diagram,,,"central face with red/blue rays and surrounding stars","standalone matrix value in circular text layer; exact word position not isolated at glyph level",medium
f67r1,"f67r1.6,+Cc",ar,ar,images/raw/commons_f67r1_r2.jpg,yes,brown,circular text,outer/annular text around left-page diagram,,,"central face with red/blue rays and surrounding stars","standalone matrix value in circular text layer; exact word position not isolated at glyph level",medium
f67r1,"f67r1.5,@Cc",otor,or,images/raw/commons_f67r1_r2.jpg,yes,brown,circular text,outer/annular text around left-page diagram,,,"central face with red/blue rays and surrounding stars","same visible circular-text system as f67r1 C candidates; exact word position not isolated",medium
f67r1,"f67r1.5,@Cc",ol,ol,images/raw/commons_f67r1_r2.jpg,yes,brown,circular text,outer/annular text around left-page diagram,,,"central face with red/blue rays and surrounding stars","standalone value in circular layer; exact word position not isolated",medium
f67r2,"f67r2.10,&L0",okar,ar,images/raw/commons_f67r1_r2.jpg,yes,brown,label,inside right-page circular diagram,,,"small moon/planet disks and sector dividers","label row belongs to right-page diagram; exact small label not isolated",low
f67r2,"f67r2.22,+L0",okal,al,images/raw/commons_f67r1_r2.jpg,yes,brown,label,inside right-page circular diagram,,,"small moon/planet disks and sector dividers","label row belongs to right-page diagram; exact small label not isolated",low
f67r2,"f67r2.3,&L0",okar,ar,images/raw/commons_f67r1_r2.jpg,yes,brown,label,inside/right-page circular diagram or red-ring-adjacent layer,,,"small moon/planet disks and red outer writing","label row belongs to right-page diagram; exact small label not isolated",low
f67r2,"f67r2.57,&Ls",otar,ar,images/raw/commons_f67r1_r2.jpg,yes,brown,label,lower/right-page diagram label layer,,,"small moon/planet disks and lower text band","label row belongs to right-page diagram; exact small label not isolated",low
f67v2,"f67v2.16,@Ri",okar,ar,images/raw/commons_f67v2_v1.jpg,yes,brown,radial text,radial/cosmological left-page diagram,,radial spoke,"small circular nodes and painted blue/green/red diagram areas","radial locus visible on f67v2 spread; exact word position not isolated",medium
f67v2,"f67v2.12,@Ri",ar,ar,images/raw/commons_f67v2_v1.jpg,yes,brown,radial text,radial/cosmological left-page diagram,,radial spoke,"small circular nodes and painted blue/green/red diagram areas","standalone value in radial layer; exact word position not isolated",medium
f68r1,"f68r1.25,@Ls",otol,ol,images/raw/commons_f68r1_r2_r3.jpg,yes,brown,label,left foldout star/moon label layer,,,"stars and small moon/sun faces","label layer visible on left/middle foldout panels; exact label not isolated",low
f68r1,"f68r1.26,@Ls",otor,or,images/raw/commons_f68r1_r2_r3.jpg,yes,brown,label,left foldout star/moon label layer,,,"stars and small moon/sun faces","label layer visible on left/middle foldout panels; exact label not isolated",low
f68r2,"f68r2.31,@Cc",okol,ol,images/raw/commons_f68r1_r2_r3.jpg,yes,brown,circular text,middle foldout circular/star text,,,"star field and small face medallions","circular locus visible on foldout; exact word position not isolated",low
f68r3,"f68r3.5,@Ri",qokol,ol,images/raw/commons_f68r1_r2_r3.jpg,yes,brown,radial text,right foldout star-field diagram,,radial spoke,"central face medallion and dense star groups","radial texts are visible around f68r3; candidate line belongs to right-panel radial system",medium
f68r3,"f68r3.22,@Cc",okol,ol,images/raw/commons_f68r1_r2_r3.jpg,yes,brown,circular text,annular/circular text,,,central face medallion and dense star groups,"circular text visible around f68r3; exact word position not isolated",medium
f68r3,"f68r3.1,@Cc",al,al,images/raw/commons_f68r1_r2_r3.jpg,yes,brown,circular text,annular/circular text,,,central face medallion and dense star groups,"standalone value in circular layer; exact word position not isolated",medium
f70v2,"f70v2.21,@Cc",otar,ar,images/raw/commons_f70v2.jpg,yes,brown,circular text,zodiac ring / circular band,outer/figure ring,,zodiac nymph figures and stars,"high-quality folio checked; circular zodiac text layer visible, exact word not isolated at glyph level",medium
f70v2,"f70v2.21,@Cc",ar,ar,images/raw/commons_f70v2.jpg,yes,brown,circular text,zodiac ring / circular band,outer/figure ring,,zodiac nymph figures and stars,"standalone value in circular zodiac text; exact word not isolated at glyph level",medium
f70v2,"f70v2.32,@Cc",ar,ar,images/raw/commons_f70v2.jpg,yes,brown,circular text,zodiac ring / circular band,inner/outer text band,,zodiac nymph figures and stars,"standalone value in circular zodiac text; exact word not isolated at glyph level",medium
f70v2,"f70v2.32,@Cc",otal,al,images/raw/commons_f70v2.jpg,yes,brown,circular text,zodiac ring / circular band,inner/outer text band,,zodiac nymph figures and stars,"exact token in circular zodiac text; exact word not isolated at glyph level",medium
f70v2,"f70v2.16,&Lz",otal,al,images/raw/commons_f70v2.jpg,yes,brown,label,zodiac label layer,figure ring,,zodiac nymph figure with star,"short label layer visible around zodiac figure ring",medium
f70v2,"f70v2.22,@Lz",otar,ar,images/raw/commons_f70v2.jpg,yes,brown,label,zodiac label layer,figure ring,,zodiac nymph figure with star,"short label layer visible around zodiac figure ring",medium
f70v2,"f70v2.23,&Lz",otar,ar,images/raw/commons_f70v2.jpg,yes,brown,label,zodiac label layer,figure ring,,zodiac nymph figure with star,"short label layer visible around zodiac figure ring",medium
f70v2,"f70v2.4,&Lz",otar,ar,images/raw/commons_f70v2.jpg,yes,brown,label,zodiac label layer,figure ring,,zodiac nymph figure with star,"single-token label in zodiac figure ring",medium
f70v2,"f70v2.23,&Lz",al,al,images/raw/commons_f70v2.jpg,yes,brown,label,zodiac label layer,figure ring,,zodiac nymph figure with star,"standalone value in short zodiac label; exact word position not isolated",medium
f70v2,"f70v2.7,&Lz",ar,ar,images/raw/commons_f70v2.jpg,yes,brown,label,zodiac label layer,figure ring,,zodiac nymph figure with star,"standalone value in short zodiac label; exact word position not isolated",medium
f84r,"f84r.2,@Ln",or,or,images/raw/supplemental_f84r.jpg,yes,brown,label,biological/balneological page label layer,,,"pool/tube-like structures and dense paragraph text","preview image only; label layer visible but exact word position not isolated",low
f88v,"f88v.12,@Lf",otor,or,images/raw/supplemental_f89r1.jpg,yes,brown,label,pharmaceutical label layer,,,"plant/root drawings and vessels","preview image covers pharmaceutical opening; folio-side exactness low",low
f88v,"f88v.4,@Lf",otar,ar,images/raw/supplemental_f89r1.jpg,yes,brown,label,pharmaceutical label layer,,,"plant/root drawings and vessels","preview image covers pharmaceutical opening; folio-side exactness low",low
f99v,"f99v.27,@Lf",otal,al,images/raw/supplemental_f99v.jpg,yes,brown,label,pharmaceutical label layer,,,"plant/root drawings and container-like forms","preview image only; label layer visible but exact word position not isolated",low
f67r1,"f67r1.5,@Cc",dar,ar,images/raw/commons_f67r1_r2.jpg,yes,brown,circular text,outer/annular text around left-page diagram,,,"central face with red/blue rays and surrounding stars","additional exact token in same circular layer; exact glyph position not isolated",medium
f67r1,"f67r1.6,+Cc",al,al,images/raw/commons_f67r1_r2.jpg,yes,brown,circular text,outer/annular text around left-page diagram,,,"central face with red/blue rays and surrounding stars","additional standalone value in same circular layer; exact glyph position not isolated",medium
f67r1,"f67r1.6,+Cc",dal,al,images/raw/commons_f67r1_r2.jpg,yes,brown,circular text,outer/annular text around left-page diagram,,,"central face with red/blue rays and surrounding stars","additional exact token in same circular layer; exact glyph position not isolated",medium
f67r1,"f67r1.6,+Cc",chol,ol,images/raw/commons_f67r1_r2.jpg,yes,brown,circular text,outer/annular text around left-page diagram,,,"central face with red/blue rays and surrounding stars","additional exact token in same circular layer; exact glyph position not isolated",medium
f67r1,"f67r1.6,+Cc",dar,ar,images/raw/commons_f67r1_r2.jpg,yes,brown,circular text,outer/annular text around left-page diagram,,,"central face with red/blue rays and surrounding stars","additional exact token in same circular layer; exact glyph position not isolated",medium
f67r1,"f67r1.13,@Ri",dar,ar,images/raw/commons_f67r1_r2.jpg,yes,brown,radial text,left-page diagram radial or spoke text,,radial spoke,"central face with red/blue rays and surrounding stars","radial locus in same diagram family; exact glyph position not isolated",medium
f68r2,"f68r2.25,@Ls",chol,ol,images/raw/commons_f68r1_r2_r3.jpg,yes,brown,label,middle foldout star/moon label layer,,,"stars and small moon/sun faces","label layer visible on foldout; exact glyph position not isolated",low
f68r2,"f68r2.30,@Ls",or,or,images/raw/commons_f68r1_r2_r3.jpg,yes,brown,label,middle foldout star/moon label layer,,,"stars and small moon/sun faces","standalone value in label layer; exact glyph position not isolated",low
f68r3,"f68r3.1,@Cc",chol,ol,images/raw/commons_f68r1_r2_r3.jpg,yes,brown,circular text,annular/circular text,,,central face medallion and dense star groups,"additional exact token in circular layer; exact glyph position not isolated",medium
f68r3,"f68r3.22,@Cc",dar,ar,images/raw/commons_f68r1_r2_r3.jpg,yes,brown,circular text,annular/circular text,,,central face medallion and dense star groups,"additional exact token in circular layer; exact glyph position not isolated",medium
f70v2,"f70v2.1,@Cc",dar,ar,images/raw/commons_f70v2.jpg,yes,brown,circular text,zodiac ring / circular band,inner/outer text band,,zodiac nymph figures and stars,"additional exact token in circular zodiac text; exact glyph position not isolated",medium
f70v2,"f70v2.1,@Cc",al,al,images/raw/commons_f70v2.jpg,yes,brown,circular text,zodiac ring / circular band,inner/outer text band,,zodiac nymph figures and stars,"additional standalone value in circular zodiac text; exact glyph position not isolated",medium
f70v2,"f70v2.1,@Cc",chol,ol,images/raw/commons_f70v2.jpg,yes,brown,circular text,zodiac ring / circular band,inner/outer text band,,zodiac nymph figures and stars,"additional exact token in circular zodiac text; exact glyph position not isolated",medium
