source,folio,locus,locus_kind,locus_code,visual_context,note,token,target_status,prefix,suffix,line_position,token_index,line_token_count,previous_token,next_token,line_tokens
ZL3b-n.txt,f1r,"f1r.1,@P0",P,P,paragraph/text line,The 2nd and 3rd paragraphs start with thick non-Voynich symbols.,ykal,broad,yk,al,middle,2,12,fachys,ar,fachys ykal ar ataiin shol shory cth oto res y kor sholdy
ZL3b-n.txt,f1r,"f1r.1,@P0",P,P,paragraph/text line,The 2nd and 3rd paragraphs start with thick non-Voynich symbols.,ar,standalone,,ar,middle,3,12,ykal,ataiin,fachys ykal ar ataiin shol shory cth oto res y kor sholdy
ZL3b-n.txt,f1r,"f1r.1,@P0",P,P,paragraph/text line,The 2nd and 3rd paragraphs start with thick non-Voynich symbols.,shol,exact,sh,ol,middle,5,12,ataiin,shory,fachys ykal ar ataiin shol shory cth oto res y kor sholdy
ZL3b-n.txt,f1r,"f1r.2,+P0",P,P,paragraph/text line,The 2nd and 3rd paragraphs start with thick non-Voynich symbols.,or,standalone,,or,middle,3,11,ckhar,y,sory ckhar or y kair chtaiin shar ase cthar cthar dan
ZL3b-n.txt,f1r,"f1r.2,+P0",P,P,paragraph/text line,The 2nd and 3rd paragraphs start with thick non-Voynich symbols.,shar,broad,sh,ar,middle,7,11,chtaiin,ase,sory ckhar or y kair chtaiin shar ase cthar cthar dan
ZL3b-n.txt,f1r,"f1r.3,+P0",P,P,paragraph/text line,The 2nd and 3rd paragraphs start with thick non-Voynich symbols.,or,standalone,,or,middle,3,9,sheky,ykaiin,syaiir sheky or ykaiin shod cthoary cthes daraiin sy
ZL3b-n.txt,f1r,"f1r.4,+P0",P,P,paragraph/text line,The 2nd and 3rd paragraphs start with thick non-Voynich symbols.,or,standalone,,or,middle,10,11,okaiin,okan,soiin oteey oteo s r roloty cthiar daiin okaiin or okan
ZL3b-n.txt,f1r,"f1r.5,+P0",P,P,paragraph/text line,The 2nd and 3rd paragraphs start with thick non-Voynich symbols.,chear,broad,ch,ar,middle,3,6,y,cthaiin,sair y chear cthaiin cphar cfhaiin
ZL3b-n.txt,f1r,"f1r.7,*P0",P,P,paragraph/text line,The 2nd and 3rd paragraphs start with thick non-Voynich symbols.,odar,exact,od,ar,start,1,10,,c,odar c y shol cphoy oydar sh s cfhoaiin shodary
ZL3b-n.txt,f1r,"f1r.7,*P0",P,P,paragraph/text line,The 2nd and 3rd paragraphs start with thick non-Voynich symbols.,shol,exact,sh,ol,middle,4,10,y,cphoy,odar c y shol cphoy oydar sh s cfhoaiin shodary
