axis,row_label,currier_A,currier_B,semantic_guardrail
section_x_currier,balneological,0,19,rota68_codicology_not_decipherment
section_x_currier,cosmological,0,3,rota68_codicology_not_decipherment
section_x_currier,herbal,95,32,rota68_codicology_not_decipherment
section_x_currier,pharmaceutical,16,0,rota68_codicology_not_decipherment
section_x_currier,stars_recipes,2,23,rota68_codicology_not_decipherment
section_x_currier,text_only,1,5,rota68_codicology_not_decipherment
hand_x_currier,1,112,0,rota68_codicology_not_decipherment
hand_x_currier,2,0,46,rota68_codicology_not_decipherment
hand_x_currier,3,2,28,rota68_codicology_not_decipherment
hand_x_currier,5,0,7,rota68_codicology_not_decipherment
