quire,n_folios,currier_labels,n_currier_runs,dominant_currier,currier_pure,first_folio,last_folio,semantic_guardrail
A,16,A,1,A,True,f1r,f8v,rota68_codicology_not_decipherment
B,14,A,1,A,True,f9r,f16v,rota68_codicology_not_decipherment
C,16,A,1,A,True,f17r,f24v,rota68_codicology_not_decipherment
D,16,A|B,5,A,False,f25r,f32v,rota68_codicology_not_decipherment
E,16,A|B,3,B,False,f33r,f40v,rota68_codicology_not_decipherment
F,16,A|B,7,B,False,f41r,f48v,rota68_codicology_not_decipherment
G,16,A|B,5,A,False,f49r,f56v,rota68_codicology_not_decipherment
H,8,A|B,3,B,False,f57r,f66v,rota68_codicology_not_decipherment
I,10,unknown,0,unknown,True,f67r1,f68v3,rota68_codicology_not_decipherment
J,6,unknown,0,unknown,True,f69r,f70v2,rota68_codicology_not_decipherment
K,8,unknown,0,unknown,True,f71r,f72v3,rota68_codicology_not_decipherment
L,2,unknown,0,unknown,True,f73r,f73v,rota68_codicology_not_decipherment
M,20,B,1,B,True,f75r,f84v,rota68_codicology_not_decipherment
N,6,B,1,B,True,f85r1,f86v6,rota68_codicology_not_decipherment
O,12,A,1,A,True,f87r,f90v2,rota68_codicology_not_decipherment
Q,10,A|B,3,B,False,f93r,f96v,rota68_codicology_not_decipherment
S,10,A,1,A,True,f99r,f102v2,rota68_codicology_not_decipherment
T,24,B,1,B,True,f103r,f116v,rota68_codicology_not_decipherment
