metric,value
n_folios,226
coverage_L,196
coverage_Q,226
coverage_H,225
coverage_I,226
n_currier_A,114
n_currier_B,82
n_hands,5
n_quires,18
currier_n_runs,26
currier_mean_run_len,7.5385
currier_runs_p_vs_null,0.000999
currier_mean_null_runs,95.9481
hand_n_runs,30
hand_mean_run_len,7.5
hand_runs_p_vs_null,0.000999
V_section_currier,0.6649
V_hand_currier,0.9801
n_regimes,12
n_currier_changes,23
n_quire_boundaries,17
quire_boundary_currier_change_frac,0.2174
currier_blocked,True
changes_align_quires,False
verdict,interleaved_production
caveat,characterizes object PRODUCTION (hands/quires/blocks); says NOTHING about meaning
guardrail,rota68_codicology_not_decipherment
