metric,value
n_total,171
n_non_uncertain,70
n_folios,12
best_feature,gallows_present
best_p_within_folio,0.0536
pharma_test_n,74
pharma_test_best_feature,length_bucket
pharma_test_V,0.3447
pharma_test_p_within_folio,0.0063
pharma_test_result,object_type_signal
nymph_n,44
nymph_struct_feature,prefix4
nymph_struct_V,0.3087
nymph_struct_p,0.0067
nymph_profile_divergence,0.2647
nymph_p_divergent,0.0113
nymph_consistency_result,folio_local
verdict,decoupled
semantic_guardrail,rota64_cross_modal_not_decipherment
