metric,value
n_total,171
n_non_uncertain,108
n_uncertain,63
pct_uncertain,0.3684
n_folios,12
best_feature,gallows_present
best_p_within_folio_allrows,0.0560
best_p_within_folio_nonunc,0.0150
R64_best_feature,gallows_present
R64_best_p_within_folio,0.0536
pharma_n,74
pharma_best_feature,length_bucket
pharma_V,0.3447
pharma_p_within_folio,0.0073
R64_pharma_p_within_folio,0.0063
nymph_n,44
nymph_struct_feature,prefix4
nymph_struct_p,0.0097
nymph_divergence_p,0.0130
R64_nymph_divergence_p,0.0113
nymph_consistency_result,folio_local
verdict,decoupled_refined
semantic_guardrail,rota65b_cross_modal_refined_not_decipherment
