metric,value
real_h2_fwd,2.1525
real_h2_bwd,2.1526
real_h2_fwd_minus_bwd,-2.3e-05
real_h3_fwd,1.8988
real_h3_bwd,1.8989
bulk_reversal_symmetric,True
real_h_first_glyph,3.2061
real_h_last_glyph,2.5297
real_dir_edge,0.6764
generator_dir_edge,0.6863
dir_edge_delta_vs_generator,0.009982
reversed_tokens_dir_edge,-0.6764
reversed_tokens_h2_fwd,2.1525
morphology_artifact_confirmed,True
nl_h2_band,"[2.5,3.6]"
facing_reverse_overlap,0.004501
facing_forward_overlap,0.005896
facing_mirror_effect,-0.001395
facing_mirror_null_effect,-0.004312
facing_mirror_p,0.401993
facing_mirror_n_pairs,225
palindrome_observed,0.005847
palindrome_null_mean,0.006863
palindrome_p,0.913621
palindrome_n_pages,224
directional_beyond_morphology,False
reversal_lift,False
facing_mirror_signal,False
palindrome_signal,False
n_folios,226
verdict,leonardo_operations_degenerate
guardrail,rota69_directionality_mirror_not_decipherment
