metric,item,n
token,okal,152
token,otar,147
token,okar,133
token,otal,129
token,otol,79
token,okol,75
token,otor,37
token,okor,34
prefix,ok,394
prefix,ot,392
suffix,al,281
suffix,ar,280
suffix,ol,154
suffix,or,71
folio,f113v,26
folio,fRos,25
folio,f58v,23
folio,f86v6,20
folio,f107v,18
folio,f104r,16
folio,f107r,16
folio,f86v5,16
folio,f108r,15
folio,f116r,12
folio,f58r,12
folio,f75r,12
folio,f85r1,11
folio,f105v,10
folio,f106v,10
folio,f112r,10
folio,f114r,10
folio,f84v,10
folio,f113r,9
folio,f114v,9
folio,f55r,9
folio,f76r,9
folio,f80r,9
folio,f99v,9
folio,f106r,8
folio,f112v,8
folio,f79r,8
folio,f103v,7
folio,f105r,7
folio,f108v,7
folio,f111v,7
folio,f17v,7
folio,f71v,7
folio,f75v,7
folio,f78r,7
folio,f78v,7
folio,f80v,7
folio,f89v1,7
folio,f89v2,7
folio,f95r2,7
folio,f48v,6
folio,f55v,6
folio,f67r2,6
folio,f68v3,6
folio,f69r,6
folio,f70r2,6
folio,f70v2,6
folio,f72r2,6
folio,f76v,6
folio,f79v,6
folio,f101r,5
folio,f115v,5
folio,f23v,5
folio,f33r,5
folio,f39v,5
folio,f40v,5
folio,f50v,5
folio,f72v1,5
folio,f82v,5
folio,f84r,5
folio,f101v,4
folio,f103r,4
folio,f40r,4
folio,f44v,4
folio,f50r,4
folio,f70r1,4
folio,f71r,4
folio,f81v,4
folio,f82r,4
folio,f83r,4
folio,f86v4,4
folio,f88v,4
folio,f95v1,4
folio,f100v,3
folio,f102r2,3
folio,f111r,3
folio,f115r,3
folio,f13v,3
folio,f23r,3
folio,f31v,3
folio,f54v,3
folio,f57v,3
folio,f66v,3
folio,f67v1,3
folio,f68r1,3
folio,f70v1,3
folio,f77v,3
folio,f81r,3
folio,f88r,3
folio,f89r2,3
folio,f94r,3
folio,f94v,3
folio,f95v2,3
folio,f99r,3
folio,f104v,2
folio,f10r,2
folio,f14r,2
folio,f16r,2
folio,f18r,2
folio,f1r,2
folio,f20v,2
folio,f21r,2
folio,f24r,2
folio,f24v,2
folio,f25r,2
folio,f28r,2
folio,f32r,2
folio,f33v,2
folio,f34v,2
folio,f3v,2
folio,f42r,2
folio,f42v,2
folio,f53r,2
folio,f54r,2
folio,f5v,2
folio,f66r,2
folio,f67r1,2
folio,f67v2,2
folio,f68r2,2
folio,f68v1,2
folio,f69v,2
folio,f6v,2
folio,f72r1,2
folio,f72r3,2
folio,f72v2,2
folio,f73r,2
folio,f73v,2
folio,f83v,2
folio,f8v,2
folio,f93r,2
folio,f95r1,2
folio,f9r,2
folio,f100r,1
folio,f102r1,1
folio,f102v2,1
folio,f11r,1
folio,f16v,1
folio,f17r,1
folio,f1v,1
folio,f27r,1
folio,f28v,1
folio,f29v,1
folio,f2r,1
folio,f34r,1
folio,f36r,1
folio,f36v,1
folio,f39r,1
folio,f3r,1
folio,f41r,1
folio,f41v,1
folio,f43v,1
folio,f44r,1
folio,f45r,1
folio,f45v,1
folio,f46r,1
folio,f46v,1
folio,f47r,1
folio,f48r,1
folio,f49r,1
folio,f49v,1
folio,f4v,1
folio,f51r,1
folio,f51v,1
folio,f5r,1
folio,f65v,1
folio,f68r3,1
folio,f77r,1
folio,f85r2,1
folio,f86v3,1
folio,f87v,1
folio,f89r1,1
folio,f8r,1
folio,f90r1,1
folio,f93v,1
folio,f96r,1
folio,f9v,1
locus_kind,P,664
locus_kind,C,69
locus_kind,L,45
locus_kind,R,8
line_position,middle,666
line_position,start,52
line_position,end,42
line_position,single,26
visual_match_status,no_visual_annotation,763
visual_match_status,matched_visual_annotation,23
visual_zone,(blank),763
visual_zone,label,13
visual_zone,circular text,6
visual_zone,paragraph text,3
visual_zone,radial text,1
object_nearby,(blank),763
object_nearby,zodiac nymph figure with star,4
object_nearby,green pool with nymph figures and dense text,3
object_nearby,central face with red/blue rays and surrounding stars,2
object_nearby,plant/root drawings and vessels,2
object_nearby,small moon/planet disks and sector dividers,2
object_nearby,stars and small moon/sun faces,2
object_nearby,zodiac nymph figures and stars,2
object_nearby,central face medallion and dense star groups,1
object_nearby,plant/root drawings and container-like forms,1
object_nearby,small circular nodes and painted blue/green/red diagram areas,1
object_nearby,small moon/planet disks and lower text band,1
object_nearby,small moon/planet disks and red outer writing,1
object_nearby,star field and small face medallions,1
