route26_id,source,folio,locus,section_note,locus_kind,locus_code,visual_context,token,prefix,suffix,line_position,token_index,line_token_count,previous_token,next_token,line_tokens,image_file_or_url,visual_zone,ring,sector,radius,object_nearby,visual_notes,annotation_confidence,visual_match_status,semantic_guardrail
R26-0001,ZL3b-n.txt,f1r,"f1r.21,=Pt",The 2nd and 3rd paragraphs start with thick non-Voynich symbols.,P,P,paragraph/text line,otol,ot,ol,start,1,2,,daiiin,otol daiiin,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0002,ZL3b-n.txt,f1r,"f1r.24,+P0",The 2nd and 3rd paragraphs start with thick non-Voynich symbols.,P,P,paragraph/text line,okol,ok,ol,middle,5,10,shoaiin,daiin,cho o kaiin shoaiin okol daiin far cthol daiin ctholdar,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0003,ZL3b-n.txt,f1v,"f1v.9,+P0","Two paragraphs of text, plant cutting through middle",P,P,paragraph/text line,okol,ok,ol,middle,2,14,shor,chol,shor okol chol dol ky darshol dchor o tcho dar sh 209 h ody,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0004,ZL3b-n.txt,f2r,"f2r.12,+P0","Two paragraphs, top one cut in many places. 1 label near plant leaf",P,P,paragraph/text line,okol,ok,ol,start,1,10,,chy,okol chy chor cthor yor an chansaiin chety chyky sal,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0005,ZL3b-n.txt,f3r,"f3r.20,+P0",20 normal lines of text,P,P,paragraph/text line,okol,ok,ol,middle,7,9,aiin,or,ycheor chol odaiin chol s aiin okol or am,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0006,ZL3b-n.txt,f3v,"f3v.2,+P0","Same root as f100v [1,1] (Petersen",P,P,paragraph/text line,okor,ok,or,middle,4,7,okeeor,olytol,daiidy qoteeol okeeor okor olytol dol dar,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0007,ZL3b-n.txt,f3v,"f3v.4,+P0","Same root as f100v [1,1] (Petersen",P,P,paragraph/text line,okal,ok,al,middle,5,9,kcheol,do,qodar ees eey kcheol okal do r chear een,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0008,ZL3b-n.txt,f4v,"f4v.8,+P0","Two paragraphs, top one split by plant",P,P,paragraph/text line,otor,ot,or,middle,5,6,sho,cthory,oleeeb chor cthol sho otor cthory,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0009,ZL3b-n.txt,f5r,"f5r.2,+P0",Two paragraphs,P,P,paragraph/text line,otol,ot,ol,end,14,14,s,,ochey okey qokaiin sho ckhoy cthey chey ok a y 131 o s otol,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0010,ZL3b-n.txt,f5v,"f5v.4,+P0",Only one paragraph of text,P,P,paragraph/text line,otol,ot,ol,middle,3,10,shees,ykoiin,qotor shees otol ykoiin shol daiin cthor okch y taiin,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0011,ZL3b-n.txt,f5v,"f5v.6,+P0",Only one paragraph of text,P,P,paragraph/text line,otol,ot,ol,start,1,3,,chol,otol chol dairodg,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0012,ZL3b-n.txt,f6v,"f6v.5,+P0",21 lines in apparently two paragraphs,P,P,paragraph/text line,okor,ok,or,middle,6,7,dam,otydoldom,dair c ha chodam dam okor otydoldom,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0013,ZL3b-n.txt,f6v,"f6v.20,+P0",21 lines in apparently two paragraphs,P,P,paragraph/text line,okol,ok,ol,middle,3,4,choldar,daiin,dchor choldar okol daiin,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0014,ZL3b-n.txt,f8r,"f8r.18,+P0",last word(s) in each paragraph flushed to the right (signatures?),P,P,paragraph/text line,okar,ok,ar,start,1,8,,cfhaiin,okar cfhaiin chaiin cl daiin chor cha rchealcham,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0015,ZL3b-n.txt,f8v,"f8v.1,@P0",Plant ID: Silene,P,P,paragraph/text line,otol,ot,ol,middle,11,15,shol,chol,c 216 h od soo c 196 h sol shol otol chol opcheaiin opydaiin saiin,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0016,ZL3b-n.txt,f8v,"f8v.14,+P0",Plant ID: Silene,P,P,paragraph/text line,okol,ok,ol,middle,2,8,shor,lokaiinshol,shor okol lokaiinshol kol char cthey tchy ckham,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0017,ZL3b-n.txt,f9r,"f9r.3,+P0",last 3 words in last paragraph indented (signatures?),P,P,paragraph/text line,okor,ok,or,middle,6,9,cthy,cheyctho,toiin cphy qotod otaiin cthy okor cheyctho d ram,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0018,ZL3b-n.txt,f9r,"f9r.4,+P0",last 3 words in last paragraph indented (signatures?),P,P,paragraph/text line,otar,ot,ar,middle,8,10,shaiin,dorytol,y o shy chokcho chcthod shor shaiin otar dorytol dayty,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0019,ZL3b-n.txt,f9v,"f9v.4,+P0",RZ: Viola allright but all upside down,P,P,paragraph/text line,otol,ot,ol,middle,6,8,cthor,oty,ytey tch y kaiin cthor otol oty toldy,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0020,ZL3b-n.txt,f10r,"f10r.8,+P0",Plant ID: Scabiosa,P,P,paragraph/text line,otol,ot,ol,middle,3,7,chor,chol,qotchor chor otol chol cholorchol daiin dar,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0021,ZL3b-n.txt,f10r,"f10r.10,+P0",Plant ID: Scabiosa,P,P,paragraph/text line,otor,ot,or,middle,5,8,r,cfhy,oqot o a r otor cfhy cthor osainytoiin,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0022,ZL3b-n.txt,f11r,"f11r.6,+P0",Plant ID: Silene Aca[ul|nt]is (O'N),P,P,paragraph/text line,otol,ot,ol,middle,5,12,y,chaiin,odl d s y otol chaiin ykchor dair chody cthy s daiin,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0023,ZL3b-n.txt,f13v,"f13v.1,@P0",Plant ID: Crassulatea Fetthenne(sp?),P,P,paragraph/text line,otol,ot,ol,middle,5,7,kchod,otchy,koair chtoiin otchy kchod otol otchy octhos,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0024,ZL3b-n.txt,f13v,"f13v.7,+P0",Plant ID: Crassulatea Fetthenne(sp?),P,P,paragraph/text line,okal,ok,al,middle,2,8,dain,chy,dain okal chy qokchorydchy kok y a daiinshon,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0025,ZL3b-n.txt,f13v,"f13v.9,+P0",Plant ID: Crassulatea Fetthenne(sp?),P,P,paragraph/text line,otal,ot,al,middle,2,7,tchtod,cthor,tchtod otal cthor ytaly cho talsho qocthy,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0026,ZL3b-n.txt,f14r,"f14r.2,+P0","Plant ID: Pfeilkraut - scorpion, Sagittaria",P,P,paragraph/text line,okol,ok,ol,end,7,7,da,,o ykeey soiiin chok qokchy da okol,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0027,ZL3b-n.txt,f14r,"f14r.6,+P0","Plant ID: Pfeilkraut - scorpion, Sagittaria",P,P,paragraph/text line,okor,ok,or,middle,3,5,oir,choor,ychol oir okor choor ockhy,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
R26-0028,ZL3b-n.txt,f16r,"f16r.8,+P0","Plant ID: Canabis, Hemp, Ampfer(?)",P,P,paragraph/text line,otol,ot,ol,middle,5,6,shody,daiin,shotchy ydain yky shody otol daiin,,,,,,,,,no_visual_annotation,exact_form_context_not_decipherment
