route28_id,route27_id,folio,locus_kind,priority_level,gap_rows,unique_loci,token_counts,prefix_counts,suffix_counts,line_position_counts,top_loci,section_notes,image_source_status,image_manifest_folio,image_url,commons_page,workstream,package_status,fields_to_fill,manual_annotation_status,manual_source_image_url,manual_visual_notes,output_rule,semantic_guardrail
R28-001,R27-001,f99v,P,P0,8,7,okol=4|okal=2|okor=1|otol=1,ok=7|ot=1,ol=5|al=2|or=1,middle=8,"f99v.12,+P0|f99v.13,+P0|f99v.21,@P0|f99v.24,+P0|f99v.33,+P0",Top row of labels. Petersen ID in curly brackets.|Second row of labels. Petersen ID in curly brackets.|Third row of labels. Petersen ID in curly brackets.,manifest_available,f99v,https://upload.wikimedia.org/wikipedia/commons/6/69/Voynich_Manuscript_%28176%29.jpg,https://commons.wikimedia.org/wiki/File:Voynich_Manuscript_(176).jpg,annotate_from_manifest_image,ready_for_manual_visual_annotation,manual_annotation_status manual_source_image_url manual_visual_notes,uncertain,,Yale IIIF f99v reviewed. Pharmaceutical folio with plant illustrations on left margin and multiple dense paragraph text rows. Label zones and paragraph zones both present. Text density at rows 12-33 consistent with described loci. Cannot confirm individual okol/okal/okor/otol tokens at available scan resolution. Image confirms locus type (P) and text presence.,open_manifest_image_and_record_manual_visual_annotation,visual_annotation_package_not_evidence
R28-002,R27-002,f113v,P,P1,26,18,otar=8|okar=7|okal=5|otal=2|otor=2|okol=1|otol=1,ok=13|ot=13,ar=15|al=7|ol=2|or=2,middle=25|end=1,"f113v.2,+P0|f113v.7,+P0|f113v.8,+P0|f113v.10,+P0|f113v.11,+P0","Light star, dotted, 7 points, tail|Light star, 7 points, tail|Light star, 8 points, tail",not_in_manifest,,,,source_image_required,blocked_pending_source_image,manual_annotation_status manual_source_image_url manual_visual_notes,,,,locate_or_download_source_image_before_annotation,visual_annotation_package_not_evidence
R28-003,R27-003,f58v,P,P1,23,18,okal=12|okar=4|otal=4|okor=2|otol=1,ok=18|ot=5,al=16|ar=4|or=2|ol=1,middle=21|end=1|start=1,"f58v.4,+P0|f58v.5,+P0|f58v.10,+P0|f58v.13,+P0|f58v.15,+P0",Six-pointed star with tail at start of this paragraph|The last three words of above line seem to have been scribbled in afterwards|Above line seems to have been scribbled in afterwards,not_in_manifest,,,,source_image_required,blocked_pending_source_image,manual_annotation_status manual_source_image_url manual_visual_notes,,,,locate_or_download_source_image_before_annotation,visual_annotation_package_not_evidence
R28-004,R27-004,f86v6,P,P1,20,17,otar=6|okar=5|otal=5|otol=2|okal=1|otor=1,ot=14|ok=6,ar=11|al=6|ol=2|or=1,middle=20,"f86v6.3,+P0|f86v6.9,+P0|f86v6.12,+P0|f86v6.14,+P0|f86v6.18,+P0","Currier's language B, hand 3",not_in_manifest,,,,source_image_required,blocked_pending_source_image,manual_annotation_status manual_source_image_url manual_visual_notes,,,,locate_or_download_source_image_before_annotation,visual_annotation_package_not_evidence
R28-005,R27-005,fRos,C,P1,20,8,okal=7|otar=5|okar=3|okor=2|otal=1|otol=1|otor=1,ok=12|ot=8,al=8|ar=8|or=3|ol=1,middle=19|start=1,"fRos.2,@Cc|fRos.20,@Cc|fRos.47,@Cc|fRos.62,@Cc|fRos.87,@Cc","This is the upper left page with parts of circles 1 and 2.|The following are block left of circle, left margin unreadable|Start of circle 3",not_in_manifest,,,,source_image_required,blocked_pending_source_image,manual_annotation_status manual_source_image_url manual_visual_notes,,,,locate_or_download_source_image_before_annotation,visual_annotation_package_not_evidence
R28-006,R27-006,f107v,P,P1,18,12,otal=7|okal=5|otar=3|okar=1|okol=1|otol=1,ot=11|ok=7,al=12|ar=4|ol=2,middle=18,"f107v.1,@P0|f107v.2,+P0|f107v.3,+P0|f107v.11,+P0|f107v.13,+P0","Light star, dotted, 6 points, tail, small dots|Light star, 8 points, tail?|Light star, dotted, 8 points, tail",not_in_manifest,,,,source_image_required,blocked_pending_source_image,manual_annotation_status manual_source_image_url manual_visual_notes,,,,locate_or_download_source_image_before_annotation,visual_annotation_package_not_evidence
R28-007,R27-007,f104r,P,P1,16,11,okar=9|okal=3|otar=2|otal=1|otor=1,ok=12|ot=4,ar=11|al=4|or=1,middle=16,"f104r.3,+P0|f104r.7,+P0|f104r.8,+P0|f104r.11,+P0|f104r.13,+P0","Dark star, 7 points, tail|Light star, 7 points, tail|Darkish star, 8 points, tail?",not_in_manifest,,,,source_image_required,blocked_pending_source_image,manual_annotation_status manual_source_image_url manual_visual_notes,,,,locate_or_download_source_image_before_annotation,visual_annotation_package_not_evidence
R28-008,R27-008,f107r,P,P1,16,12,otal=6|okal=5|otar=3|okar=1|otor=1,ot=10|ok=6,al=11|ar=4|or=1,middle=14|end=2,"f107r.1,@P0|f107r.4,+P0|f107r.11,+P0|f107r.26,+P0|f107r.32,+P0","Light star, dotted, 7 points, tail|Light star, 7 points, tail|Light star, 7/8 points, tail",not_in_manifest,,,,source_image_required,blocked_pending_source_image,manual_annotation_status manual_source_image_url manual_visual_notes,,,,locate_or_download_source_image_before_annotation,visual_annotation_package_not_evidence
R28-009,R27-009,f86v5,P,P1,16,13,otal=7|otar=3|okar=2|otol=2|okal=1|okol=1,ot=12|ok=4,al=8|ar=5|ol=3,middle=16,"f86v5.5,+P0|f86v5.7,+P0|f86v5.8,+P0|f86v5.9,+P0|f86v5.11,+P0",folio mark 86,not_in_manifest,,,,source_image_required,blocked_pending_source_image,manual_annotation_status manual_source_image_url manual_visual_notes,,,,locate_or_download_source_image_before_annotation,visual_annotation_package_not_evidence
R28-010,R27-010,f108r,P,P1,15,14,otal=5|okar=4|okal=3|okol=1|okor=1|otol=1,ok=9|ot=6,al=8|ar=4|ol=2|or=1,middle=13|end=1|start=1,"f108r.2,+P0|f108r.5,+P0|f108r.7,+P0|f108r.9,+P0|f108r.12,+P0","Light star, 7 points, tail|Dark star, 7 points, tail|Light star, dotted?, 7 points, tail",not_in_manifest,,,,source_image_required,blocked_pending_source_image,manual_annotation_status manual_source_image_url manual_visual_notes,,,,locate_or_download_source_image_before_annotation,visual_annotation_package_not_evidence
