metric,item,n
priority_level,P1,25
priority_level,P0,1
image_source_status,not_in_manifest,18
image_source_status,manifest_available,8
workstream,source_image_required,18
workstream,annotate_from_manifest_image,8
package_status,blocked_pending_source_image,18
package_status,ready_for_manual_visual_annotation,8
locus_kind,P,23
locus_kind,L,2
locus_kind,C,1
folio,f104r,1
folio,f105v,1
folio,f106v,1
folio,f107r,1
folio,f107v,1
folio,f108r,1
folio,f112r,1
folio,f113v,1
folio,f114r,1
folio,f116r,1
folio,f1r,1
folio,f58r,1
folio,f58v,1
folio,f67r2,1
folio,f67v1,1
folio,f75r,1
folio,f84r,1
folio,f84v,1
folio,f85r1,1
folio,f86v5,1
folio,f86v6,1
folio,f88v,1
folio,f89r2,1
folio,f99r,1
folio,f99v,1
folio,fRos,1
