metric,item,n
priority_level,P3,162
priority_level,P1,25
priority_level,P2,7
priority_level,P0,1
image_source_status,not_in_manifest,180
image_source_status,manifest_available,15
locus_kind,P,154
locus_kind,L,19
locus_kind,C,18
locus_kind,R,4
folio,fRos,3
folio,f101v,2
folio,f67v1,2
folio,f68v1,2
folio,f68v3,2
folio,f69r,2
folio,f70r2,2
folio,f70v1,2
folio,f71v,2
folio,f72r2,2
folio,f72v1,2
folio,f73r,2
folio,f75v,2
folio,f77v,2
folio,f80r,2
folio,f82r,2
folio,f82v,2
folio,f86v4,2
folio,f88r,2
folio,f89r2,2
folio,f99r,2
folio,f100r,1
folio,f100v,1
folio,f101r,1
folio,f102r1,1
folio,f102r2,1
folio,f102v2,1
folio,f103r,1
folio,f103v,1
folio,f104r,1
folio,f104v,1
folio,f105r,1
folio,f105v,1
folio,f106r,1
folio,f106v,1
folio,f107r,1
folio,f107v,1
folio,f108r,1
folio,f108v,1
folio,f10r,1
folio,f111r,1
folio,f111v,1
folio,f112r,1
folio,f112v,1
folio,f113r,1
folio,f113v,1
folio,f114r,1
folio,f114v,1
folio,f115r,1
folio,f115v,1
folio,f116r,1
folio,f11r,1
folio,f13v,1
folio,f14r,1
folio,f16r,1
folio,f16v,1
folio,f17r,1
folio,f17v,1
folio,f18r,1
folio,f1r,1
folio,f1v,1
folio,f20v,1
folio,f21r,1
folio,f23r,1
folio,f23v,1
folio,f24r,1
folio,f24v,1
folio,f25r,1
folio,f27r,1
folio,f28r,1
folio,f28v,1
folio,f29v,1
folio,f2r,1
folio,f31v,1
folio,f32r,1
folio,f33r,1
folio,f33v,1
folio,f34r,1
folio,f34v,1
folio,f36r,1
folio,f36v,1
folio,f39r,1
folio,f39v,1
folio,f3r,1
folio,f3v,1
folio,f40r,1
folio,f40v,1
folio,f41r,1
folio,f41v,1
folio,f42r,1
folio,f42v,1
folio,f43v,1
folio,f44r,1
folio,f44v,1
folio,f45r,1
folio,f45v,1
folio,f46r,1
folio,f46v,1
folio,f47r,1
folio,f48r,1
folio,f48v,1
folio,f49r,1
folio,f49v,1
folio,f4v,1
folio,f50r,1
folio,f50v,1
folio,f51r,1
folio,f51v,1
folio,f53r,1
folio,f54r,1
folio,f54v,1
folio,f55r,1
folio,f55v,1
folio,f57v,1
folio,f58r,1
folio,f58v,1
folio,f5r,1
folio,f5v,1
folio,f65v,1
folio,f66r,1
folio,f66v,1
folio,f67r2,1
folio,f67v2,1
folio,f68r1,1
folio,f68r2,1
folio,f69v,1
folio,f6v,1
folio,f70r1,1
folio,f71r,1
folio,f72r1,1
folio,f72r3,1
folio,f72v2,1
folio,f73v,1
folio,f75r,1
folio,f76r,1
folio,f76v,1
folio,f77r,1
folio,f78r,1
folio,f78v,1
folio,f79r,1
folio,f79v,1
folio,f80v,1
folio,f81r,1
folio,f81v,1
folio,f83r,1
folio,f83v,1
folio,f84r,1
folio,f84v,1
folio,f85r1,1
folio,f85r2,1
folio,f86v3,1
folio,f86v5,1
folio,f86v6,1
folio,f87v,1
folio,f88v,1
folio,f89r1,1
folio,f89v1,1
folio,f89v2,1
folio,f8r,1
folio,f8v,1
folio,f90r1,1
folio,f93r,1
folio,f93v,1
folio,f94r,1
folio,f94v,1
folio,f95r1,1
folio,f95r2,1
folio,f95v1,1
folio,f95v2,1
folio,f96r,1
folio,f99v,1
folio,f9r,1
folio,f9v,1
