form,border,next,n,semantic_guardrail
okar,ar,_END_,8,form_collocation_analysis_not_decipherment
otal,ol,_END_,6,form_collocation_analysis_not_decipherment
otar,ar,_END_,5,form_collocation_analysis_not_decipherment
okol,or,_END_,4,form_collocation_analysis_not_decipherment
okar,ol,_END_,4,form_collocation_analysis_not_decipherment
okal,or,_END_,3,form_collocation_analysis_not_decipherment
otar,ar,al,3,form_collocation_analysis_not_decipherment
otar,al,_END_,3,form_collocation_analysis_not_decipherment
otol,ol,_END_,3,form_collocation_analysis_not_decipherment
otar,or,ol,2,form_collocation_analysis_not_decipherment
otar,or,_END_,2,form_collocation_analysis_not_decipherment
otol,ol,dar,2,form_collocation_analysis_not_decipherment
otar,ol,_END_,2,form_collocation_analysis_not_decipherment
okal,ol,_END_,2,form_collocation_analysis_not_decipherment
otal,ar,_END_,2,form_collocation_analysis_not_decipherment
otal,al,_END_,2,form_collocation_analysis_not_decipherment
otol,ol,qotchar,1,form_collocation_analysis_not_decipherment
okor,ar,chdal,1,form_collocation_analysis_not_decipherment
otar,ar,or,1,form_collocation_analysis_not_decipherment
okal,ar,_END_,1,form_collocation_analysis_not_decipherment
okar,ar,ar,1,form_collocation_analysis_not_decipherment
okor,or,ol,1,form_collocation_analysis_not_decipherment
okar,ol,ykar,1,form_collocation_analysis_not_decipherment
okal,or,chol,1,form_collocation_analysis_not_decipherment
okal,ar,chkalarol,1,form_collocation_analysis_not_decipherment
okor,ar,_END_,1,form_collocation_analysis_not_decipherment
okal,ar,al,1,form_collocation_analysis_not_decipherment
okar,ar,otol,1,form_collocation_analysis_not_decipherment
otar,ar,chedar,1,form_collocation_analysis_not_decipherment
okol,ar,olar,1,form_collocation_analysis_not_decipherment
otol,ar,oteol,1,form_collocation_analysis_not_decipherment
okol,ol,orol,1,form_collocation_analysis_not_decipherment
okar,ar,dar,1,form_collocation_analysis_not_decipherment
otar,ar,chedal,1,form_collocation_analysis_not_decipherment
otol,al,_END_,1,form_collocation_analysis_not_decipherment
otol,al,oteeeodar,1,form_collocation_analysis_not_decipherment
otor,ar,otal,1,form_collocation_analysis_not_decipherment
otal,al,okol,1,form_collocation_analysis_not_decipherment
otar,al,otear,1,form_collocation_analysis_not_decipherment
otar,al,qokar,1,form_collocation_analysis_not_decipherment
otar,al,al,1,form_collocation_analysis_not_decipherment
okor,ar,chekar,1,form_collocation_analysis_not_decipherment
otar,ar,otol,1,form_collocation_analysis_not_decipherment
otol,al,ofalar,1,form_collocation_analysis_not_decipherment
okar,ol,qol,1,form_collocation_analysis_not_decipherment
okol,ol,sheol,1,form_collocation_analysis_not_decipherment
okar,ol,otylor,1,form_collocation_analysis_not_decipherment
otal,ol,dal,1,form_collocation_analysis_not_decipherment
okal,ol,al,1,form_collocation_analysis_not_decipherment
okal,al,ol,1,form_collocation_analysis_not_decipherment
