stratum,hand,n_tokens,h2_plugin,h2_mm,bias_floor,repeat_rate,ao_o_frac,n_ao_tokens,mean_len,frac_qo,frac_ok,frac_ot,frac_yk,frac_yt,frac_other,semantic_guardrail
all,1,9764.0,2.21365,2.216008,-0.002359,0.008194,0.762497,4501.0,5.339717,0.100574,0.054793,0.041684,0.018025,0.01526,0.769664,rota72_hand_campaign_not_decipherment
all,2,10259.0,1.977826,1.979752,-0.001926,0.008189,0.565028,4352.0,5.351789,0.199727,0.0579,0.052734,0.014914,0.014914,0.659811,rota72_hand_campaign_not_decipherment
all,3,10889.0,2.042476,2.044347,-0.001871,0.007072,0.421488,4235.0,5.601984,0.172284,0.077418,0.079989,0.010837,0.009,0.650473,rota72_hand_campaign_not_decipherment
all,4,2868.0,2.26462,2.270877,-0.006257,0.003837,0.354701,1404.0,5.464086,0.025105,0.133194,0.164575,0.03417,0.019874,0.623082,rota72_hand_campaign_not_decipherment
all,5,833.0,2.189956,2.204426,-0.014469,0.00601,0.435088,285.0,5.637455,0.118848,0.062425,0.054022,0.033613,0.02401,0.707083,rota72_hand_campaign_not_decipherment
currier=A,1,9590.0,2.200912,2.203254,-0.002342,0.008239,0.768213,4461.0,5.38926,0.102294,0.055162,0.041606,0.018352,0.015433,0.767153,rota72_hand_campaign_not_decipherment
currier=A,3,695.0,2.111223,2.127465,-0.016243,0.002882,0.307692,546.0,5.333813,0.142446,0.083453,0.063309,0.028777,0.027338,0.654676,rota72_hand_campaign_not_decipherment
currier=B,2,10259.0,1.977826,1.979752,-0.001926,0.008189,0.565028,4352.0,5.351789,0.199727,0.0579,0.052734,0.014914,0.014914,0.659811,rota72_hand_campaign_not_decipherment
currier=B,3,10148.0,2.016274,2.018171,-0.001898,0.007391,0.438468,3681.0,5.620418,0.174616,0.077158,0.081297,0.009657,0.007588,0.649685,rota72_hand_campaign_not_decipherment
currier=B,5,833.0,2.189956,2.204426,-0.014469,0.00601,0.435088,285.0,5.637455,0.118848,0.062425,0.054022,0.033613,0.02401,0.707083,rota72_hand_campaign_not_decipherment
