glyph_a,glyph_b,a_before_b,b_before_a,total,majority,decided,guardrail
e,y,14416,1537,15953,0.9037,no,rota70_hebrew_alphagram_not_decipherment
c,h,14194,1542,15736,0.9020,no,rota70_hebrew_alphagram_not_decipherment
e,o,4755,9423,14178,0.6646,no,rota70_hebrew_alphagram_not_decipherment
e,h,958,10740,11698,0.9181,no,rota70_hebrew_alphagram_not_decipherment
a,i,11464,219,11683,0.9813,yes,rota70_hebrew_alphagram_not_decipherment
h,y,10608,945,11553,0.9182,no,rota70_hebrew_alphagram_not_decipherment
i,n,10468,46,10514,0.9956,yes,rota70_hebrew_alphagram_not_decipherment
h,o,6744,3642,10386,0.6493,no,rota70_hebrew_alphagram_not_decipherment
o,y,8936,981,9917,0.9011,no,rota70_hebrew_alphagram_not_decipherment
k,o,2492,7180,9672,0.7423,no,rota70_hebrew_alphagram_not_decipherment
l,o,1053,8463,9516,0.8893,no,rota70_hebrew_alphagram_not_decipherment
d,e,856,8222,9078,0.9057,no,rota70_hebrew_alphagram_not_decipherment
d,y,7948,887,8835,0.8996,no,rota70_hebrew_alphagram_not_decipherment
c,y,7882,764,8646,0.9116,no,rota70_hebrew_alphagram_not_decipherment
e,k,1045,7420,8465,0.8766,no,rota70_hebrew_alphagram_not_decipherment
c,e,7314,815,8129,0.8997,no,rota70_hebrew_alphagram_not_decipherment
c,o,5012,3041,8053,0.6224,no,rota70_hebrew_alphagram_not_decipherment
d,o,1123,6314,7437,0.8490,no,rota70_hebrew_alphagram_not_decipherment
a,o,667,6354,7021,0.9050,no,rota70_hebrew_alphagram_not_decipherment
k,y,5709,906,6615,0.8630,no,rota70_hebrew_alphagram_not_decipherment
o,t,4280,2196,6476,0.6609,no,rota70_hebrew_alphagram_not_decipherment
d,h,903,5460,6363,0.8581,no,rota70_hebrew_alphagram_not_decipherment
o,q,42,6294,6336,0.9934,yes,rota70_hebrew_alphagram_not_decipherment
a,n,6061,65,6126,0.9894,yes,rota70_hebrew_alphagram_not_decipherment
h,s,869,5222,6091,0.8573,no,rota70_hebrew_alphagram_not_decipherment
i,o,273,5600,5873,0.9535,yes,rota70_hebrew_alphagram_not_decipherment
o,r,5103,546,5649,0.9033,no,rota70_hebrew_alphagram_not_decipherment
a,r,4428,872,5300,0.8355,no,rota70_hebrew_alphagram_not_decipherment
e,s,1407,3773,5180,0.7284,no,rota70_hebrew_alphagram_not_decipherment
a,d,652,4526,5178,0.8741,no,rota70_hebrew_alphagram_not_decipherment
a,l,3643,1314,4957,0.7349,no,rota70_hebrew_alphagram_not_decipherment
c,d,3943,658,4601,0.8570,no,rota70_hebrew_alphagram_not_decipherment
h,k,1781,2529,4310,0.5868,no,rota70_hebrew_alphagram_not_decipherment
d,i,4086,204,4290,0.9524,yes,rota70_hebrew_alphagram_not_decipherment
h,l,2810,1443,4253,0.6607,no,rota70_hebrew_alphagram_not_decipherment
t,y,3471,710,4181,0.8302,no,rota70_hebrew_alphagram_not_decipherment
o,s,1792,2311,4103,0.5632,no,rota70_hebrew_alphagram_not_decipherment
e,t,490,3603,4093,0.8803,no,rota70_hebrew_alphagram_not_decipherment
a,k,229,3785,4014,0.9429,no,rota70_hebrew_alphagram_not_decipherment
e,l,1847,2167,4014,0.5399,no,rota70_hebrew_alphagram_not_decipherment
e,q,20,3698,3718,0.9946,yes,rota70_hebrew_alphagram_not_decipherment
s,y,3177,369,3546,0.8959,no,rota70_hebrew_alphagram_not_decipherment
c,k,2148,1360,3508,0.6123,no,rota70_hebrew_alphagram_not_decipherment
k,q,8,3345,3353,0.9976,yes,rota70_hebrew_alphagram_not_decipherment
h,t,982,2321,3303,0.7027,no,rota70_hebrew_alphagram_not_decipherment
a,h,435,2755,3190,0.8636,no,rota70_hebrew_alphagram_not_decipherment
n,o,94,3081,3175,0.9704,yes,rota70_hebrew_alphagram_not_decipherment
c,l,2113,1041,3154,0.6699,no,rota70_hebrew_alphagram_not_decipherment
i,k,67,2952,3019,0.9778,yes,rota70_hebrew_alphagram_not_decipherment
l,y,2589,426,3015,0.8587,no,rota70_hebrew_alphagram_not_decipherment
k,l,1815,1176,2991,0.6068,no,rota70_hebrew_alphagram_not_decipherment
d,l,1372,1591,2963,0.5370,no,rota70_hebrew_alphagram_not_decipherment
d,k,237,2704,2941,0.9194,no,rota70_hebrew_alphagram_not_decipherment
c,t,1639,1176,2815,0.5822,no,rota70_hebrew_alphagram_not_decipherment
q,y,2698,32,2730,0.9883,yes,rota70_hebrew_alphagram_not_decipherment
a,c,310,2178,2488,0.8754,no,rota70_hebrew_alphagram_not_decipherment
a,e,342,2065,2407,0.8579,no,rota70_hebrew_alphagram_not_decipherment
h,r,2084,306,2390,0.8720,no,rota70_hebrew_alphagram_not_decipherment
a,t,93,2285,2378,0.9609,yes,rota70_hebrew_alphagram_not_decipherment
d,s,455,1717,2172,0.7905,no,rota70_hebrew_alphagram_not_decipherment
d,n,2063,49,2112,0.9768,yes,rota70_hebrew_alphagram_not_decipherment
a,y,1301,806,2107,0.6175,no,rota70_hebrew_alphagram_not_decipherment
d,t,151,1825,1976,0.9236,no,rota70_hebrew_alphagram_not_decipherment
h,i,1797,140,1937,0.9277,no,rota70_hebrew_alphagram_not_decipherment
c,r,1656,229,1885,0.8785,no,rota70_hebrew_alphagram_not_decipherment
a,q,7,1807,1814,0.9961,yes,rota70_hebrew_alphagram_not_decipherment
l,s,722,1065,1787,0.5960,no,rota70_hebrew_alphagram_not_decipherment
a,s,395,1390,1785,0.7787,no,rota70_hebrew_alphagram_not_decipherment
k,n,1757,20,1777,0.9887,yes,rota70_hebrew_alphagram_not_decipherment
d,r,1501,273,1774,0.8461,no,rota70_hebrew_alphagram_not_decipherment
d,q,19,1646,1665,0.9886,yes,rota70_hebrew_alphagram_not_decipherment
e,r,1364,262,1626,0.8389,no,rota70_hebrew_alphagram_not_decipherment
i,r,977,630,1607,0.6080,no,rota70_hebrew_alphagram_not_decipherment
i,q,5,1573,1578,0.9968,yes,rota70_hebrew_alphagram_not_decipherment
i,t,51,1500,1551,0.9671,yes,rota70_hebrew_alphagram_not_decipherment
c,i,1405,107,1512,0.9292,no,rota70_hebrew_alphagram_not_decipherment
l,t,185,1303,1488,0.8757,no,rota70_hebrew_alphagram_not_decipherment
k,r,1360,64,1424,0.9551,yes,rota70_hebrew_alphagram_not_decipherment
h,p,222,1161,1383,0.8395,no,rota70_hebrew_alphagram_not_decipherment
o,p,700,670,1370,0.5109,no,rota70_hebrew_alphagram_not_decipherment
c,s,681,601,1282,0.5312,no,rota70_hebrew_alphagram_not_decipherment
i,l,229,1051,1280,0.8211,no,rota70_hebrew_alphagram_not_decipherment
i,s,135,1127,1262,0.8930,no,rota70_hebrew_alphagram_not_decipherment
c,p,385,850,1235,0.6883,no,rota70_hebrew_alphagram_not_decipherment
e,i,1142,88,1230,0.9285,no,rota70_hebrew_alphagram_not_decipherment
