metric,value
n_tokens,37671
n_lines,5216
inferred_order,qvcpstfokhazdxejilrybgumn
alphagram_fraction_real,0.273333
alphagram_fraction_floor,0.062642
alphagram_fraction_ceiling,1.000000
alphagram_fraction_generator,0.276934
frac_to_ceiling,0.224771
pair_decided_frac_real,0.347368
pair_decided_frac_generator,0.386598
weighted_majority_real,0.845132
majority_cycles_real,15
n_pairs_real,190
alphagram_fraction_glyph_unit,0.333269
pair_decided_frac_glyph_unit,0.340164
majority_cycles_glyph_unit,19
abjad_decided_frac,0.415929
abjad_majority_cycles,3
abjad_mean_units,3.0477
real_mean_units,5.0571
freq_spearman_hebrew,1.0000
freq_spearman_english,0.9966
freq_non_discriminating,True
alphagram_pass_threshold,0.9
verdict,hebrew_alphagram_refuted
reasons,"no_total_order_exists: 15 majority 3-cycles (alphagram needs 0) | pairs_not_strictly_ordered: decided=0.347 << 0.9 | tokens_not_sorted: alphagram_fraction=0.273 << ceiling 1.00 | order_lift_reproduced_by_generator: real=0.273 ~ gen=0.277 (delta=0.004 <= 0.03) -> templatic morphology, not alphabetic | abjad_does_not_rescue: vowel-stripped decided=0.416, cycles=3 | letter_frequency_non_discriminating: Hebrew ties English (Zipf) | frac_to_ceiling=0.225"
guardrail,rota70_hebrew_alphagram_not_decipherment
