k,token,token_contrib_bits,cumulative_bits,cumulative_frac,semantic_guardrail
1,am,0.00340254,0.00340254,0.007226,rota67_laafu_layout_not_decipherment
2,dy,0.00309538,0.00649793,0.0138,rota67_laafu_layout_not_decipherment
3,dam,0.00289437,0.0093923,0.019947,rota67_laafu_layout_not_decipherment
4,oly,0.00245036,0.01184266,0.025151,rota67_laafu_layout_not_decipherment
5,aiin,0.00238897,0.01423163,0.030224,rota67_laafu_layout_not_decipherment
6,dshedy,0.002119,0.01635063,0.034725,rota67_laafu_layout_not_decipherment
7,chedy,0.0019672,0.01831782,0.038903,rota67_laafu_layout_not_decipherment
8,chol,0.00188199,0.02019981,0.042899,rota67_laafu_layout_not_decipherment
9,shedy,0.00187411,0.02207392,0.04688,rota67_laafu_layout_not_decipherment
10,saiin,0.00179326,0.02386719,0.050688,rota67_laafu_layout_not_decipherment
11,sol,0.0017376,0.02560479,0.054378,rota67_laafu_layout_not_decipherment
12,ar,0.00160302,0.02720781,0.057783,rota67_laafu_layout_not_decipherment
13,sain,0.00157333,0.02878114,0.061124,rota67_laafu_layout_not_decipherment
14,sor,0.00153792,0.03031906,0.06439,rota67_laafu_layout_not_decipherment
15,tchedy,0.0014552,0.03177426,0.067481,rota67_laafu_layout_not_decipherment
16,qokam,0.00140371,0.03317796,0.070462,rota67_laafu_layout_not_decipherment
17,chey,0.00139056,0.03456852,0.073415,rota67_laafu_layout_not_decipherment
18,daiin,0.00137294,0.03594147,0.076331,rota67_laafu_layout_not_decipherment
19,otam,0.00136425,0.03730572,0.079228,rota67_laafu_layout_not_decipherment
20,ycheey,0.00131244,0.03861816,0.082015,rota67_laafu_layout_not_decipherment
21,sy,0.00123046,0.03984861,0.084629,rota67_laafu_layout_not_decipherment
22,ary,0.00122263,0.04107124,0.087225,rota67_laafu_layout_not_decipherment
23,tol,0.00119383,0.04226507,0.089761,rota67_laafu_layout_not_decipherment
24,ldy,0.00116914,0.04343422,0.092244,rota67_laafu_layout_not_decipherment
25,ychor,0.00114608,0.04458029,0.094678,rota67_laafu_layout_not_decipherment
26,okam,0.00105954,0.04563983,0.096928,rota67_laafu_layout_not_decipherment
27,al,0.00105541,0.04669524,0.099169,rota67_laafu_layout_not_decipherment
28,shey,0.0010469,0.04774214,0.101393,rota67_laafu_layout_not_decipherment
29,l,0.0010361,0.04877824,0.103593,rota67_laafu_layout_not_decipherment
30,sar,0.00103607,0.04981431,0.105793,rota67_laafu_layout_not_decipherment
31,ram,0.00102699,0.0508413,0.107974,rota67_laafu_layout_not_decipherment
32,qokeedy,0.00097374,0.05181503,0.110042,rota67_laafu_layout_not_decipherment
33,cheey,0.00094738,0.05276242,0.112054,rota67_laafu_layout_not_decipherment
