row_type,section_a,section_b,n_first_lines,n_last_lines,top_first,top_last,jaccard_first,jaccard_last,semantic_guardrail
section,astronomical,,218,218,daiin|dair|okeey|okeo|otar|oteey|oteos,aiin|ar|dal|daly|dam|dar|dy|o|sar|y,,,rota67_laafu_layout_not_decipherment
section,balneological,,773,773,lchedy|lol|qokain|qokal|qokchdy|qokedy|qokeedy|qokshedy|qol|qoteedy|solchedy|solkeedy|solkeey|ykeedy|yshedy,lchey|lchy|lol|loly|lom|ly|oldy|olkedy|qokal|qokeedy|qol|qoly|qotedy|qoteedy|rol,,,rota67_laafu_layout_not_decipherment
section,cosmological,,218,218,daiin|dair|qokaiin|tchedy|y|ykaiin,aiin|am|daiin|dy|olkam|otam|ytam,,,rota67_laafu_layout_not_decipherment
section,herbal,,1520,1520,dchor|otchol|otchor|oty|pcho|pchocthy|qokcho|qot|qotchor|shdy|shy|sodaiin|tchy|ycho|ytchor,chaiin|chom|ckhy|cthar|cthor|cthy|d|do|dol|dom|kchy|n|qotchy|taiin|ykam,,,rota67_laafu_layout_not_decipherment
section,pharmaceutical,,383,383,dar|dcheor|dol|ol|qokeor|qokol|sal|sol|teol|tol|tor|ycheeo|ychey|ychor|ykeey,al|ar|cheol|cheom|chody|choky|daiin|dain|dar|dy|s|sal|sam|sy|y,,,rota67_laafu_layout_not_decipherment
section,recipes,,1080,1080,cheeo|okeeo|olshey|oraiin|orain|oteedy|pair|pchedal|pcheor|pchodain|polaiin|psheody|tair|ycheedy|ysheedy,chedam|lchdy|lkaiin|lkain|lkam|lkeedy|loty|olam|opam|opchdy|oteedy|qotain|raram|ro|sham,,,rota67_laafu_layout_not_decipherment
pair,astronomical,balneological,,,,,0.0,0.0,rota67_laafu_layout_not_decipherment
pair,astronomical,cosmological,,,,,0.1818,0.1333,rota67_laafu_layout_not_decipherment
pair,astronomical,herbal,,,,,0.0,0.0,rota67_laafu_layout_not_decipherment
pair,astronomical,pharmaceutical,,,,,0.0,0.1905,rota67_laafu_layout_not_decipherment
pair,astronomical,recipes,,,,,0.0,0.0,rota67_laafu_layout_not_decipherment
pair,balneological,cosmological,,,,,0.0,0.0,rota67_laafu_layout_not_decipherment
pair,balneological,herbal,,,,,0.0,0.0,rota67_laafu_layout_not_decipherment
pair,balneological,pharmaceutical,,,,,0.0,0.0,rota67_laafu_layout_not_decipherment
pair,balneological,recipes,,,,,0.0,0.0,rota67_laafu_layout_not_decipherment
pair,cosmological,herbal,,,,,0.0,0.0,rota67_laafu_layout_not_decipherment
pair,cosmological,pharmaceutical,,,,,0.0,0.1,rota67_laafu_layout_not_decipherment
pair,cosmological,recipes,,,,,0.0,0.0,rota67_laafu_layout_not_decipherment
pair,herbal,pharmaceutical,,,,,0.0,0.0,rota67_laafu_layout_not_decipherment
pair,herbal,recipes,,,,,0.0,0.0,rota67_laafu_layout_not_decipherment
pair,pharmaceutical,recipes,,,,,0.0,0.0,rota67_laafu_layout_not_decipherment
