token,adjacent_repeat_count,semantic_guardrail
chol,21,rota58_language_signature_not_decipherment
qokeedy,18,rota58_language_signature_not_decipherment
qokedy,12,rota58_language_signature_not_decipherment
qokeey,12,rota58_language_signature_not_decipherment
daiin,11,rota58_language_signature_not_decipherment
chedy,10,rota58_language_signature_not_decipherment
ol,9,rota58_language_signature_not_decipherment
shedy,9,rota58_language_signature_not_decipherment
ar,8,rota58_language_signature_not_decipherment
chor,7,rota58_language_signature_not_decipherment
or,7,rota58_language_signature_not_decipherment
shol,6,rota58_language_signature_not_decipherment
okaiin,6,rota58_language_signature_not_decipherment
dy,5,rota58_language_signature_not_decipherment
okeey,5,rota58_language_signature_not_decipherment
qotedy,4,rota58_language_signature_not_decipherment
okedy,4,rota58_language_signature_not_decipherment
chdy,4,rota58_language_signature_not_decipherment
otaiin,4,rota58_language_signature_not_decipherment
qol,4,rota58_language_signature_not_decipherment
