metric,value
alphabet_size,26
h0,4.7004
h1,3.8716
h2_char,2.1525
h2_char_shuffled,3.8699
H1_word,10.4365
h2_word,4.358
I_word_linepos_bits,0.470864
I_linepos_null_mean,0.242204
I_linepos_p,0.003322
adjacent_repeat_rate,0.00875058
adjacent_repeat_iid,0.00315758
adjacent_repeat_ratio,2.7713
n_anomalous_signatures,1
char_h2_anomalous,True
laafu_anomalous,False
adjacent_repeat_anomalous,False
n_lines,5216
n_tokens,37671
n_chars_stream,228177
verdict,mixed
guardrail,rota58_language_signature_not_decipherment
