d,I_d,null_mean,excess,I_d_lineshuffled,semantic_guardrail
1,1.719071,0.001793,1.717279,1.719062,rota59_long_range_not_decipherment
2,0.828792,0.00188,0.826913,0.828392,rota59_long_range_not_decipherment
3,0.423416,0.001845,0.421571,0.423662,rota59_long_range_not_decipherment
4,0.225192,0.001732,0.22346,0.224974,rota59_long_range_not_decipherment
5,0.129039,0.0018,0.127239,0.128498,rota59_long_range_not_decipherment
6,0.100008,0.001777,0.098232,0.098581,rota59_long_range_not_decipherment
7,0.063005,0.001771,0.061235,0.0617,rota59_long_range_not_decipherment
8,0.038468,0.001825,0.036643,0.037939,rota59_long_range_not_decipherment
9,0.028505,0.001749,0.026756,0.027973,rota59_long_range_not_decipherment
10,0.020494,0.001807,0.018687,0.020152,rota59_long_range_not_decipherment
11,0.013846,0.001736,0.012109,0.013392,rota59_long_range_not_decipherment
12,0.012113,0.00182,0.010293,0.011485,rota59_long_range_not_decipherment
13,0.011697,0.001808,0.009889,0.010538,rota59_long_range_not_decipherment
14,0.009209,0.001795,0.007414,0.008147,rota59_long_range_not_decipherment
15,0.007269,0.001793,0.005475,0.00594,rota59_long_range_not_decipherment
16,0.005453,0.001875,0.003578,0.004804,rota59_long_range_not_decipherment
17,0.004461,0.001757,0.002703,0.003892,rota59_long_range_not_decipherment
18,0.004114,0.001793,0.002321,0.00345,rota59_long_range_not_decipherment
19,0.00417,0.001854,0.002316,0.003739,rota59_long_range_not_decipherment
20,0.004251,0.001781,0.00247,0.003457,rota59_long_range_not_decipherment
21,0.003889,0.001768,0.002121,0.003082,rota59_long_range_not_decipherment
22,0.004169,0.001761,0.002408,0.003309,rota59_long_range_not_decipherment
23,0.003546,0.001783,0.001763,0.002586,rota59_long_range_not_decipherment
24,0.003738,0.001728,0.00201,0.002647,rota59_long_range_not_decipherment
25,0.003674,0.001791,0.001884,0.002614,rota59_long_range_not_decipherment
26,0.003659,0.001816,0.001843,0.002526,rota59_long_range_not_decipherment
27,0.003752,0.00176,0.001992,0.002368,rota59_long_range_not_decipherment
28,0.004015,0.001759,0.002256,0.002602,rota59_long_range_not_decipherment
29,0.00322,0.001796,0.001423,0.002269,rota59_long_range_not_decipherment
30,0.003405,0.001726,0.001679,0.002274,rota59_long_range_not_decipherment
31,0.003453,0.001868,0.001585,0.002128,rota59_long_range_not_decipherment
32,0.003433,0.001796,0.001637,0.002232,rota59_long_range_not_decipherment
33,0.003288,0.001768,0.00152,0.002201,rota59_long_range_not_decipherment
34,0.003278,0.001878,0.0014,0.002053,rota59_long_range_not_decipherment
35,0.003399,0.001748,0.001651,0.002141,rota59_long_range_not_decipherment
36,0.003875,0.001736,0.002139,0.002127,rota59_long_range_not_decipherment
37,0.003622,0.001868,0.001754,0.002003,rota59_long_range_not_decipherment
38,0.003573,0.001789,0.001784,0.002198,rota59_long_range_not_decipherment
39,0.003279,0.001694,0.001585,0.001965,rota59_long_range_not_decipherment
40,0.00327,0.001827,0.001444,0.001999,rota59_long_range_not_decipherment
41,0.003346,0.001896,0.00145,0.001722,rota59_long_range_not_decipherment
42,0.003463,0.00183,0.001633,0.002023,rota59_long_range_not_decipherment
43,0.003344,0.0018,0.001544,0.001956,rota59_long_range_not_decipherment
44,0.003393,0.001715,0.001678,0.001797,rota59_long_range_not_decipherment
45,0.00325,0.001758,0.001492,0.001848,rota59_long_range_not_decipherment
46,0.003242,0.001779,0.001463,0.001785,rota59_long_range_not_decipherment
47,0.00362,0.001809,0.001811,0.001856,rota59_long_range_not_decipherment
48,0.003666,0.001835,0.001831,0.001908,rota59_long_range_not_decipherment
49,0.003614,0.001781,0.001834,0.001871,rota59_long_range_not_decipherment
50,0.003659,0.001786,0.001874,0.001898,rota59_long_range_not_decipherment
51,0.003288,0.001782,0.001506,0.001892,rota59_long_range_not_decipherment
52,0.003492,0.00173,0.001762,0.00203,rota59_long_range_not_decipherment
53,0.003436,0.001821,0.001615,0.001854,rota59_long_range_not_decipherment
54,0.003517,0.001778,0.001739,0.001894,rota59_long_range_not_decipherment
55,0.003495,0.001809,0.001686,0.001865,rota59_long_range_not_decipherment
56,0.003397,0.00189,0.001508,0.001959,rota59_long_range_not_decipherment
57,0.00315,0.00179,0.001361,0.002001,rota59_long_range_not_decipherment
58,0.003338,0.001872,0.001466,0.002165,rota59_long_range_not_decipherment
59,0.003535,0.001764,0.001771,0.002079,rota59_long_range_not_decipherment
60,0.003669,0.001727,0.001942,0.002153,rota59_long_range_not_decipherment
61,0.00346,0.001843,0.001617,0.001963,rota59_long_range_not_decipherment
62,0.00321,0.001752,0.001458,0.001809,rota59_long_range_not_decipherment
63,0.0035,0.001774,0.001726,0.001865,rota59_long_range_not_decipherment
64,0.003519,0.001766,0.001753,0.001918,rota59_long_range_not_decipherment
65,0.003472,0.001791,0.00168,0.001897,rota59_long_range_not_decipherment
66,0.00367,0.001795,0.001876,0.00193,rota59_long_range_not_decipherment
67,0.003389,0.001841,0.001548,0.00193,rota59_long_range_not_decipherment
68,0.003428,0.001764,0.001663,0.001922,rota59_long_range_not_decipherment
69,0.003291,0.001803,0.001488,0.001763,rota59_long_range_not_decipherment
70,0.003384,0.001791,0.001593,0.001849,rota59_long_range_not_decipherment
71,0.003166,0.001842,0.001325,0.001786,rota59_long_range_not_decipherment
72,0.003033,0.001772,0.001261,0.001783,rota59_long_range_not_decipherment
73,0.003065,0.001812,0.001254,0.00174,rota59_long_range_not_decipherment
74,0.003079,0.001853,0.001226,0.00191,rota59_long_range_not_decipherment
75,0.003124,0.001772,0.001351,0.001772,rota59_long_range_not_decipherment
76,0.003351,0.001754,0.001597,0.001799,rota59_long_range_not_decipherment
77,0.003074,0.001685,0.001389,0.001751,rota59_long_range_not_decipherment
78,0.003076,0.001742,0.001334,0.00176,rota59_long_range_not_decipherment
79,0.00283,0.001782,0.001048,0.001742,rota59_long_range_not_decipherment
80,0.002843,0.001834,0.001009,0.001757,rota59_long_range_not_decipherment
81,0.003106,0.001777,0.001329,0.001964,rota59_long_range_not_decipherment
82,0.003351,0.001819,0.001532,0.00193,rota59_long_range_not_decipherment
83,0.003123,0.001918,0.001205,0.001747,rota59_long_range_not_decipherment
84,0.003306,0.001736,0.00157,0.001938,rota59_long_range_not_decipherment
85,0.002818,0.001715,0.001102,0.001723,rota59_long_range_not_decipherment
86,0.002926,0.0018,0.001126,0.001974,rota59_long_range_not_decipherment
87,0.002745,0.001792,0.000952,0.001978,rota59_long_range_not_decipherment
88,0.003016,0.001779,0.001238,0.001931,rota59_long_range_not_decipherment
89,0.002887,0.001801,0.001085,0.001871,rota59_long_range_not_decipherment
90,0.002795,0.001809,0.000986,0.001822,rota59_long_range_not_decipherment
91,0.002477,0.001887,0.00059,0.001841,rota59_long_range_not_decipherment
92,0.002522,0.001794,0.000728,0.001685,rota59_long_range_not_decipherment
93,0.002666,0.001727,0.000938,0.001628,rota59_long_range_not_decipherment
94,0.002972,0.001836,0.001136,0.001888,rota59_long_range_not_decipherment
95,0.00297,0.0018,0.00117,0.001722,rota59_long_range_not_decipherment
