metric,value
stream_len,228177
alphabet_size,26
max_d,150
null_floor,0.00179283
powerlaw_gamma,1.16251
powerlaw_r2,0.761219
exp_xi,58.471537
exp_r2,0.348369
better_fit,power_law
excess_d1,1.717279
excess_d10,0.018687
excess_d50,0.001874
excess_d100,0.000738
correlation_length,15
I_real_d50,0.003659
I_lineshuffled_d50,0.001898
I_real_d100,0.002521
I_lineshuffled_d100,0.001733
lineshuffle_ratio_d50,17.8512
lineshuffle_ratio_d100,inf
zipf_slope,-1.0791
heaps_beta,0.786
verdict,ambiguous
guardrail,rota59_long_range_not_decipherment
