route10_id,manual_review_id,decision_id,crop_id,source_review_id,folio,locus,prefix_family,axis_coverage,group_tokens,missing_group_tokens,manual_final_status,manual_tighter_x,manual_tighter_y,manual_tighter_width,manual_tighter_height,manual_target_tokens_seen,manual_missing_tokens_seen,consolidation_outcome,coordinate_status,evidence_status,axis_test_eligibility,next_action
R10-001,R9-001,R8-009,R7-009,R6-009,f67r1,"f67r1.5,@Cc",ot,ao,otardar otor,otardar,pending_manual_review,,,,,,,pending_manual_review,no_manual_coordinates,no_glyph_confirmation,not_eligible,complete manual review before assigning visual evidence
R10-002,R9-002,R8-010,R7-010,R6-010,f70v2,"f70v2.21,@Cc",ot,ao,otar oteedar oteeeor,oteedar oteeeor,pending_manual_review,,,,,,,pending_manual_review,no_manual_coordinates,no_glyph_confirmation,not_eligible,complete manual review before assigning visual evidence
R10-003,R9-003,R8-001,R7-001,R6-001,f67r1,"f67r1.6,+Cc",d,ao+rl,dal dar dol,dol,pending_manual_review,,,,,,,pending_manual_review,no_manual_coordinates,no_glyph_confirmation,not_eligible,complete manual review before assigning visual evidence
R10-004,R9-004,R8-005,R7-005,R6-005,f67r1,"f67r1.6,+Cc",ch,ao+rl,chedar cheol cheor chol,chedar cheol cheor,pending_manual_review,,,,,,,pending_manual_review,no_manual_coordinates,no_glyph_confirmation,not_eligible,complete manual review before assigning visual evidence
R10-005,R9-005,R8-006,R7-006,R6-006,f68r3,"f68r3.1,@Cc",ch,ao+rl,cheor chodal chokol chol,cheor chodal chokol,pending_manual_review,,,,,,,pending_manual_review,no_manual_coordinates,no_glyph_confirmation,not_eligible,complete manual review before assigning visual evidence
R10-006,R9-006,R8-007,R7-007,R6-007,f70v2,"f70v2.1,@Cc",ch,ao+rl,chokear chol cholkal,chokear cholkal,pending_manual_review,,,,,,,pending_manual_review,no_manual_coordinates,no_glyph_confirmation,not_eligible,complete manual review before assigning visual evidence
R10-007,R9-007,R8-008,R7-008,R6-008,f70v2,"f70v2.32,@Cc",standalone,rl,al ar,al,pending_manual_review,,,,,,,pending_manual_review,no_manual_coordinates,no_glyph_confirmation,not_eligible,complete manual review before assigning visual evidence
R10-008,R9-008,R8-011,R7-011,R6-011,f84r,"f84r.23,+P0",standalone,rl,ol or,ol,pending_manual_review,,,,,,,pending_manual_review,no_manual_coordinates,no_glyph_confirmation,not_eligible,complete manual review before assigning visual evidence
R10-009,R9-009,R8-002,R7-002,R6-002,f67r1,"f67r1.5,@Cc",standalone,ao+rl,ar ol,,pending_manual_review,,,,,,,pending_manual_review,no_manual_coordinates,no_glyph_confirmation,not_eligible,complete manual review before assigning visual evidence
R10-010,R9-010,R8-004,R7-004,R6-004,f67r1,"f67r1.6,+Cc",standalone,rl,al ar,,pending_manual_review,,,,,,,pending_manual_review,no_manual_coordinates,no_glyph_confirmation,not_eligible,complete manual review before assigning visual evidence
R10-011,R9-011,R8-003,R7-003,R6-003,f84r,"f84r.14,+P0",standalone,rl,ol or,,pending_manual_review,,,,,,,pending_manual_review,no_manual_coordinates,no_glyph_confirmation,not_eligible,complete manual review before assigning visual evidence
