folio,section,currier,token,nucleus
f1r,herbal,A,fachys,ch
f1r,herbal,A,shol,sh
f1r,herbal,A,shory,sh
f1r,herbal,A,sholdy,sh
f1r,herbal,A,chtaiin,ch
f1r,herbal,A,shar,sh
f1r,herbal,A,sheky,sh
f1r,herbal,A,shod,sh
f1r,herbal,A,chear,ch
f1r,herbal,A,ydaraishy,sh
f1r,herbal,A,shol,sh
f1r,herbal,A,sh,sh
f1r,herbal,A,shodary,sh
f1r,herbal,A,yshey,sh
f1r,herbal,A,shody,sh
f1r,herbal,A,okchoy,ch
f1r,herbal,A,otchol,ch
f1r,herbal,A,chocthy,ch
f1r,herbal,A,chy,ch
f1r,herbal,A,chor,ch
f1r,herbal,A,shos,sh
f1r,herbal,A,shody,sh
f1r,herbal,A,shoshy,sh
f1r,herbal,A,oksho,sh
f1r,herbal,A,kshoy,sh
f1r,herbal,A,shodain,sh
f1r,herbal,A,shoy,sh
f1r,herbal,A,sho,sh
f1r,herbal,A,chol,ch
f1r,herbal,A,chodain,ch
f1r,herbal,A,chdy,ch
f1r,herbal,A,shckhey,sh
f1r,herbal,A,char,ch
f1r,herbal,A,shey,sh
f1r,herbal,A,chol,ch
f1r,herbal,A,chol,ch
f1r,herbal,A,chal,ch
f1r,herbal,A,sho,sh
f1r,herbal,A,chol,ch
f1r,herbal,A,shodan,sh
f1r,herbal,A,kshy,sh
f1r,herbal,A,kchy,ch
f1r,herbal,A,chodaiin,ch
f1r,herbal,A,sho,sh
f1r,herbal,A,ycho,ch
f1r,herbal,A,tchey,ch
f1r,herbal,A,chekain,ch
f1r,herbal,A,sheo,sh
f1r,herbal,A,pshol,sh
f1r,herbal,A,shol,sh
f1r,herbal,A,she,sh
f1r,herbal,A,kodshey,sh
f1r,herbal,A,dchar,ch
f1r,herbal,A,shcthaiin,sh
f1r,herbal,A,chey,ch
f1r,herbal,A,chy,ch
f1r,herbal,A,shok,sh
f1r,herbal,A,chor,ch
f1r,herbal,A,chey,ch
f1r,herbal,A,shaiin,sh
f1r,herbal,A,chol,ch
f1r,herbal,A,tshodeesy,sh
f1r,herbal,A,shey,sh
f1r,herbal,A,cha,ch
f1r,herbal,A,chol,ch
f1r,herbal,A,shear,sh
f1r,herbal,A,shey,sh
f1r,herbal,A,cho,ch
f1r,herbal,A,shoaiin,sh
f1r,herbal,A,ycheey,ch
f1r,herbal,A,okchey,ch
f1r,herbal,A,ochol,ch
f1r,herbal,A,kdchy,ch
f1r,herbal,A,dcheo,ch
f1r,herbal,A,shody,sh
f1r,herbal,A,koshey,sh
f1r,herbal,A,chey,ch
f1r,herbal,A,chtor,ch
f1r,herbal,A,chol,ch
f1r,herbal,A,chok,ch
f1r,herbal,A,choty,ch
f1r,herbal,A,chotey,ch
f1r,herbal,A,dchaiin,ch
f1v,herbal,A,kchsy,ch
f1v,herbal,A,chydaiin,ch
f1v,herbal,A,tchey,ch
f1v,herbal,A,char,ch
f1v,herbal,A,char,ch
f1v,herbal,A,ochydcho,ch
f1v,herbal,A,chody,ch
f1v,herbal,A,shydksheey,sh
f1v,herbal,A,kotchody,ch
f1v,herbal,A,chokeo,ch
f1v,herbal,A,damsochey,ch
f1v,herbal,A,chokody,ch
f1v,herbal,A,shol,sh
f1v,herbal,A,chey,ch
f1v,herbal,A,shoshy,sh
f1v,herbal,A,choky,ch
f1v,herbal,A,chol,ch
f1v,herbal,A,shol,sh
f1v,herbal,A,okaldolchey,ch
f1v,herbal,A,chodo,ch
f1v,herbal,A,chy,ch
f1v,herbal,A,choees,ch
f1v,herbal,A,cheol,ch
f1v,herbal,A,lchiody,ch
f1v,herbal,A,okolshol,sh
f1v,herbal,A,kechy,ch
f1v,herbal,A,chol,ch
f1v,herbal,A,kychol,ch
f1v,herbal,A,chody,ch
f1v,herbal,A,chol,ch
f1v,herbal,A,shor,sh
f1v,herbal,A,chol,ch
f1v,herbal,A,darshol,sh
f1v,herbal,A,dchor,ch
f1v,herbal,A,tcho,ch
f1v,herbal,A,shody,sh
f1v,herbal,A,chotchey,ch
f1v,herbal,A,chodyschody,ch
f1v,herbal,A,chodar,ch
f2r,herbal,A,ypchol,ch
f2r,herbal,A,otchalypchaiin,ch
f2r,herbal,A,dorchorychkar,ch
f2r,herbal,A,sshor,sh
f2r,herbal,A,ychor,ch
f2r,herbal,A,chy,ch
f2r,herbal,A,ydychaiin,ch
f2r,herbal,A,aiidychtod,ch
f2r,herbal,A,dalschokaiin,ch
f2r,herbal,A,otochor,ch
f2r,herbal,A,danytchaiin,ch
f2r,herbal,A,sorytoldydchol,ch
f2r,herbal,A,dchy,ch
f2r,herbal,A,shor,sh
f2r,herbal,A,daiinychol,ch
f2r,herbal,A,shaiin,sh
f2r,herbal,A,shol,sh
f2r,herbal,A,fodanyksh,sh
f2r,herbal,A,olsheey,sh
f2r,herbal,A,sho,sh
f2r,herbal,A,sheey,sh
f2r,herbal,A,sochol,ch
f2r,herbal,A,cholaiin,ch
f2r,herbal,A,shol,sh
f2r,herbal,A,sheky,sh
f2r,herbal,A,ychain,ch
f2r,herbal,A,chy,ch
f2r,herbal,A,shan,sh
f2r,herbal,A,sheey,sh
f2r,herbal,A,chy,ch
f2r,herbal,A,chor,ch
f2r,herbal,A,chansaiin,ch
f2r,herbal,A,chety,ch
f2r,herbal,A,chyky,ch
f2r,herbal,A,sho,sh
f2r,herbal,A,chey,ch
f2r,herbal,A,chcthy,ch
f2v,herbal,A,cheo,ch
f2v,herbal,A,pchor,ch
f2v,herbal,A,chordair,ch
f2v,herbal,A,shty,sh
f2v,herbal,A,kcho,ch
f2v,herbal,A,kchy,ch
f2v,herbal,A,sho,sh
f2v,herbal,A,shol,sh
f2v,herbal,A,qotcho,ch
f2v,herbal,A,qotychor,ch
f2v,herbal,A,otchy,ch
f2v,herbal,A,chor,ch
f2v,herbal,A,lshy,sh
f2v,herbal,A,chol,ch
f2v,herbal,A,chody,ch
f2v,herbal,A,chodainchcthy,ch
f2v,herbal,A,sho,sh
f2v,herbal,A,cholo,ch
f2v,herbal,A,cheor,ch
f2v,herbal,A,chodaiin,ch
f2v,herbal,A,kchor,ch
f2v,herbal,A,shy,sh
f2v,herbal,A,chms,ch
f2v,herbal,A,shey,sh
f2v,herbal,A,chol,ch
f2v,herbal,A,chol,ch
f2v,herbal,A,chor,ch
f2v,herbal,A,chol,ch
f2v,herbal,A,chy,ch
f2v,herbal,A,chtydaiin,ch
f2v,herbal,A,tchor,ch
f2v,herbal,A,chan,ch
f2v,herbal,A,chotchey,ch
f2v,herbal,A,chokeoschees,ch
f2v,herbal,A,chr,ch
f2v,herbal,A,cheaiin,ch
f2v,herbal,A,chor,ch
f2v,herbal,A,cheol,ch
f2v,herbal,A,chol,ch
f3r,herbal,A,tsheos,sh
f3r,herbal,A,chol,ch
f3r,herbal,A,ycheor,ch
f3r,herbal,A,chor,ch
f3r,herbal,A,qotcham,ch
f3r,herbal,A,cham,ch
f3r,herbal,A,ochor,ch
f3r,herbal,A,qocheor,ch
f3r,herbal,A,chol,ch
f3r,herbal,A,schey,ch
f3r,herbal,A,chor,ch
f3r,herbal,A,chal,ch
f3r,herbal,A,chag,ch
f3r,herbal,A,cham,ch
f3r,herbal,A,cho,ch
f3r,herbal,A,chololy,ch
f3r,herbal,A,cham,ch
f3r,herbal,A,ychtaiin,ch
f3r,herbal,A,chor,ch
f3r,herbal,A,otchol,ch
f3r,herbal,A,chom,ch
f3r,herbal,A,shom,sh
f3r,herbal,A,ysheor,sh
f3r,herbal,A,chor,ch
f3r,herbal,A,chol,ch
f3r,herbal,A,sho,sh
f3r,herbal,A,sheoldam,sh
f3r,herbal,A,otchody,ch
f3r,herbal,A,cholcthom,ch
f3r,herbal,A,pcheol,ch
f3r,herbal,A,shol,sh
f3r,herbal,A,sheol,sh
f3r,herbal,A,shey,sh
f3r,herbal,A,qokchor,ch
f3r,herbal,A,schodam,ch
f3r,herbal,A,shey,sh
f3r,herbal,A,qokshey,sh
f3r,herbal,A,cheody,ch
f3r,herbal,A,chor,ch
f3r,herbal,A,tsheoarom,sh
f3r,herbal,A,shor,sh
f3r,herbal,A,chor,ch
f3r,herbal,A,olchsy,ch
f3r,herbal,A,chom,ch
f3r,herbal,A,otchomoporar,ch
f3r,herbal,A,chol,ch
f3r,herbal,A,cheol,ch
f3r,herbal,A,ekshy,sh
f3r,herbal,A,pcheoldom,ch
f3r,herbal,A,shodaiin,sh
f3r,herbal,A,qopchor,ch
f3r,herbal,A,opchol,ch
f3r,herbal,A,otchor,ch
f3r,herbal,A,cheor,ch
f3r,herbal,A,qosaiinchor,ch
f3r,herbal,A,ycheor,ch
f3r,herbal,A,chol,ch
f3r,herbal,A,chol,ch
f3v,herbal,A,sha,sh
f3v,herbal,A,chol,ch
f3v,herbal,A,shol,sh
f3v,herbal,A,chom,ch
f3v,herbal,A,cheeykam,ch
f3v,herbal,A,kcheol,ch
f3v,herbal,A,chear,ch
f3v,herbal,A,ychear,ch
f3v,herbal,A,otchal,ch
f3v,herbal,A,cho,ch
f3v,herbal,A,char,ch
f3v,herbal,A,cheor,ch
f3v,herbal,A,chodaly,ch
f3v,herbal,A,chom,ch
f3v,herbal,A,tchor,ch
f3v,herbal,A,otcham,ch
f3v,herbal,A,chor,ch
f3v,herbal,A,ykchy,ch
f3v,herbal,A,kchom,ch
f3v,herbal,A,chor,ch
f3v,herbal,A,chckhol,ch
f3v,herbal,A,ytcheear,ch
f3v,herbal,A,chor,ch
f3v,herbal,A,ochos,ch
f3v,herbal,A,qokshol,sh
f3v,herbal,A,chol,ch
f3v,herbal,A,sho,sh
f3v,herbal,A,shockho,sh
f3v,herbal,A,tchor,ch
f3v,herbal,A,chodaiin,ch
f3v,herbal,A,chom,ch
f3v,herbal,A,osh,sh
f3v,herbal,A,chodair,ch
f3v,herbal,A,ytchy,ch
f3v,herbal,A,tchor,ch
f3v,herbal,A,kcham,ch
f3v,herbal,A,shar,sh
f3v,herbal,A,shkaiin,sh
f3v,herbal,A,qokchy,ch
f3v,herbal,A,chky,ch
f3v,herbal,A,sheam,sh
f4r,herbal,A,kodalchy,ch
f4r,herbal,A,chpady,ch
f4r,herbal,A,sheol,sh
f4r,herbal,A,sheey,sh
f4r,herbal,A,chor,ch
f4r,herbal,A,dchor,ch
f4r,herbal,A,shol,sh
f4r,herbal,A,shol,sh
f4r,herbal,A,chaiin,ch
f4r,herbal,A,schoraiin,ch
f4r,herbal,A,chom,ch
f4r,herbal,A,otchol,ch
f4r,herbal,A,chol,ch
f4r,herbal,A,chy,ch
f4r,herbal,A,chaiin,ch
f4r,herbal,A,shain,sh
f4r,herbal,A,qotchol,ch
f4r,herbal,A,chy,ch
f4r,herbal,A,qotchy,ch
f4r,herbal,A,chor,ch
f4r,herbal,A,dytcheey,ch
f4r,herbal,A,shor,sh
f4r,herbal,A,shol,sh
f4r,herbal,A,shol,sh
f4r,herbal,A,ckhochy,ch
f4r,herbal,A,tchy,ch
f4r,herbal,A,shor,sh
f4r,herbal,A,shyshol,sh
f4r,herbal,A,qotchoiin,ch
f4r,herbal,A,sheor,sh
f4r,herbal,A,chaiin,ch
f4r,herbal,A,chaiin,ch
f4v,herbal,A,pchooiin,ch
f4v,herbal,A,ksheo,sh
f4v,herbal,A,kchoy,ch
f4v,herbal,A,chopchy,ch
f4v,herbal,A,chey,ch
f4v,herbal,A,chy,ch
f4v,herbal,A,sheo,sh
f4v,herbal,A,cheorycholdy,ch
f4v,herbal,A,sho,sh
f4v,herbal,A,sho,sh
f4v,herbal,A,chaiin,ch
f4v,herbal,A,shaiin,sh
f4v,herbal,A,qokshy,sh
f4v,herbal,A,choteol,ch
f4v,herbal,A,ctheychoaiin,ch
f4v,herbal,A,shor,sh
f4v,herbal,A,sheey,sh
f4v,herbal,A,shey,sh
f4v,herbal,A,qotchoiinchodain,ch
f4v,herbal,A,ytchoy,ch
f4v,herbal,A,torchy,ch
f4v,herbal,A,sheeor,sh
f4v,herbal,A,chor,ch
f4v,herbal,A,chokchy,ch
f4v,herbal,A,chor,ch
f4v,herbal,A,sho,sh
f4v,herbal,A,cheog,ch
f4v,herbal,A,chcthy,ch
f4v,herbal,A,shoky,sh
f4v,herbal,A,sheo,sh
f4v,herbal,A,chol,ch
f4v,herbal,A,chokeody,ch
f4v,herbal,A,sho,sh
f4v,herbal,A,kcheor,ch
f4v,herbal,A,shody,sh
f4v,herbal,A,shtaiin,sh
f4v,herbal,A,sho,sh
f4v,herbal,A,shar,sh
f4v,herbal,A,char,ch
f4v,herbal,A,shody,sh
f4v,herbal,A,cheor,ch
f4v,herbal,A,chokody,ch
f4v,herbal,A,shodaiin,sh
f4v,herbal,A,ochody,ch
f4v,herbal,A,chy,ch
f4v,herbal,A,chtody,ch
f5r,herbal,A,kchody,ch
f5r,herbal,A,fchoy,ch
f5r,herbal,A,chkoy,ch
f5r,herbal,A,chody,ch
f5r,herbal,A,dkshy,sh
f5r,herbal,A,ochey,ch
f5r,herbal,A,sho,sh
f5r,herbal,A,chey,ch
f5r,herbal,A,chy,ch
f5r,herbal,A,chocthy,ch
f5r,herbal,A,otchy,ch
f5r,herbal,A,qotchody,ch
f5r,herbal,A,sheody,sh
f5r,herbal,A,chan,ch
f5r,herbal,A,cheor,ch
f5r,herbal,A,chocthy,ch
f5r,herbal,A,tchy,ch
f5r,herbal,A,shody,sh
f5r,herbal,A,cholols,ch
f5r,herbal,A,sho,sh
f5r,herbal,A,qotcheo,ch
f5r,herbal,A,shodaiin,sh
f5r,herbal,A,sho,sh
f5r,herbal,A,cheor,ch
f5r,herbal,A,chey,ch
f5r,herbal,A,shotshy,sh
f5r,herbal,A,cheo,ch
f5r,herbal,A,kchy,ch
f5r,herbal,A,shody,sh
f5v,herbal,A,cheor,ch
f5v,herbal,A,chor,ch
f5v,herbal,A,ytchey,ch
f5v,herbal,A,pshod,sh
f5v,herbal,A,chols,ch
f5v,herbal,A,chodaiin,ch
f5v,herbal,A,dchol,ch
f5v,herbal,A,chol,ch
f5v,herbal,A,chots,ch
f5v,herbal,A,ychopordg,ch
f5v,herbal,A,qotcho,ch
f5v,herbal,A,otchor,ch
f5v,herbal,A,darchor,ch
f5v,herbal,A,shees,sh
f5v,herbal,A,shol,sh
f5v,herbal,A,okch,ch
f5v,herbal,A,shokeeol,sh
f5v,herbal,A,chor,ch
f5v,herbal,A,cheotol,ch
f5v,herbal,A,otchol,ch
f5v,herbal,A,chol,ch
f5v,herbal,A,chotaiin,ch
f5v,herbal,A,chol,ch
f6r,herbal,A,shol,sh
f6r,herbal,A,cholor,ch
f6r,herbal,A,chor,ch
f6r,herbal,A,chchopchol,ch
f6r,herbal,A,otcham,ch
f6r,herbal,A,chckhy,ch
f6r,herbal,A,chor,ch
