metric,value
n_chsh_tokens,14594
A_cramerV_kind_balneo,0.0181
A_perm_p_kind_balneo,0.421158
A_n_balneo,2520
A_sh_pct_label,33.33
A_sh_pct_text,42.55
B_cramerV_operator_nucleus,0.1145
B_perm_p_operator_nucleus,0.001996
B_n_operator,14594
B_cramerV_operator_within_B,0.0987
B_n_within_B,8738
C_entropy_next_ch_bits,2.3203
C_entropy_next_sh_bits,1.9396
C_top1_after_ch,e=0.461
C_top1_after_sh,e=0.579
A_predictor,text
B_orthogonal,False
C_free_variants,False
semantic_guardrail,rota54_nucleus_context_not_decipherment
