skeleton,n_ch,n_sh,top_section_ch,top_section_sh,semantic_guardrail
#edy,501,432,balneological(204),balneological(246),rota55_minpair_not_decipherment
#ey,351,272,recipes(125),balneological(93),rota55_minpair_not_decipherment
#ol,382,174,herbal(218),herbal(107),rota55_minpair_not_decipherment
#eey,186,147,recipes(81),recipes(50),rota55_minpair_not_decipherment
#or,199,90,herbal(142),herbal(63),rota55_minpair_not_decipherment
#eol,169,109,recipes(55),pharmaceutical(30),rota55_minpair_not_decipherment
#y,170,97,herbal(106),herbal(60),rota55_minpair_not_decipherment
#o,80,116,herbal(47),herbal(86),rota55_minpair_not_decipherment
#ckhy,131,56,balneological(42),balneological(28),rota55_minpair_not_decipherment
#dy,138,42,herbal(41),herbal(14),rota55_minpair_not_decipherment
l#edy,116,40,balneological(59),balneological(22),rota55_minpair_not_decipherment
#eedy,59,84,balneological(24),balneological(43),rota55_minpair_not_decipherment
#eor,93,46,herbal(33),pharmaceutical(14),rota55_minpair_not_decipherment
#ody,88,50,herbal(37),herbal(20),rota55_minpair_not_decipherment
#eody,88,48,recipes(33),herbal(15),rota55_minpair_not_decipherment
#eo,76,48,recipes(38),recipes(16),rota55_minpair_not_decipherment
#ar,84,33,herbal(37),herbal(10),rota55_minpair_not_decipherment
#cthy,80,32,balneological(25),balneological(13),rota55_minpair_not_decipherment
#eky,62,33,herbal(32),balneological(14),rota55_minpair_not_decipherment
#eckhy,47,33,balneological(22),balneological(20),rota55_minpair_not_decipherment
qok#y,66,9,herbal(42),herbal(4),rota55_minpair_not_decipherment
#ear,49,23,herbal(16),recipes(9),rota55_minpair_not_decipherment
qot#y,61,5,herbal(46),herbal(4),rota55_minpair_not_decipherment
l#ey,49,17,balneological(23),recipes(10),rota55_minpair_not_decipherment
#aiin,45,20,herbal(36),herbal(14),rota55_minpair_not_decipherment
#odaiin,42,22,herbal(19),herbal(9),rota55_minpair_not_decipherment
#al,46,15,recipes(21),recipes(8),rota55_minpair_not_decipherment
d#edy,26,34,recipes(10),balneological(20),rota55_minpair_not_decipherment
ol#edy,36,21,balneological(23),balneological(14),rota55_minpair_not_decipherment
#es,41,15,recipes(12),astronomical(7),rota55_minpair_not_decipherment
qok#dy,51,3,recipes(15),recipes(2),rota55_minpair_not_decipherment
op#edy,49,2,recipes(26),balneological(1),rota55_minpair_not_decipherment
#edaiin,38,13,recipes(21),cosmological(7),rota55_minpair_not_decipherment
qok#edy,40,11,recipes(29),balneological(8),rota55_minpair_not_decipherment
#eos,37,13,recipes(12),recipes(4),rota55_minpair_not_decipherment
#ecthy,30,19,balneological(18),balneological(13),rota55_minpair_not_decipherment
#eal,30,18,recipes(15),recipes(9),rota55_minpair_not_decipherment
#oky,40,7,herbal(24),herbal(3),rota55_minpair_not_decipherment
#os,37,9,pharmaceutical(13),herbal(4),rota55_minpair_not_decipherment
ot#y,41,4,herbal(27),herbal(4),rota55_minpair_not_decipherment
#ees,36,9,herbal(11),herbal(3),rota55_minpair_not_decipherment
#oty,38,6,herbal(23),herbal(4),rota55_minpair_not_decipherment
t#edy,34,10,balneological(11),balneological(4),rota55_minpair_not_decipherment
ot#edy,33,10,recipes(17),recipes(6),rota55_minpair_not_decipherment
k#y,35,7,herbal(32),herbal(7),rota55_minpair_not_decipherment
#edar,34,8,recipes(24),recipes(4),rota55_minpair_not_decipherment
#ckhey,30,11,recipes(13),balneological(5),rota55_minpair_not_decipherment
ok#ey,32,9,herbal(12),recipes(4),rota55_minpair_not_decipherment
ot#ey,33,8,recipes(12),cosmological(4),rota55_minpair_not_decipherment
#eeky,25,15,balneological(10),balneological(8),rota55_minpair_not_decipherment
p#edy,36,3,balneological(17),recipes(2),rota55_minpair_not_decipherment
ol#ey,25,13,balneological(14),balneological(8),rota55_minpair_not_decipherment
d#or,24,12,herbal(21),herbal(8),rota55_minpair_not_decipherment
#edal,25,11,recipes(18),balneological(7),rota55_minpair_not_decipherment
#ed,18,18,recipes(9),recipes(10),rota55_minpair_not_decipherment
qok#ey,27,8,recipes(15),cosmological(5),rota55_minpair_not_decipherment
qop#edy,31,4,recipes(21),balneological(3),rota55_minpair_not_decipherment
d#y,26,8,herbal(20),herbal(7),rota55_minpair_not_decipherment
ok#y,25,9,herbal(12),herbal(4),rota55_minpair_not_decipherment
#,9,23,recipes(4),herbal(15),rota55_minpair_not_decipherment
#dar,22,10,recipes(11),cosmological(5),rota55_minpair_not_decipherment
t#ey,22,9,herbal(11),balneological(3),rota55_minpair_not_decipherment
t#y,28,3,herbal(25),herbal(2),rota55_minpair_not_decipherment
op#ey,30,1,recipes(12),balneological(1),rota55_minpair_not_decipherment
#e,4,26,astronomical(3),herbal(18),rota55_minpair_not_decipherment
#ety,21,9,herbal(11),balneological(4),rota55_minpair_not_decipherment
#ky,17,13,herbal(10),herbal(6),rota55_minpair_not_decipherment
#l,27,3,recipes(16),balneological(2),rota55_minpair_not_decipherment
#eeo,20,10,recipes(18),recipes(6),rota55_minpair_not_decipherment
#edain,19,11,recipes(13),recipes(10),rota55_minpair_not_decipherment
ot#ol,27,2,herbal(22),herbal(2),rota55_minpair_not_decipherment
#oy,16,13,herbal(12),herbal(4),rota55_minpair_not_decipherment
ot#dy,26,3,recipes(9),balneological(3),rota55_minpair_not_decipherment
#octhy,17,11,herbal(12),herbal(7),rota55_minpair_not_decipherment
#ain,19,9,herbal(11),herbal(4),rota55_minpair_not_decipherment
k#ey,22,6,herbal(13),herbal(3),rota55_minpair_not_decipherment
qot#edy,25,3,recipes(17),balneological(2),rota55_minpair_not_decipherment
y#ey,14,13,pharmaceutical(4),recipes(6),rota55_minpair_not_decipherment
d#ey,16,11,herbal(9),herbal(5),rota55_minpair_not_decipherment
ok#edy,24,3,recipes(17),herbal(1),rota55_minpair_not_decipherment
y#eey,18,8,recipes(10),herbal(3),rota55_minpair_not_decipherment
t#or,22,4,herbal(15),herbal(2),rota55_minpair_not_decipherment
#ockhy,21,5,pharmaceutical(6),herbal(2),rota55_minpair_not_decipherment
k#ol,24,2,herbal(18),herbal(2),rota55_minpair_not_decipherment
k#edy,21,5,recipes(13),pharmaceutical(2),rota55_minpair_not_decipherment
qot#dy,22,3,recipes(11),recipes(2),rota55_minpair_not_decipherment
#am,17,6,herbal(11),recipes(3),rota55_minpair_not_decipherment
#kaiin,18,5,herbal(10),recipes(3),rota55_minpair_not_decipherment
t#ol,17,6,herbal(13),herbal(5),rota55_minpair_not_decipherment
k#or,20,2,herbal(16),herbal(2),rota55_minpair_not_decipherment
yk#y,19,3,herbal(15),herbal(2),rota55_minpair_not_decipherment
#eeor,16,6,pharmaceutical(7),astronomical(2),rota55_minpair_not_decipherment
d#ol,18,4,herbal(10),herbal(1),rota55_minpair_not_decipherment
k#dy,18,4,herbal(10),herbal(2),rota55_minpair_not_decipherment
#eeol,9,13,recipes(3),balneological(4),rota55_minpair_not_decipherment
ok#dy,21,1,balneological(6),recipes(1),rota55_minpair_not_decipherment
#dal,18,4,recipes(7),recipes(2),rota55_minpair_not_decipherment
qot#ey,18,2,herbal(8),herbal(1),rota55_minpair_not_decipherment
#oly,17,3,herbal(7),herbal(3),rota55_minpair_not_decipherment
#daiin,16,4,recipes(10),herbal(2),rota55_minpair_not_decipherment
y#or,16,3,herbal(10),herbal(1),rota55_minpair_not_decipherment
#okaiin,15,4,herbal(6),herbal(2),rota55_minpair_not_decipherment
d#eey,11,8,herbal(4),recipes(5),rota55_minpair_not_decipherment
#oiin,13,6,herbal(13),herbal(5),rota55_minpair_not_decipherment
ok#or,17,2,herbal(11),herbal(1),rota55_minpair_not_decipherment
#s,15,4,recipes(4),astronomical(2),rota55_minpair_not_decipherment
t#dy,14,5,recipes(5),herbal(3),rota55_minpair_not_decipherment
op#dy,18,1,recipes(9),balneological(1),rota55_minpair_not_decipherment
l#eey,13,6,recipes(9),balneological(4),rota55_minpair_not_decipherment
lk#edy,15,4,recipes(11),recipes(4),rota55_minpair_not_decipherment
#oldy,10,8,herbal(5),herbal(3),rota55_minpair_not_decipherment
#od,8,10,herbal(4),recipes(5),rota55_minpair_not_decipherment
yt#y,15,3,herbal(10),herbal(2),rota55_minpair_not_decipherment
#eodaiin,13,5,recipes(6),herbal(3),rota55_minpair_not_decipherment
y#edy,11,7,balneological(4),balneological(5),rota55_minpair_not_decipherment
