bench,next_char,count,prob,semantic_guardrail
ch,e,5050,0.461019,rota54_nucleus_context_not_decipherment
ch,o,2646,0.241556,rota54_nucleus_context_not_decipherment
ch,y,1026,0.093664,rota54_nucleus_context_not_decipherment
ch,d,812,0.074128,rota54_nucleus_context_not_decipherment
ch,a,493,0.045006,rota54_nucleus_context_not_decipherment
ch,c,423,0.038616,rota54_nucleus_context_not_decipherment
ch,k,160,0.014607,rota54_nucleus_context_not_decipherment
ch,s,108,0.009859,rota54_nucleus_context_not_decipherment
ch,t,83,0.007577,rota54_nucleus_context_not_decipherment
ch,l,57,0.005204,rota54_nucleus_context_not_decipherment
ch,p,32,0.002921,rota54_nucleus_context_not_decipherment
ch,$END,27,0.002465,rota54_nucleus_context_not_decipherment
ch,r,16,0.001461,rota54_nucleus_context_not_decipherment
ch,g,7,0.000639,rota54_nucleus_context_not_decipherment
ch,f,5,0.000456,rota54_nucleus_context_not_decipherment
ch,i,4,0.000365,rota54_nucleus_context_not_decipherment
ch,x,2,0.000183,rota54_nucleus_context_not_decipherment
ch,m,1,9.1e-05,rota54_nucleus_context_not_decipherment
ch,h,1,9.1e-05,rota54_nucleus_context_not_decipherment
ch,z,1,9.1e-05,rota54_nucleus_context_not_decipherment
sh,e,2608,0.579041,rota54_nucleus_context_not_decipherment
sh,o,978,0.21714,rota54_nucleus_context_not_decipherment
sh,y,288,0.063943,rota54_nucleus_context_not_decipherment
sh,d,182,0.040409,rota54_nucleus_context_not_decipherment
sh,c,157,0.034858,rota54_nucleus_context_not_decipherment
sh,a,147,0.032638,rota54_nucleus_context_not_decipherment
sh,k,49,0.010879,rota54_nucleus_context_not_decipherment
sh,$END,39,0.008659,rota54_nucleus_context_not_decipherment
sh,s,21,0.004663,rota54_nucleus_context_not_decipherment
sh,t,19,0.004218,rota54_nucleus_context_not_decipherment
sh,l,10,0.00222,rota54_nucleus_context_not_decipherment
sh,f,2,0.000444,rota54_nucleus_context_not_decipherment
sh,r,2,0.000444,rota54_nucleus_context_not_decipherment
sh,x,2,0.000444,rota54_nucleus_context_not_decipherment
