route14_id,checklist_id,packet_id,route11_id,route10_id,manual_review_id,crop_id,source_review_id,folio,locus,target_type,review_target,manual_token_seen,manual_new_crop_needed,manual_image_insufficient,manual_new_crop_x,manual_new_crop_y,manual_new_crop_width,manual_new_crop_height,consolidation_outcome,coordinate_status,visual_evidence_status,axis_test_eligibility,next_action,semantic_guardrail
R14-001,R13-001,R12-001,R11-002,R10-001,R9-001,R7-009,R6-009,f67r1,"f67r1.5,@Cc",missing_group_tokens,otardar,,,,,,,,pending_visual_check,no_new_crop_coordinates,no_new_visual_evidence,not_eligible,complete checklist fields after visual review,checklist_consolidation_not_axis_evidence
R14-002,R13-002,R12-001,R11-003,R10-004,R9-004,R7-005,R6-005,f67r1,"f67r1.6,+Cc",missing_group_tokens,chedar cheol cheor,,,,,,,,pending_visual_check,no_new_crop_coordinates,no_new_visual_evidence,not_eligible,complete checklist fields after visual review,checklist_consolidation_not_axis_evidence
R14-003,R13-003,R12-001,R11-006,R10-003,R9-003,R7-001,R6-001,f67r1,"f67r1.6,+Cc",missing_group_tokens,dol,,,,,,,,pending_visual_check,no_new_crop_coordinates,no_new_visual_evidence,not_eligible,complete checklist fields after visual review,checklist_consolidation_not_axis_evidence
R14-004,R13-004,R12-001,R11-009,R10-009,R9-009,R7-002,R6-002,f67r1,"f67r1.5,@Cc",matched_group_tokens,ar ol,,,,,,,,pending_visual_check,no_new_crop_coordinates,no_new_visual_evidence,not_eligible,complete checklist fields after visual review,checklist_consolidation_not_axis_evidence
R14-005,R13-005,R12-001,R11-010,R10-010,R9-010,R7-004,R6-004,f67r1,"f67r1.6,+Cc",matched_group_tokens,al ar,,,,,,,,pending_visual_check,no_new_crop_coordinates,no_new_visual_evidence,not_eligible,complete checklist fields after visual review,checklist_consolidation_not_axis_evidence
R14-006,R13-006,R12-002,R11-001,R10-002,R9-002,R7-010,R6-010,f70v2,"f70v2.21,@Cc",missing_group_tokens,oteedar oteeeor,,,,,,,,pending_visual_check,no_new_crop_coordinates,no_new_visual_evidence,not_eligible,complete checklist fields after visual review,checklist_consolidation_not_axis_evidence
R14-007,R13-007,R12-002,R11-005,R10-006,R9-006,R7-007,R6-007,f70v2,"f70v2.1,@Cc",missing_group_tokens,chokear cholkal,,,,,,,,pending_visual_check,no_new_crop_coordinates,no_new_visual_evidence,not_eligible,complete checklist fields after visual review,checklist_consolidation_not_axis_evidence
R14-008,R13-008,R12-002,R11-007,R10-007,R9-007,R7-008,R6-008,f70v2,"f70v2.32,@Cc",missing_group_tokens,al,,,,,,,,pending_visual_check,no_new_crop_coordinates,no_new_visual_evidence,not_eligible,complete checklist fields after visual review,checklist_consolidation_not_axis_evidence
R14-009,R13-009,R12-003,R11-004,R10-005,R9-005,R7-006,R6-006,f68r3,"f68r3.1,@Cc",missing_group_tokens,cheor chodal chokol,,,,,,,,pending_visual_check,no_new_crop_coordinates,no_new_visual_evidence,not_eligible,complete checklist fields after visual review,checklist_consolidation_not_axis_evidence
R14-010,R13-010,R12-004,R11-008,R10-008,R9-008,R7-011,R6-011,f84r,"f84r.23,+P0",missing_group_tokens,ol,,,,,,,,pending_visual_check,no_new_crop_coordinates,no_new_visual_evidence,not_eligible,complete checklist fields after visual review,checklist_consolidation_not_axis_evidence
R14-011,R13-011,R12-004,R11-011,R10-011,R9-011,R7-003,R6-003,f84r,"f84r.14,+P0",matched_group_tokens,ol or,,,,,,,,pending_visual_check,no_new_crop_coordinates,no_new_visual_evidence,not_eligible,complete checklist fields after visual review,checklist_consolidation_not_axis_evidence
