metric,value
n_paragraph,34259
n_radial,2383
n_label,1029
n_other,0
n_folios_with_both,10
folios_with_both,f67r1;f67v2;f68r1;f68r2;f68v2;f68v3;f69r;f70r2;f85r2;f86v4
best_feature_within_folio,prefix
best_feature_V_global,0.148
best_feature_p_global,0.0005
best_feature_V_within_folio,0.2167
best_feature_p_within_folio,0.0005
verdict_feature,nucleus
verdict_folios,f67v2;f68r2;f68v2;f68v3;f69r;f86v4
verdict,radial_paragraph_differ
focus_folio,f67r2
focus_radial_n_paragraph,126
focus_radial_n_radial,0
focus_radial_cramer_v,0.0
focus_radial_p_within_folio,1.0
focus_label_n_paragraph,126
focus_label_n_label,64
focus_label_cramer_v,0.2604
focus_label_p_within_folio,0.0265
focus_confirms_R50,True
n_perm,2000
seed,65
semantic_guardrail,rota65a_radial_paragraph_not_decipherment
