metric,item,n
image_quality_assist,high,5
image_quality_assist,medium_composite,2
image_quality_assist,medium_faint,1
target_region_locatable_assist,partial,4
target_region_locatable_assist,partial_composite_page,2
target_region_locatable_assist,yes_region,2
exact_token_decision_assist,not_determined_requires_human_zoom,8
suggested_manual_review_action,crop_composite_foldout_plant_rows,1
suggested_manual_review_action,crop_composite_foldout_recipe_rows,1
suggested_manual_review_action,crop_label_rows_and_match_petersen_lines,1
suggested_manual_review_action,crop_top_label_row,1
suggested_manual_review_action,crop_upper_pool_text_lines,1
suggested_manual_review_action,increase_contrast_crop_paragraph_starts,1
suggested_manual_review_action,rotate_crop_circle_labels,1
suggested_manual_review_action,rotate_crop_sector_and_red_line,1
chain_status,blocked_waiting_human_r32_entry,8
semantic_guardrail,ai_highres_visual_assist_not_human_evidence,8
