metric,item,n
folio,f1r,1
folio,f67r2,1
folio,f67v1,1
folio,f84r,1
folio,f88v,1
folio,f89r2,1
folio,f99r,1
folio,f99v,1
priority_level,P1,7
priority_level,P0,1
locus_kind,P,6
locus_kind,L,2
review_group,middle_partial_regions,3
review_group,first_clear_regions,2
review_group,last_composite_pages,2
review_group,faint_source,1
image_quality_assist,high,5
image_quality_assist,medium_composite,2
image_quality_assist,medium_faint,1
target_region_locatable_assist,partial,4
target_region_locatable_assist,partial_composite_page,2
target_region_locatable_assist,yes_region,2
semantic_guardrail,highres_human_fill_html_not_visual_evidence,8
