route42m_id,route42l_id,route42k_id,route42f_id,route42b_id,route32_id,folio,target_locus,transcription_text,review_bucket,review_priority_score,suggested_visual_line_number,suggested_zone_box_pct,fragment_union_box_pct,refined_capture_box_pct,refined_baseline_points,fragment_count,area_reduction_pct,confidence_band,fine_capture_status,selected_visual_line_number,selected_zone_box_pct,human_next_step,local_image_path,semantic_guardrail
R42M-001,R42L-001,R42K-001,R42F-008,R42B-004,R32-003,f67r2,"f67r2.35,@Pb",chol.[g:d]iin.okol,revisar_primeiro,71,2,"67.90,9.71,83.97,14.33","67.91,9.71,82.60,14.33","67.90,9.71,83.00,14.33","67.90,13.31 83.00,13.31",4,6.04,media,fine_capture_ready_needs_human_confirmation,,,confirmar visualmente na R42L antes de aplicar na R42F,images/raw/yale_iiif_r32/f67r2_1006194.jpg,fine_line_capture_not_ocr_or_evidence
R42M-002,R42L-002,R42K-002,R42F-009,R42B-004,R32-003,f67r2,"f67r2.73,+P0","sshey.sy,shees.qeykeey.ykchey.ykchey.qokeochy.oaiin.okol.ar.olar",revisar_primeiro,71,2,"67.90,9.71,83.97,14.33","67.91,9.71,82.60,14.33","67.90,9.71,83.00,14.33","67.90,13.31 83.00,13.31",4,6.04,media,fine_capture_ready_needs_human_confirmation,,,confirmar visualmente na R42L antes de aplicar na R42F,images/raw/yale_iiif_r32/f67r2_1006194.jpg,fine_line_capture_not_ocr_or_evidence
R42M-003,R42L-003,R42K-003,R42F-010,R42B-005,R32-004,f67v1,"f67v1.3,&L0",okal.ary,revisar_primeiro,70,1,"69.43,34.68,76.83,38.88","69.43,35.22,71.17,38.88","69.43,35.22,71.57,38.88","69.43,38.07 71.57,38.07",1,74.80,baixa,fine_capture_ready_needs_human_confirmation,,,confirmar visualmente na R42L antes de aplicar na R42F,images/raw/yale_iiif_r32/f67v1_1006195.jpg,fine_line_capture_not_ocr_or_evidence
R42M-004,R42L-004,R42K-004,R42F-011,R42B-005,R32-004,f67v1,"f67v1.5,&L0",okol.aldy,revisar_primeiro,70,1,"69.43,34.68,76.83,38.88","69.43,35.22,71.17,38.88","69.43,35.22,71.57,38.88","69.43,38.07 71.57,38.07",1,74.80,baixa,fine_capture_ready_needs_human_confirmation,,,confirmar visualmente na R42L antes de aplicar na R42F,images/raw/yale_iiif_r32/f67v1_1006195.jpg,fine_line_capture_not_ocr_or_evidence
R42M-005,R42L-005,R42K-005,R42F-001,R42B-002,R32-008,f99r,"f99r.2,@Lf","okar,y",revisar_depois,66,4,"51.70,81.43,65.37,84.69","51.70,81.43,65.37,84.69","51.70,81.43,65.37,84.69","51.70,83.97 65.37,83.97",3,0.00,media,fine_capture_ready_needs_human_confirmation,,,confirmar visualmente na R42L antes de aplicar na R42F,images/raw/yale_iiif_r32/f99r_1006246.jpg,fine_line_capture_not_ocr_or_evidence
R42M-006,R42L-006,R42K-006,R42F-002,R42B-002,R32-008,f99r,"f99r.8,@Lf",okor,revisar_depois,66,4,"51.70,81.43,65.37,84.69","51.70,81.43,65.37,84.69","51.70,81.43,65.37,84.69","51.70,83.97 65.37,83.97",3,0.00,media,fine_capture_ready_needs_human_confirmation,,,confirmar visualmente na R42L antes de aplicar na R42F,images/raw/yale_iiif_r32/f99r_1006246.jpg,fine_line_capture_not_ocr_or_evidence
R42M-007,R42L-007,R42K-007,R42F-012,R42B-006,R32-002,f1r,"f1r.21,=Pt",otol.daiiin<$>,revisar_depois,64,2,"25.70,5.01,32.83,8.20","26.22,5.01,32.16,8.20","25.82,5.01,32.56,8.20","25.82,7.50 32.56,7.50",2,5.47,media,fine_capture_ready_needs_human_confirmation,,,confirmar visualmente na R42L antes de aplicar na R42F,images/raw/yale_iiif_r32/f1r_1006076.jpg,fine_line_capture_not_ocr_or_evidence
R42M-008,R42L-008,R42K-008,R42F-013,R42B-006,R32-002,f1r,"f1r.24,+P0",cho.?o.kaiin.shoaiin.okol.daiin.far.cthol.daiin.ctholdar,revisar_depois,64,2,"25.70,5.01,32.83,8.20","26.22,5.01,32.16,8.20","25.82,5.01,32.56,8.20","25.82,7.50 32.56,7.50",2,5.47,media,fine_capture_ready_needs_human_confirmation,,,confirmar visualmente na R42L antes de aplicar na R42F,images/raw/yale_iiif_r32/f1r_1006076.jpg,fine_line_capture_not_ocr_or_evidence
R42M-009,R42L-009,R42K-009,R42F-003,R42B-003,R32-001,f99v,"f99v.12,+P0","qokeo.qokeol.chockhy.otol.daiin.oty<->oto{ck}ey.da.chor,aiin",revisao_dificil,50,11,"22.23,71.36,34.10,75.08","22.23,71.36,33.58,75.08","22.23,71.36,33.98,75.08","22.23,74.26 33.98,74.26",2,1.01,media,fine_capture_ready_needs_human_confirmation,,,confirmar visualmente na R42L antes de aplicar na R42F,images/raw/yale_iiif_r32/f99v_1006247.jpg,fine_line_capture_not_ocr_or_evidence
R42M-010,R42L-010,R42K-010,R42F-004,R42B-003,R32-001,f99v,"f99v.13,+P0",okoraiin.okol.shocthy<->qokor.oloiram<$>,revisao_dificil,50,11,"22.23,71.36,34.10,75.08","22.23,71.36,33.58,75.08","22.23,71.36,33.98,75.08","22.23,74.26 33.98,74.26",2,1.01,media,fine_capture_ready_needs_human_confirmation,,,confirmar visualmente na R42L antes de aplicar na R42F,images/raw/yale_iiif_r32/f99v_1006247.jpg,fine_line_capture_not_ocr_or_evidence
R42M-011,R42L-011,R42K-011,R42F-005,R42B-003,R32-001,f99v,"f99v.21,@P0","doror.okeeody.opar.okor.eosaiin.otoraiin.shey.ols,aiiin.qoetal",revisao_dificil,50,11,"22.23,71.36,34.10,75.08","22.23,71.36,33.58,75.08","22.23,71.36,33.98,75.08","22.23,74.26 33.98,74.26",2,1.01,media,fine_capture_ready_needs_human_confirmation,,,confirmar visualmente na R42L antes de aplicar na R42F,images/raw/yale_iiif_r32/f99v_1006247.jpg,fine_line_capture_not_ocr_or_evidence
R42M-012,R42L-012,R42K-012,R42F-006,R42B-003,R32-001,f99v,"f99v.24,+P0","shokeeey.cholshey.okol.qokey.okeodal,oldy<$>",revisao_dificil,50,11,"22.23,71.36,34.10,75.08","22.23,71.36,33.58,75.08","22.23,71.36,33.98,75.08","22.23,74.26 33.98,74.26",2,1.01,media,fine_capture_ready_needs_human_confirmation,,,confirmar visualmente na R42L antes de aplicar na R42F,images/raw/yale_iiif_r32/f99v_1006247.jpg,fine_line_capture_not_ocr_or_evidence
R42M-013,R42L-013,R42K-013,R42F-007,R42B-003,R32-001,f99v,"f99v.33,+P0",dol.okeeol.okeor.okal.okaiin.ckheol.okolaiin.okolaiin.cheoldy,revisao_dificil,50,11,"22.23,71.36,34.10,75.08","22.23,71.36,33.58,75.08","22.23,71.36,33.98,75.08","22.23,74.26 33.98,74.26",2,1.01,media,fine_capture_ready_needs_human_confirmation,,,confirmar visualmente na R42L antes de aplicar na R42F,images/raw/yale_iiif_r32/f99v_1006247.jpg,fine_line_capture_not_ocr_or_evidence
