route42e_id,image_id,folio_labels,local_image_path,visual_line_number,band_box_pct,baseline_points,center_y_pct,confidence,target_loci_on_image,source_candidate_count,line_map_status,semantic_guardrail
R42E-001,R42EIMG-001,f84r,images/raw/yale_iiif_r32/f84r_1006226.jpg,1,"13.33,4.80,31.80,7.06","13.33,7.06 31.80,7.06",5.93,0.41,"f84r.24,+P0|f84r.29,+P0",23,opencv_visual_line_detected,opencv_visual_line_map_not_word_evidence
R42E-002,R42EIMG-001,f84r,images/raw/yale_iiif_r32/f84r_1006226.jpg,2,"21.67,6.67,35.40,9.17","21.67,9.17 35.40,9.17",7.92,0.41,"f84r.24,+P0|f84r.29,+P0",23,opencv_visual_line_detected,opencv_visual_line_map_not_word_evidence
R42E-003,R42EIMG-001,f84r,images/raw/yale_iiif_r32/f84r_1006226.jpg,3,"9.60,24.66,83.00,27.89","9.60,27.89 83.00,27.89",26.27,0.41,"f84r.24,+P0|f84r.29,+P0",23,opencv_visual_line_detected,opencv_visual_line_map_not_word_evidence
R42E-004,R42EIMG-001,f84r,images/raw/yale_iiif_r32/f84r_1006226.jpg,4,"60.53,27.16,84.53,28.24","60.53,28.24 84.53,28.24",27.70,0.44,"f84r.24,+P0|f84r.29,+P0",23,opencv_visual_line_detected,opencv_visual_line_map_not_word_evidence
R42E-005,R42EIMG-001,f84r,images/raw/yale_iiif_r32/f84r_1006226.jpg,5,"10.27,28.87,84.60,32.21","10.27,32.21 84.60,32.21",30.54,0.41,"f84r.24,+P0|f84r.29,+P0",23,opencv_visual_line_detected,opencv_visual_line_map_not_word_evidence
R42E-006,R42EIMG-001,f84r,images/raw/yale_iiif_r32/f84r_1006226.jpg,6,"17.00,31.67,80.07,34.46","17.00,34.46 80.07,34.46",33.06,0.41,"f84r.24,+P0|f84r.29,+P0",23,opencv_visual_line_detected,opencv_visual_line_map_not_word_evidence
R42E-007,R42EIMG-001,f84r,images/raw/yale_iiif_r32/f84r_1006226.jpg,7,"9.73,34.17,85.27,38.92","9.73,38.92 85.27,38.92",36.54,0.41,"f84r.24,+P0|f84r.29,+P0",23,opencv_visual_line_detected,opencv_visual_line_map_not_word_evidence
R42E-008,R42EIMG-001,f84r,images/raw/yale_iiif_r32/f84r_1006226.jpg,8,"16.53,37.40,46.40,38.87","16.53,38.87 46.40,38.87",38.14,0.41,"f84r.24,+P0|f84r.29,+P0",23,opencv_visual_line_detected,opencv_visual_line_map_not_word_evidence
R42E-009,R42EIMG-001,f84r,images/raw/yale_iiif_r32/f84r_1006226.jpg,9,"47.00,38.63,83.93,41.91","47.00,41.91 83.93,41.91",40.27,0.40,"f84r.24,+P0|f84r.29,+P0",23,opencv_visual_line_detected,opencv_visual_line_map_not_word_evidence
R42E-010,R42EIMG-001,f84r,images/raw/yale_iiif_r32/f84r_1006226.jpg,10,"17.13,42.11,38.47,43.24","17.13,43.24 38.47,43.24",42.67,0.42,"f84r.24,+P0|f84r.29,+P0",23,opencv_visual_line_detected,opencv_visual_line_map_not_word_evidence
