metric,item,n
suggestion_status,opencv_candidates_detected_needs_manual_zone,13
suggestion_status,no_text_band_detected,4
suggestion_status,opencv_suggested_needs_human_confirmation,2
folio,f99v,5
folio,f1r,2
folio,f67r2,2
folio,f67v1,2
folio,f84r,2
folio,f88v,2
folio,f89r2,2
folio,f99r,2
opencv_auto_action,needs_manual_zone,13
opencv_auto_action,needs_better_scan_or_manual_line,4
opencv_auto_action,prefill_pending_baseline,2
automation_confidence_band,sem_mapeamento,13
automation_confidence_band,sem_texto,4
automation_confidence_band,media,2
semantic_guardrail,opencv_initial_line_suggestion_not_visual_evidence,19
