route42d_id,route42c_id,route42b_id,route32_id,folio,target_locus,line_number,local_image_path,suggestion_status,suggested_visual_line_number,suggested_baseline_points,suggested_band_box_pct,suggestion_confidence,candidate_count,opencv_auto_action,automation_confidence_band,human_next_step,calibration_status_to_apply,algorithm_notes,semantic_guardrail
R42D-001,R42C-001,R42B-001,R32-005,f84r,"f84r.24,+P0",24,images/raw/yale_iiif_r32/f84r_1006226.jpg,opencv_suggested_needs_human_confirmation,6,"17.00,34.46 80.07,34.46","17.00,31.67,80.07,34.46",0.41,23,prefill_pending_baseline,media,conferir se a linha acompanha o texto e marcar calibrada se estiver certa,pending_calibration,OpenCV pode pre-preencher a baseline como rascunho dentro da zona manual; confirmar na R42C antes de aceitar.,opencv_initial_line_suggestion_not_visual_evidence
R42D-002,R42C-002,R42B-001,R32-005,f84r,"f84r.29,+P0",29,images/raw/yale_iiif_r32/f84r_1006226.jpg,opencv_suggested_needs_human_confirmation,14,"14.60,62.84 43.00,62.84","14.60,60.39,43.00,62.84",0.45,23,prefill_pending_baseline,media,conferir se a linha acompanha o texto e marcar calibrada se estiver certa,pending_calibration,OpenCV pode pre-preencher a baseline como rascunho dentro da zona manual; confirmar na R42C antes de aceitar.,opencv_initial_line_suggestion_not_visual_evidence
R42D-003,R42C-003,R42B-002,R32-008,f99r,"f99r.2,@Lf",2,images/raw/yale_iiif_r32/f99r_1006246.jpg,opencv_candidates_detected_needs_manual_zone,,,,,6,needs_manual_zone,sem_mapeamento,desenhar uma zona simples para o alvo antes de pedir baseline,pending_calibration,"OpenCV encontrou faixas na imagem, mas o alvo ainda nao tem zona manual de bloco.",opencv_initial_line_suggestion_not_visual_evidence
R42D-004,R42C-004,R42B-002,R32-008,f99r,"f99r.8,@Lf",8,images/raw/yale_iiif_r32/f99r_1006246.jpg,opencv_candidates_detected_needs_manual_zone,,,,,6,needs_manual_zone,sem_mapeamento,desenhar uma zona simples para o alvo antes de pedir baseline,pending_calibration,"OpenCV encontrou faixas na imagem, mas o alvo ainda nao tem zona manual de bloco.",opencv_initial_line_suggestion_not_visual_evidence
R42D-005,R42C-005,R42B-003,R32-001,f99v,"f99v.12,+P0",12,images/raw/yale_iiif_r32/f99v_1006247.jpg,opencv_candidates_detected_needs_manual_zone,,,,,15,needs_manual_zone,sem_mapeamento,desenhar uma zona simples para o alvo antes de pedir baseline,pending_calibration,"OpenCV encontrou faixas na imagem, mas o alvo ainda nao tem zona manual de bloco.",opencv_initial_line_suggestion_not_visual_evidence
R42D-006,R42C-006,R42B-003,R32-001,f99v,"f99v.13,+P0",13,images/raw/yale_iiif_r32/f99v_1006247.jpg,opencv_candidates_detected_needs_manual_zone,,,,,15,needs_manual_zone,sem_mapeamento,desenhar uma zona simples para o alvo antes de pedir baseline,pending_calibration,"OpenCV encontrou faixas na imagem, mas o alvo ainda nao tem zona manual de bloco.",opencv_initial_line_suggestion_not_visual_evidence
R42D-007,R42C-007,R42B-003,R32-001,f99v,"f99v.21,@P0",21,images/raw/yale_iiif_r32/f99v_1006247.jpg,opencv_candidates_detected_needs_manual_zone,,,,,15,needs_manual_zone,sem_mapeamento,desenhar uma zona simples para o alvo antes de pedir baseline,pending_calibration,"OpenCV encontrou faixas na imagem, mas o alvo ainda nao tem zona manual de bloco.",opencv_initial_line_suggestion_not_visual_evidence
R42D-008,R42C-008,R42B-003,R32-001,f99v,"f99v.24,+P0",24,images/raw/yale_iiif_r32/f99v_1006247.jpg,opencv_candidates_detected_needs_manual_zone,,,,,15,needs_manual_zone,sem_mapeamento,desenhar uma zona simples para o alvo antes de pedir baseline,pending_calibration,"OpenCV encontrou faixas na imagem, mas o alvo ainda nao tem zona manual de bloco.",opencv_initial_line_suggestion_not_visual_evidence
R42D-009,R42C-009,R42B-003,R32-001,f99v,"f99v.33,+P0",33,images/raw/yale_iiif_r32/f99v_1006247.jpg,opencv_candidates_detected_needs_manual_zone,,,,,15,needs_manual_zone,sem_mapeamento,desenhar uma zona simples para o alvo antes de pedir baseline,pending_calibration,"OpenCV encontrou faixas na imagem, mas o alvo ainda nao tem zona manual de bloco.",opencv_initial_line_suggestion_not_visual_evidence
R42D-010,R42C-010,R42B-004,R32-003,f67r2,"f67r2.35,@Pb",35,images/raw/yale_iiif_r32/f67r2_1006194.jpg,opencv_candidates_detected_needs_manual_zone,,,,,3,needs_manual_zone,sem_mapeamento,desenhar uma zona simples para o alvo antes de pedir baseline,pending_calibration,"OpenCV encontrou faixas na imagem, mas o alvo ainda nao tem zona manual de bloco.",opencv_initial_line_suggestion_not_visual_evidence
