route42k_id,route42f_id,route42b_id,route32_id,folio,target_locus,transcription_text,priority_level,image_quality_assist,target_region_locatable_assist,candidate_count,candidate_visual_lines,fragment_candidate_count,best_visual_line_number,best_line_fragment_count,best_line_avg_confidence,review_priority_score,review_bucket,human_next_step,local_image_path,best_line_zone_box_pct,top_fragment_ids,top_fragment_crop_boxes,semantic_guardrail
R42K-001,R42F-008,R42B-004,R32-003,f67r2,"f67r2.35,@Pb",chol.[g:d]iin.okol,P1,high,partial,3,1|2|3,16,2,4,0.75,71,revisar_primeiro,"abrir R42K, comparar os recortes sugeridos e escolher a linha correspondente na R42F",images/raw/yale_iiif_r32/f67r2_1006194.jpg,"67.90,9.71,83.97,14.33",R42J-063|R42J-062|R42J-060|R42J-058,"77.34,8.46,82.60,14.98|71.97,8.46,76.48,14.82|69.96,8.46,72.82,14.15|67.91,8.70,70.69,14.55",visual_review_priority_not_evidence_or_ocr
R42K-002,R42F-009,R42B-004,R32-003,f67r2,"f67r2.73,+P0","sshey.sy,shees.qeykeey.ykchey.ykchey.qokeochy.oaiin.okol.ar.olar",P1,high,partial,3,1|2|3,16,2,4,0.75,71,revisar_primeiro,"abrir R42K, comparar os recortes sugeridos e escolher a linha correspondente na R42F",images/raw/yale_iiif_r32/f67r2_1006194.jpg,"67.90,9.71,83.97,14.33",R42J-063|R42J-062|R42J-060|R42J-058,"77.34,8.46,82.60,14.98|71.97,8.46,76.48,14.82|69.96,8.46,72.82,14.15|67.91,8.70,70.69,14.55",visual_review_priority_not_evidence_or_ocr
R42K-003,R42F-010,R42B-005,R32-004,f67v1,"f67v1.3,&L0",okal.ary,P1,high,partial,1,1,1,1,1,0.49,70,revisar_primeiro,"abrir R42K, comparar os recortes sugeridos e escolher a linha correspondente na R42F",images/raw/yale_iiif_r32/f67v1_1006195.jpg,"69.43,34.68,76.83,38.88",R42J-074,"68.92,35.22,71.17,38.90",visual_review_priority_not_evidence_or_ocr
R42K-004,R42F-011,R42B-005,R32-004,f67v1,"f67v1.5,&L0",okol.aldy,P1,high,partial,1,1,1,1,1,0.49,70,revisar_primeiro,"abrir R42K, comparar os recortes sugeridos e escolher a linha correspondente na R42F",images/raw/yale_iiif_r32/f67v1_1006195.jpg,"69.43,34.68,76.83,38.88",R42J-074,"68.92,35.22,71.17,38.90",visual_review_priority_not_evidence_or_ocr
R42K-005,R42F-001,R42B-002,R32-008,f99r,"f99r.2,@Lf","okar,y",P1,high,yes_region,6,1|2|3|4|5|6,7,4,3,0.80,66,revisar_depois,usar os fragmentos como lupa e confirmar a linha na R42F,images/raw/yale_iiif_r32/f99r_1006246.jpg,"51.70,81.43,65.37,84.69",R42J-046|R42J-045|R42J-047,"59.77,80.15,65.21,85.93|51.18,80.15,55.74,85.93|63.47,81.51,65.84,85.93",visual_review_priority_not_evidence_or_ocr
R42K-006,R42F-002,R42B-002,R32-008,f99r,"f99r.8,@Lf",okor,P1,high,yes_region,6,1|2|3|4|5|6,7,4,3,0.80,66,revisar_depois,usar os fragmentos como lupa e confirmar a linha na R42F,images/raw/yale_iiif_r32/f99r_1006246.jpg,"51.70,81.43,65.37,84.69",R42J-046|R42J-045|R42J-047,"59.77,80.15,65.21,85.93|51.18,80.15,55.74,85.93|63.47,81.51,65.84,85.93",visual_review_priority_not_evidence_or_ocr
R42K-007,R42F-012,R42B-006,R32-002,f1r,"f1r.21,=Pt",otol.daiiin<$>,P1,medium_faint,partial,4,1|2|3|4,3,2,2,0.59,64,revisar_depois,usar os fragmentos como lupa e confirmar a linha na R42F,images/raw/yale_iiif_r32/f1r_1006076.jpg,"25.70,5.01,32.83,8.20",R42J-076|R42J-075,"27.87,5.09,32.16,8.21|26.22,4.88,29.60,7.89",visual_review_priority_not_evidence_or_ocr
R42K-008,R42F-013,R42B-006,R32-002,f1r,"f1r.24,+P0",cho.?o.kaiin.shoaiin.okol.daiin.far.cthol.daiin.ctholdar,P1,medium_faint,partial,4,1|2|3|4,3,2,2,0.59,64,revisar_depois,usar os fragmentos como lupa e confirmar a linha na R42F,images/raw/yale_iiif_r32/f1r_1006076.jpg,"25.70,5.01,32.83,8.20",R42J-076|R42J-075,"27.87,5.09,32.16,8.21|26.22,4.88,29.60,7.89",visual_review_priority_not_evidence_or_ocr
R42K-009,R42F-003,R42B-003,R32-001,f99v,"f99v.12,+P0","qokeo.qokeol.chockhy.otol.daiin.oty<->oto{ck}ey.da.chor,aiin",P0,high,partial,15,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15,8,11,2,0.62,50,revisao_dificil,reduzir pela visao geral na R42F antes de confiar nos fragmentos,images/raw/yale_iiif_r32/f99v_1006247.jpg,"22.23,71.36,34.10,75.08",R42J-053|R42J-054,"21.70,70.10,28.59,76.31|27.59,71.51,33.58,75.10",visual_review_priority_not_evidence_or_ocr
R42K-010,R42F-004,R42B-003,R32-001,f99v,"f99v.13,+P0",okoraiin.okol.shocthy<->qokor.oloiram<$>,P0,high,partial,15,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15,8,11,2,0.62,50,revisao_dificil,reduzir pela visao geral na R42F antes de confiar nos fragmentos,images/raw/yale_iiif_r32/f99v_1006247.jpg,"22.23,71.36,34.10,75.08",R42J-053|R42J-054,"21.70,70.10,28.59,76.31|27.59,71.51,33.58,75.10",visual_review_priority_not_evidence_or_ocr
