route42j_id,route42e_id,image_id,folio_labels,local_image_path,visual_line_number,visual_word_number,word_box_pct,crop_box_pct,center_x_pct,center_y_pct,confidence,source_line_box_pct,target_loci_on_image,word_map_status,semantic_guardrail
R42J-001,R42E-001,R42EIMG-001,f84r,images/raw/yale_iiif_r32/f84r_1006226.jpg,1,1,"20.23,7.50,20.92,8.30","19.23,6.30,21.92,9.50",20.58,7.90,0.44,"13.33,4.80,31.80,7.06","f84r.24,+P0|f84r.29,+P0",opencv_visual_fragment_detected,opencv_visual_fragment_map_not_ocr_or_word_evidence
R42J-002,R42E-002,R42EIMG-001,f84r,images/raw/yale_iiif_r32/f84r_1006226.jpg,2,1,"20.92,7.80,21.29,9.03","19.92,6.60,22.29,10.23",21.10,8.41,0.49,"21.67,6.67,35.40,9.17","f84r.24,+P0|f84r.29,+P0",opencv_visual_fragment_detected,opencv_visual_fragment_map_not_ocr_or_word_evidence
R42J-003,R42E-002,R42EIMG-001,f84r,images/raw/yale_iiif_r32/f84r_1006226.jpg,2,2,"27.64,8.92,30.22,9.91","26.64,7.72,31.22,11.11",28.93,9.41,0.59,"21.67,6.67,35.40,9.17","f84r.24,+P0|f84r.29,+P0",opencv_visual_fragment_detected,opencv_visual_fragment_map_not_ocr_or_word_evidence
R42J-004,R42E-003,R42EIMG-001,f84r,images/raw/yale_iiif_r32/f84r_1006226.jpg,3,1,"9.34,23.39,83.55,29.13","8.34,22.19,84.55,30.33",46.44,26.26,0.77,"9.60,24.66,83.00,27.89","f84r.24,+P0|f84r.29,+P0",opencv_visual_fragment_detected,opencv_visual_fragment_map_not_ocr_or_word_evidence
R42J-005,R42E-004,R42EIMG-001,f84r,images/raw/yale_iiif_r32/f84r_1006226.jpg,4,1,"59.50,25.90,63.17,29.48","58.50,24.70,64.17,30.68",61.33,27.69,0.92,"60.53,27.16,84.53,28.24","f84r.24,+P0|f84r.29,+P0",opencv_visual_fragment_detected,opencv_visual_fragment_map_not_ocr_or_word_evidence
R42J-006,R42E-004,R42EIMG-001,f84r,images/raw/yale_iiif_r32/f84r_1006226.jpg,4,2,"63.64,25.90,72.50,29.48","62.64,24.70,73.50,30.68",68.07,27.69,0.96,"60.53,27.16,84.53,28.24","f84r.24,+P0|f84r.29,+P0",opencv_visual_fragment_detected,opencv_visual_fragment_map_not_ocr_or_word_evidence
R42J-007,R42E-004,R42EIMG-001,f84r,images/raw/yale_iiif_r32/f84r_1006226.jpg,4,3,"72.87,26.09,75.48,28.01","71.87,24.89,76.48,29.21",74.17,27.05,0.79,"60.53,27.16,84.53,28.24","f84r.24,+P0|f84r.29,+P0",opencv_visual_fragment_detected,opencv_visual_fragment_map_not_ocr_or_word_evidence
R42J-008,R42E-004,R42EIMG-001,f84r,images/raw/yale_iiif_r32/f84r_1006226.jpg,4,4,"75.84,25.90,81.98,29.48","74.84,24.70,82.98,30.68",78.91,27.69,0.96,"60.53,27.16,84.53,28.24","f84r.24,+P0|f84r.29,+P0",opencv_visual_fragment_detected,opencv_visual_fragment_map_not_ocr_or_word_evidence
R42J-009,R42E-004,R42EIMG-001,f84r,images/raw/yale_iiif_r32/f84r_1006226.jpg,4,5,"82.38,25.90,84.42,29.48","81.38,24.70,85.42,30.68",83.40,27.69,0.81,"60.53,27.16,84.53,28.24","f84r.24,+P0|f84r.29,+P0",opencv_visual_fragment_detected,opencv_visual_fragment_map_not_ocr_or_word_evidence
R42J-010,R42E-005,R42EIMG-001,f84r,images/raw/yale_iiif_r32/f84r_1006226.jpg,5,1,"9.55,27.61,80.71,33.46","8.55,26.41,81.71,34.66",45.13,30.53,0.80,"10.27,28.87,84.60,32.21","f84r.24,+P0|f84r.29,+P0",opencv_visual_fragment_detected,opencv_visual_fragment_map_not_ocr_or_word_evidence
R42J-011,R42E-005,R42EIMG-001,f84r,images/raw/yale_iiif_r32/f84r_1006226.jpg,5,2,"81.58,29.21,84.53,31.88","80.58,28.01,85.53,33.08",83.05,30.55,0.76,"10.27,28.87,84.60,32.21","f84r.24,+P0|f84r.29,+P0",opencv_visual_fragment_detected,opencv_visual_fragment_map_not_ocr_or_word_evidence
R42J-012,R42E-006,R42EIMG-001,f84r,images/raw/yale_iiif_r32/f84r_1006226.jpg,6,1,"15.98,30.41,69.74,35.70","14.98,29.21,70.74,36.90",42.86,33.06,0.73,"17.00,31.67,80.07,34.46","f84r.24,+P0|f84r.29,+P0",opencv_visual_fragment_detected,opencv_visual_fragment_map_not_ocr_or_word_evidence
R42J-013,R42E-006,R42EIMG-001,f84r,images/raw/yale_iiif_r32/f84r_1006226.jpg,6,2,"71.34,30.41,81.04,35.70","70.34,29.21,82.04,36.90",76.19,33.06,0.64,"17.00,31.67,80.07,34.46","f84r.24,+P0|f84r.29,+P0",opencv_visual_fragment_detected,opencv_visual_fragment_map_not_ocr_or_word_evidence
R42J-014,R42E-007,R42EIMG-001,f84r,images/raw/yale_iiif_r32/f84r_1006226.jpg,7,1,"9.55,32.90,85.54,40.16","8.55,31.70,86.54,41.36",47.55,36.53,0.77,"9.73,34.17,85.27,38.92","f84r.24,+P0|f84r.29,+P0",opencv_visual_fragment_detected,opencv_visual_fragment_map_not_ocr_or_word_evidence
R42J-015,R42E-008,R42EIMG-001,f84r,images/raw/yale_iiif_r32/f84r_1006226.jpg,8,1,"15.51,36.13,47.37,40.11","14.51,34.93,48.37,41.31",31.44,38.12,0.59,"16.53,37.40,46.40,38.87","f84r.24,+P0|f84r.29,+P0",opencv_visual_fragment_detected,opencv_visual_fragment_map_not_ocr_or_word_evidence
R42J-016,R42E-009,R42EIMG-001,f84r,images/raw/yale_iiif_r32/f84r_1006226.jpg,9,1,"45.99,37.36,84.56,43.15","44.99,36.16,85.56,44.35",65.27,40.25,0.64,"47.00,38.63,83.93,41.91","f84r.24,+P0|f84r.29,+P0",opencv_visual_fragment_detected,opencv_visual_fragment_map_not_ocr_or_word_evidence
R42J-017,R42E-010,R42EIMG-001,f84r,images/raw/yale_iiif_r32/f84r_1006226.jpg,10,1,"17.00,40.85,29.20,43.68","16.00,39.65,30.20,44.88",23.10,42.27,0.96,"17.13,42.11,38.47,43.24","f84r.24,+P0|f84r.29,+P0",opencv_visual_fragment_detected,opencv_visual_fragment_map_not_ocr_or_word_evidence
R42J-018,R42E-010,R42EIMG-001,f84r,images/raw/yale_iiif_r32/f84r_1006226.jpg,10,2,"29.60,40.85,39.45,43.60","28.60,39.65,40.45,44.80",34.53,42.23,0.96,"17.13,42.11,38.47,43.24","f84r.24,+P0|f84r.29,+P0",opencv_visual_fragment_detected,opencv_visual_fragment_map_not_ocr_or_word_evidence
R42J-019,R42E-011,R42EIMG-001,f84r,images/raw/yale_iiif_r32/f84r_1006226.jpg,11,1,"36.80,44.54,41.63,47.26","35.80,43.34,42.63,48.46",39.21,45.90,0.65,"37.80,45.29,58.00,46.03","f84r.24,+P0|f84r.29,+P0",opencv_visual_fragment_detected,opencv_visual_fragment_map_not_ocr_or_word_evidence
R42J-020,R42E-011,R42EIMG-001,f84r,images/raw/yale_iiif_r32/f84r_1006226.jpg,11,2,"53.25,44.03,53.94,44.57","52.25,42.83,54.94,45.77",53.60,44.30,0.44,"37.80,45.29,58.00,46.03","f84r.24,+P0|f84r.29,+P0",opencv_visual_fragment_detected,opencv_visual_fragment_map_not_ocr_or_word_evidence
R42J-021,R42E-012,R42EIMG-001,f84r,images/raw/yale_iiif_r32/f84r_1006226.jpg,12,1,"30.26,56.10,31.71,57.28","29.26,54.90,32.71,58.48",30.98,56.69,0.55,"31.27,53.92,60.27,56.03","f84r.24,+P0|f84r.29,+P0",opencv_visual_fragment_detected,opencv_visual_fragment_map_not_ocr_or_word_evidence
R42J-022,R42E-012,R42EIMG-001,f84r,images/raw/yale_iiif_r32/f84r_1006226.jpg,12,2,"32.73,55.49,37.52,57.28","31.73,54.29,38.52,58.48",35.13,56.38,0.54,"31.27,53.92,60.27,56.03","f84r.24,+P0|f84r.29,+P0",opencv_visual_fragment_detected,opencv_visual_fragment_map_not_ocr_or_word_evidence
R42J-023,R42E-012,R42EIMG-001,f84r,images/raw/yale_iiif_r32/f84r_1006226.jpg,12,3,"38.69,54.61,45.04,57.28","37.69,53.41,46.04,58.48",41.86,55.94,0.59,"31.27,53.92,60.27,56.03","f84r.24,+P0|f84r.29,+P0",opencv_visual_fragment_detected,opencv_visual_fragment_map_not_ocr_or_word_evidence
R42J-024,R42E-012,R42EIMG-001,f84r,images/raw/yale_iiif_r32/f84r_1006226.jpg,12,4,"55.87,54.85,61.24,57.28","54.87,53.65,62.24,58.48",58.55,56.06,0.60,"31.27,53.92,60.27,56.03","f84r.24,+P0|f84r.29,+P0",opencv_visual_fragment_detected,opencv_visual_fragment_map_not_ocr_or_word_evidence
R42J-025,R42E-013,R42EIMG-001,f84r,images/raw/yale_iiif_r32/f84r_1006226.jpg,13,1,"57.65,55.41,81.37,59.87","56.65,54.21,82.37,61.07",69.51,57.64,0.59,"58.67,56.67,80.40,58.63","f84r.24,+P0|f84r.29,+P0",opencv_visual_fragment_detected,opencv_visual_fragment_map_not_ocr_or_word_evidence
R42J-026,R42E-014,R42EIMG-001,f84r,images/raw/yale_iiif_r32/f84r_1006226.jpg,14,1,"13.59,59.12,31.31,64.09","12.59,57.92,32.31,65.29",22.45,61.60,0.58,"14.60,60.39,43.00,62.84","f84r.24,+P0|f84r.29,+P0",opencv_visual_fragment_detected,opencv_visual_fragment_map_not_ocr_or_word_evidence
R42J-027,R42E-014,R42EIMG-001,f84r,images/raw/yale_iiif_r32/f84r_1006226.jpg,14,2,"32.22,59.12,43.33,64.09","31.22,57.92,44.33,65.29",37.78,61.60,0.58,"14.60,60.39,43.00,62.84","f84r.24,+P0|f84r.29,+P0",opencv_visual_fragment_detected,opencv_visual_fragment_map_not_ocr_or_word_evidence
R42J-028,R42E-015,R42EIMG-001,f84r,images/raw/yale_iiif_r32/f84r_1006226.jpg,15,1,"10.24,61.17,77.59,67.16","9.24,59.97,78.59,68.36",43.92,64.17,0.71,"10.27,62.45,76.60,65.93","f84r.24,+P0|f84r.29,+P0",opencv_visual_fragment_detected,opencv_visual_fragment_map_not_ocr_or_word_evidence
R42J-029,R42E-016,R42EIMG-001,f84r,images/raw/yale_iiif_r32/f84r_1006226.jpg,16,1,"35.13,66.09,41.81,69.24","34.13,64.89,42.81,70.44",38.47,67.66,0.49,"36.13,67.35,41.47,67.99","f84r.24,+P0|f84r.29,+P0",opencv_visual_fragment_detected,opencv_visual_fragment_map_not_ocr_or_word_evidence
R42J-030,R42E-017,R42EIMG-001,f84r,images/raw/yale_iiif_r32/f84r_1006226.jpg,17,1,"34.04,69.75,34.29,70.71","33.04,68.55,35.29,71.91",34.16,70.23,0.52,"35.07,69.22,80.40,72.30","f84r.24,+P0|f84r.29,+P0",opencv_visual_fragment_detected,opencv_visual_fragment_map_not_ocr_or_word_evidence
R42J-031,R42E-017,R42EIMG-001,f84r,images/raw/yale_iiif_r32/f84r_1006226.jpg,17,2,"35.16,69.08,38.72,72.87","34.16,67.88,39.72,74.07",36.94,70.97,0.92,"35.07,69.22,80.40,72.30","f84r.24,+P0|f84r.29,+P0",opencv_visual_fragment_detected,opencv_visual_fragment_map_not_ocr_or_word_evidence
