priority_score,folio,locus,locus_kind,prefix_family,distinct_suffixes,suffixes_present,axis_coverage,total_candidates,ar,al,or,ol,tokens,target_status_counts,line_positions,visual_contexts,annotated_tokens,visual_zones,object_nearby,annotation_confidence
79,fRos,"fRos.20,@Cc",C,standalone,4,al ar ol or,ao+rl,10,3,2,2,3,al ar ol or,standalone:10,middle,circular text,0,,,
70,fRos,"fRos.122,@Cc",C,standalone,4,al ar ol or,ao+rl,7,3,1,1,2,al ar ol or,standalone:7,middle,circular text,0,,,
67,fRos,"fRos.94,@Cc",C,standalone,4,al ar ol or,ao+rl,6,1,1,2,2,al ar ol or,standalone:6,middle,circular text,0,,,
64,fRos,"fRos.2,@Cc",C,standalone,4,al ar ol or,ao+rl,5,1,1,1,2,al ar ol or,standalone:5,middle,circular text,0,,,
59,f67r1,"f67r1.6,+Cc",C,d,3,al ar ol,ao+rl,3,1,1,0,1,dal dar dol,broad:1; exact:2,middle,circular text,2,circular text,central face with red/blue rays and surrounding stars,medium
56,f34r,"f34r.14,+P0",P,standalone,4,al ar ol or,ao+rl,4,1,1,1,1,al ar ol or,standalone:4,middle start,paragraph/text line,0,,,
56,f55r,"f55r.2,+P0",P,standalone,4,al ar ol or,ao+rl,4,1,1,1,1,al ar ol or,standalone:4,end middle,paragraph/text line,0,,,
56,f67r1,"f67r1.5,@Cc",C,standalone,2,ar ol,ao+rl,3,2,0,0,1,ar ol,standalone:3,middle,circular text,3,circular text,central face with red/blue rays and surrounding stars,medium
56,f84r,"f84r.14,+P0",P,standalone,2,ol or,rl,4,0,0,3,1,ol or,standalone:4,middle,paragraph/text line,4,paragraph text,green pool with nymph figures and dense text,medium
55,f68v3,"f68v3.5,@Cc",C,d,3,al ar ol,ao+rl,5,3,1,0,1,dal dar dchol,broad:1; exact:4,middle,circular text,0,,,
52,f67r1,"f67r1.6,+Cc",C,standalone,2,al ar,rl,3,1,2,0,0,al ar,standalone:3,middle,circular text,3,circular text,central face with red/blue rays and surrounding stars,medium
51,f70r1,"f70r1.13,@Cc",C,standalone,3,al ar ol,ao+rl,4,2,1,0,1,al ar ol,standalone:4,middle,circular text,0,,,
51,f71r,"f71r.1,@Cc",C,standalone,3,al ar or,ao+rl,4,1,2,1,0,al ar or,standalone:4,middle,circular text,0,,,
51,f71v,"f71v.1,@Cc",C,standalone,3,al ar or,ao+rl,4,1,2,1,0,al ar or,standalone:4,middle,circular text,0,,,
51,fRos,"fRos.2,@Cc",C,ok,3,al ol or,ao+rl,4,0,1,2,1,okal okalol okor,broad:1; exact:3,middle,circular text,0,,,
