currier,suffix,n,semantic_guardrail
A,al,6,rota44_section_currier_distribution_not_decipherment
A,ar,2,rota44_section_currier_distribution_not_decipherment
A,ol,17,rota44_section_currier_distribution_not_decipherment
A,or,8,rota44_section_currier_distribution_not_decipherment
B,al,20,rota44_section_currier_distribution_not_decipherment
B,ar,27,rota44_section_currier_distribution_not_decipherment
B,ol,10,rota44_section_currier_distribution_not_decipherment
B,or,7,rota44_section_currier_distribution_not_decipherment
unknown,al,255,rota44_section_currier_distribution_not_decipherment
unknown,ar,251,rota44_section_currier_distribution_not_decipherment
unknown,ol,127,rota44_section_currier_distribution_not_decipherment
unknown,or,56,rota44_section_currier_distribution_not_decipherment
