section,form,n,semantic_guardrail
astronomical,okal,48,rota44_section_currier_distribution_not_decipherment
astronomical,okar,46,rota44_section_currier_distribution_not_decipherment
astronomical,okol,11,rota44_section_currier_distribution_not_decipherment
astronomical,okor,3,rota44_section_currier_distribution_not_decipherment
astronomical,otal,56,rota44_section_currier_distribution_not_decipherment
astronomical,otar,63,rota44_section_currier_distribution_not_decipherment
astronomical,otol,19,rota44_section_currier_distribution_not_decipherment
astronomical,otor,9,rota44_section_currier_distribution_not_decipherment
balneological,okal,13,rota44_section_currier_distribution_not_decipherment
balneological,okar,9,rota44_section_currier_distribution_not_decipherment
balneological,okol,5,rota44_section_currier_distribution_not_decipherment
balneological,okor,3,rota44_section_currier_distribution_not_decipherment
balneological,otal,13,rota44_section_currier_distribution_not_decipherment
balneological,otar,18,rota44_section_currier_distribution_not_decipherment
balneological,otol,6,rota44_section_currier_distribution_not_decipherment
balneological,otor,3,rota44_section_currier_distribution_not_decipherment
herbal,okal,44,rota44_section_currier_distribution_not_decipherment
herbal,okar,33,rota44_section_currier_distribution_not_decipherment
herbal,okol,21,rota44_section_currier_distribution_not_decipherment
herbal,okor,11,rota44_section_currier_distribution_not_decipherment
herbal,otal,19,rota44_section_currier_distribution_not_decipherment
herbal,otar,19,rota44_section_currier_distribution_not_decipherment
herbal,otol,23,rota44_section_currier_distribution_not_decipherment
herbal,otor,10,rota44_section_currier_distribution_not_decipherment
other,okal,41,rota44_section_currier_distribution_not_decipherment
other,okar,38,rota44_section_currier_distribution_not_decipherment
other,okol,27,rota44_section_currier_distribution_not_decipherment
other,okor,13,rota44_section_currier_distribution_not_decipherment
other,otal,35,rota44_section_currier_distribution_not_decipherment
other,otar,43,rota44_section_currier_distribution_not_decipherment
other,otol,29,rota44_section_currier_distribution_not_decipherment
other,otor,11,rota44_section_currier_distribution_not_decipherment
pharmaceutical,okal,6,rota44_section_currier_distribution_not_decipherment
pharmaceutical,okar,7,rota44_section_currier_distribution_not_decipherment
pharmaceutical,okol,11,rota44_section_currier_distribution_not_decipherment
pharmaceutical,okor,4,rota44_section_currier_distribution_not_decipherment
pharmaceutical,otal,6,rota44_section_currier_distribution_not_decipherment
pharmaceutical,otar,4,rota44_section_currier_distribution_not_decipherment
pharmaceutical,otol,2,rota44_section_currier_distribution_not_decipherment
pharmaceutical,otor,4,rota44_section_currier_distribution_not_decipherment
