locus_kind,suffix,n,semantic_guardrail
C,al,18,rota44_section_currier_distribution_not_decipherment
C,ar,25,rota44_section_currier_distribution_not_decipherment
C,ol,18,rota44_section_currier_distribution_not_decipherment
C,or,8,rota44_section_currier_distribution_not_decipherment
L,al,14,rota44_section_currier_distribution_not_decipherment
L,ar,13,rota44_section_currier_distribution_not_decipherment
L,ol,12,rota44_section_currier_distribution_not_decipherment
L,or,6,rota44_section_currier_distribution_not_decipherment
P,al,248,rota44_section_currier_distribution_not_decipherment
P,ar,237,rota44_section_currier_distribution_not_decipherment
P,ol,122,rota44_section_currier_distribution_not_decipherment
P,or,57,rota44_section_currier_distribution_not_decipherment
R,al,1,rota44_section_currier_distribution_not_decipherment
R,ar,5,rota44_section_currier_distribution_not_decipherment
R,ol,2,rota44_section_currier_distribution_not_decipherment
