word,section,is_diagnostic,freq,label_frac,para_frac,folio_entropy_norm,top_folio_share,semantic_guardrail
shedy,balneological,1,432,0.0023,0.9769,0.9128,0.0648,rota57_word_grounding_not_decipherment
qokain,balneological,1,278,0.0,1.0,0.8843,0.0935,rota57_word_grounding_not_decipherment
qokedy,balneological,1,268,0.0,1.0,0.9019,0.0634,rota57_word_grounding_not_decipherment
oteey,astronomical,1,138,0.0217,0.7464,0.9575,0.0507,rota57_word_grounding_not_decipherment
qol,balneological,1,138,0.0,1.0,0.9213,0.087,rota57_word_grounding_not_decipherment
sheol,pharmaceutical,1,109,0.0183,0.9633,0.9584,0.0459,rota57_word_grounding_not_decipherment
qokol,pharmaceutical,1,97,0.0,0.9794,0.9645,0.0515,rota57_word_grounding_not_decipherment
cthy,herbal,1,96,0.0,1.0,0.9642,0.0417,rota57_word_grounding_not_decipherment
air,astronomical,1,83,0.0602,0.7711,0.9672,0.0482,rota57_word_grounding_not_decipherment
okol,pharmaceutical,1,74,0.0946,0.8108,0.9752,0.0541,rota57_word_grounding_not_decipherment
okeol,pharmaceutical,1,63,0.0159,0.8889,0.9336,0.1111,rota57_word_grounding_not_decipherment
d,herbal,1,62,0.1129,0.6935,0.9308,0.1452,rota57_word_grounding_not_decipherment
qotchy,herbal,1,61,0.0,1.0,0.9806,0.0492,rota57_word_grounding_not_decipherment
otey,astronomical,1,60,0.0167,0.7167,0.971,0.0667,rota57_word_grounding_not_decipherment
sol,balneological,1,59,0.0,0.9492,0.9468,0.1186,rota57_word_grounding_not_decipherment
cthol,herbal,1,54,0.0,1.0,0.9757,0.0556,rota57_word_grounding_not_decipherment
qokeol,pharmaceutical,1,49,0.0,1.0,0.9548,0.102,rota57_word_grounding_not_decipherment
lkaiin,recipes,1,48,0.0,1.0,0.9067,0.1458,rota57_word_grounding_not_decipherment
sheor,pharmaceutical,1,46,0.0,1.0,0.9811,0.0652,rota57_word_grounding_not_decipherment
cthey,pharmaceutical,1,45,0.0,0.9556,0.987,0.0667,rota57_word_grounding_not_decipherment
chaiin,herbal,1,45,0.0,1.0,0.9659,0.0889,rota57_word_grounding_not_decipherment
oteody,astronomical,1,41,0.0488,0.4878,0.9686,0.0976,rota57_word_grounding_not_decipherment
cthor,herbal,1,40,0.0,1.0,0.975,0.075,rota57_word_grounding_not_decipherment
qokchedy,recipes,1,40,0.0,1.0,0.934,0.15,rota57_word_grounding_not_decipherment
lkeey,recipes,1,39,0.0,1.0,0.9194,0.1795,rota57_word_grounding_not_decipherment
lol,balneological,1,37,0.027,0.973,0.9588,0.1081,rota57_word_grounding_not_decipherment
chos,pharmaceutical,1,37,0.027,0.9459,0.9663,0.1081,rota57_word_grounding_not_decipherment
lkeedy,recipes,1,37,0.0,1.0,0.8475,0.3243,rota57_word_grounding_not_decipherment
ckhy,herbal,1,36,0.0,1.0,0.9918,0.0556,rota57_word_grounding_not_decipherment
olchedy,balneological,1,36,0.0,0.9722,0.9603,0.1389,rota57_word_grounding_not_decipherment
kchy,herbal,1,35,0.0286,0.9429,0.9853,0.0571,rota57_word_grounding_not_decipherment
okeody,astronomical,1,35,0.1429,0.6857,0.9827,0.0857,rota57_word_grounding_not_decipherment
chedar,recipes,1,34,0.0,0.9412,0.9588,0.1176,rota57_word_grounding_not_decipherment
dshedy,balneological,1,34,0.0294,0.9706,0.9728,0.0882,rota57_word_grounding_not_decipherment
olkain,balneological,1,34,0.0,1.0,0.8948,0.2647,rota57_word_grounding_not_decipherment
lkain,recipes,1,34,0.0,1.0,0.8954,0.2647,rota57_word_grounding_not_decipherment
qokeody,pharmaceutical,1,33,0.0,0.9394,0.9436,0.1515,rota57_word_grounding_not_decipherment
sheckhy,balneological,1,33,0.0,1.0,0.9412,0.1818,rota57_word_grounding_not_decipherment
okor,pharmaceutical,1,31,0.0645,0.9032,0.9825,0.0968,rota57_word_grounding_not_decipherment
lkar,recipes,1,31,0.0,1.0,0.9644,0.0968,rota57_word_grounding_not_decipherment
qopchedy,recipes,1,31,0.0,1.0,0.9755,0.0968,rota57_word_grounding_not_decipherment
checthy,balneological,1,30,0.0,1.0,0.9386,0.2,rota57_word_grounding_not_decipherment
daly,astronomical,1,29,0.0,0.8621,0.973,0.1034,rota57_word_grounding_not_decipherment
