metric,value
H_section_bits,2.3352
I_section_word_obs,0.8958
I_null_mean,0.5884
I_null_std,0.0026
I_perm_p,0.001996
I_norm,0.1316
I_within_B_obs,0.6222
I_within_B_null_mean,0.4456
I_within_B_perm_p,0.001996
I_within_B_norm,0.0962
I_within_A_norm,0.1339
marker_mean_diag,0.2076
nonmarker_mean_diag,0.2299
n_marker_types,85
n_nonmarker_types,195
n_types_freq20,280
token_coverage,37671
verdict,topical_vocabulary
I_paragraph_only_norm,0.1281
I_paragraph_only_p,0.001996
I_within_B_paragraph_norm,0.0954
I_within_B_paragraph_p,0.001996
I_within_B_folioblock_p,0.001996
I_within_B_paragraph_folioblock_p,0.001996
I_within_B_paragraph_folioblock_norm,0.0459
verdict_controlled,topical_vocabulary
token_coverage_paragraph,34259
token_coverage_within_B_paragraph,22921
semantic_guardrail,rota56_word_content_not_decipherment
