folio,theme,page_info_url,image_url,why_included
f67r2,astronomical / seven planets,https://vib.tamagothi.de/index.php?id=f67r2&show=page,https://vib.tamagothi.de/image.php?id=f67r2&size=preview,"Camada vermelha, 12 setores, luas e rótulos okal/ytokar/otolor"
f68r3,astronomical / Pleiades,https://vib.tamagothi.de/index.php?id=f68r3&show=page,https://vib.tamagothi.de/image.php?id=f68r3&size=preview,Possível âncora doaro/doary no grupo de sete estrelas
f70v2,zodiac / labels,https://vib.tamagothi.de/index.php?id=f70v2&show=page,https://vib.tamagothi.de/image.php?id=f70v2&size=preview,Rótulos zodiacais e alta presença de ok-/ot-
f89r1,pharmaceutical labels,https://vib.tamagothi.de/index.php?id=f89r1&show=page,https://vib.tamagothi.de/image.php?id=f89r1&size=preview,Rótulos farmacêuticos e candidatos como otoldy
f99v,pharmaceutical labels,https://vib.tamagothi.de/index.php?id=f99v&show=page,https://vib.tamagothi.de/image.php?id=f99v&size=preview,Rótulos farmacêuticos recorrentes otoldy/otaly/otory
f84r,biological labels,https://vib.tamagothi.de/index.php?id=f84r&show=page,https://vib.tamagothi.de/image.php?id=f84r&size=preview,Cruzamento de rótulos em seção biológica
f68r1,astronomical sun/moon,https://vib.tamagothi.de/index.php?id=f68r1&show=page,https://vib.tamagothi.de/image.php?id=f68r1&size=preview,Família ok- perto de anéis solares/lunares
f68r2,astronomical sun/moon,https://vib.tamagothi.de/index.php?id=f68r2&show=page,https://vib.tamagothi.de/image.php?id=f68r2&size=preview,Teste okar/okol contra Sol/Lua
f67v2,cosmological / directions,https://vib.tamagothi.de/index.php?id=f67v2&show=page,https://vib.tamagothi.de/image.php?id=f67v2&size=preview,Teste de direção/cardinalidade okar/okal/okol/okor
f1r,text / opening page,https://vib.tamagothi.de/index.php?id=f1r&show=page,https://vib.tamagothi.de/image.php?id=f1r&size=preview,Página de texto para comparação com rótulos e diagramas
highlight_yale,Yale highlight image,https://beinecke.library.yale.edu/collections/highlights/voynich-manuscript,https://beinecke.library.yale.edu/sites/default/files/voynich_0.jpg,Imagem destacada oficial da Beinecke/Yale
